abandon,freedom from artificial constraint
covenant,"the promises of god as revealed in the scriptures , conditioned on certain terms on the part of man , as obedience , repentance , faith , etc"
cover,a lid
covering,"anything which covers or conceals , as a roof , a screen , a wrapper , clothing , etc"
cow,a chimney cap
cowardice,extreme timidity
crack,a chink or fissure
cradle,"an implement consisting of a broad scythe for cutting grain , with a set of long fingers parallel to the scythe , designed to receive the grain , and to lay it evenly in a swath"
craft,a guild
crash,"sudden breaking down , as of a business house or a commercial enterprise"
craving,beseeching
crawl,"slow motion , as of a creeping animal"
cream,a cosmetic
creation,nature
creature,an instrument
credit,authority derived from character or reputation
creed,a summary of the articles of christian faith
creek,any turn or winding
creep,the act or process of creeping
crest,"the plume of feathers , or other decoration , worn on a helmet"
crew,an assemblage
crime,"any violation of law , either divine or human"
criminal,one who is found guilty by verdict confession or proof
crimson,red color in general
crisis,"sometimes , also , a striking change of symptoms attended by an outward manifestation , as by an eruption or sweat"
crisp,crackling
criticism,a critical judgment passed or expressed
crop,fruit
crossing,the act by which anything is crossed
cross,misfortune
crow,"a bar of iron with a beak , crook , or claw"
crowd,a number of things collected or closely pressed together
crown,"a royal headdress or cap of sovereignty , worn by emperors , kings , princes , etc"
cruelty,the attribute or quality of being cruel
cruise,"a sailing to and fro , as for exploration or for pleasure"
crush,destruction
crust,the hard exterior surface or outer shell
cry,clamor
crystal,"brazilian pebble , under brazilian"
cultivation,refinement
culture,refinement in manners and taste
cunning,craft
cupboard,any small closet
cup,in modern times the pottery or porcelain vessel commonly with a handle used with a saucer in drinking tea coffee and the like
curate,one who has the cure of souls
curb,a ring of stone serving a similar purpose as at the eye of a dome
cure,medical or hygienic care
curiosity,inquisitiveness
curl,flexure
curling,the act or state of that which curls
currency,"that which is in circulation , or is given and taken as having or representing value"
current,that which resembles a stream in motion
curse,torment
curtain,"in theaters , and like places , a movable screen for concealing the stage"
curve,a flexure
cushion,"a case or bag stuffed with some soft and elastic material , and used to sit or recline upon"
custody,confinement
customary,"a book containing laws and usages , or customs"
customer,a peculiar person
custom,way of acting common to many
cut,a cleft
cutting,"an excavation cut through a hill or elsewhere to make a way for a railroad , canal , etc"
cylinder,the space inclosed by any cylindrical surface
dad,father
dagger,a timber placed diagonally in a ship ' s frame
daily,a publication which appears regularly every day
dainty,a term of fondness
dam,a female parent
damage,the estimated reparation in money for detriment or injury sustained
dame,a lady
damp,humidity
damsel,a young unmarried woman
dance,"an amusement , in which the movements of the persons are regulated by art , in figures and in accord with music"
danger,peril
daring,boldness
darkness,secrecy
dark,secrecy
dart,a short lance
dash,"a slight admixture , infusion , or adulteration"
date,"that addition to a writing , inscription , coin , etc"
daughter,a son ' s wife
dawn,rise
daylight,the light of day as opposed to the darkness of night
day,"the time of light , or interval between one night and the next"
dead,the most quiet or deathlike time
dealer,a trader a trafficker a shopkeeper a broker or a merchant
dealing,"distribution of anything , as of cards to the players"
deal,the process of dealing cards to the players
dean,the head or presiding officer in the faculty of some colleges or universities
dear,sweetheart
death,extinction
debate,contention in words or arguments
debt,obligation
deceit,a contrivance to entrap
decency,"the quality or state of being decent , suitable , or becoming , in words or behavior"
deception,that which deceives or is intended to deceive
decision,"an account or report of a conclusion , especially of a legal adjudication or judicial determination of a question or cause"
deck,larger ships have two or three decks
declaration,exposition
decline,a tendency to a worse state
decoration,something added by way of embellishment
decree,a determination or judgment of an umpire on a case submitted to him
deed,exploit
deep,a moral or spiritual depth or abyss
defeat,discomfiture
defective,one who is lacking physically or mentally
defect,want or absence of something necessary for completeness or perfection
defense,that which defends or protects
defensive,that which defends
deference,complaisance
defiance,"the act of defying , putting in opposition , or provoking to combat"
deficiency,inadequacy
definition,the act of defining
degradation,"the state of being reduced in rank , character , or reputation"
degree,measure of advancement
deity,divinity
delay,lingering inactivity
deliberation,"the act of deliberating , or of weighing and examining the reasons for and against a choice or measure"
delicacy,nice propriety of manners or conduct
delight,joy
delirium,strong excitement
delivery,surrender
demand,query
democracy,a form of government in which the supreme power is retained and directly exercised by the people
demon,a devil
demonstration,the act of demonstrating
den,a haunt
denial,a refusal to grant
department,appointed sphere or walk
departure,removal from the present life
dependence,state of being dependent
dependent,a retainer
deposit,anything given as pledge or security
depression,a cavity or hollow
depth,completeness
deputy,a lieutenant
derision,a laughing - stock
derivative,"a chord , not fundamental , but obtained from another by inversion"
descendant,"one who descends , as offspring , however remotely"
descent,sudden attack
description,a portraiture or representation in language
desertion,desolation
desert,right to reward
deserving,desert
design,preliminary conception
desire,an eager wish to obtain or enjoy
desk,"especially in the united states ), a pulpit"
desolation,destitution
despair,loss of hope
despatch,same as dispatch
desperation,the act of despairing or becoming desperate
despotism,"the power , spirit , or principles of a despot"
destination,place or point aimed at
destiny,lot
destruction,demolition
destructive,one who destroys
detachment,renunciation
detail,a narrative which relates minute points
detective,one who business it is so detect criminals or discover matters of secrecy
determination,direction or tendency to a certain end
deuce,a demon
development,"a gradual unfolding process by which anything is developed , as a plan or method , or an image upon a photographic plate"
device,invention
devil,a very wicked person
devise,"a will or testament , conveying real estate"
devotion,addiction
dew,"moisture from the atmosphere condensed by cool bodies upon their surfaces , particularly at night"
dexterity,readiness in the use or control of the mental powers
dialect,language
dialogue,a conversation between two or more persons
diameter,width
diamond,a rhombus
diary,a blank book dated for the record of daily memoranda
dice,small cubes used in gaming or in determining by chance
dictate,a statement delivered with authority
dictionary,a vocabulary
die,hazard
diet,course of living or nourishment
difference,cause of dissension
dig,a punch
digestion,generation of pus
digest,that which is digested
dignity,"high office , political or ecclesiastical"
diligence,process for enforcing the attendance of witnesses or the production of writings
dining,from dine a
dinner,an entertainment
din,roar
dip,"a hollow or depression in a surface , especially in the ground"
diplomacy,"the art and practice of conducting negotiations between nations ( particularly in securing treaties ), including the methods and forms usually employed"
diplomatic,"a minister , official agent , or envoy to a foreign court"
direction,a guiding or authoritative instruction
director,"one who , or that which , directs"
dirt,meanness
disadvantage,hindrance
disappearance,the act of disappearing
disappointment,frustration
disaster,a serious mishap
discharge,"act of relieving of something which oppresses or weighs upon one , as an obligation , liability , debt , accusation , etc"
disciple,a follower who has learned to believe in the truth of the doctrine of his teacher
discipline,"training , whether physical , mental , or moral"
disclaimer,"a denial , disavowal , or renunciation , as of a title , claim , interest , estate , or trust"
discomfort,pain
discontent,dissatisfaction
discord,variance leading to contention and strife
discourse,the art and manner of speaking and conversing
discovery,laying open
discretion,the quality of being discreet
discrimination,"the act of discriminating , distinguishing , or noting and marking differences"
discussion,disputation
disdain,scorn
disease,malady
disgrace,shame
disguise,intoxication
disgust,now rather of the analogous repugnance excited by anything extremely unpleasant to the moral taste or higher sensibilities of our nature
dish,any particular kind of food especially prepared food
disk,"a flat , circular plate"
dislike,displeasure
dismay,consternation
dismissal,discharge
disobedience,neglect or refusal to obey
disorder,lack of arrangement
dispatch,the act of sending a message or messenger in haste or on important business
display,an opening or unfolding
displeasure,the feeling of one who is displeased
disposal,management
disposition,disposal
dispute,altercation
disregard,want of attention
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,liquefaction
distance,measure of separation in place
distinction,sharply defined difference
distress,extreme pain or suffering
distribution,the act of distributing or dispensing
district,any portion of territory of undefined extent
distrust,"doubt of sufficiency , reality , or sincerity"
disturbance,agitation of the feelings
ditch,"any long , narrow receptacle for water on the surface of the earth"
diversion,"the act of turning aside from any course , occupation , or object"
diversity,unlikeness
divide,called watershed and water parting
divine,a minister of the gospel
divinity,deity
division,separation
divorce,a legal dissolution of the marriage contract by a court or other body having competent authority
dock,"an artificial basin or an inclosure in connection with a harbor or river , -- used for the reception of vessels , and provided with gates for keeping in or shutting out the tide"
doctor,"an academical title , originally meaning a man so well versed in his department as to be qualified to teach it"
doctrine,a principle of faith
document,"an original or official paper relied upon as the basis , proof , or support of anything else"
doe,"specifically , the female of the fallow deer , of which the male is called a buck"
dog,"a mean , worthless fellow"
dollar,a gold coin of the united states containing 23
doll,"a small , usually flexible figure representing a human being , especially a toy baby for a little girl"
domain,the land about the mansion house of a lord and in his immediate occupancy
dome,a cupola formed on a large scale
domestic,"articles of home manufacture , especially cotton goods"
dominant,the fifth tone of the scale
dominion,superior prominence
donation,"the act or contract by which a person voluntarily transfers the title to a thing of which be is the owner , from himself to another , without any consideration , as a free gift"
donkey,an ass
don,sir
doom,death
door,means of approach or access
doorway,entrance way into a house or a room
dose,a sufficient quantity
dot,dowry
double,that which is doubled over or together
doubt,hesitation
dough,anything of the consistency of such paste
dove,"a person advocating peace , compromise or conciliation rather than war or conflict"
downfall,a body of things falling
dozen,an indefinite small number
draft,the act of drawing
drag,a kind of sledge for conveying heavy bodies
dragon,"a fabulous animal , generally represented as a monstrous winged serpent or lizard , with a crested head and enormous claws , and regarded as very powerful and ferocious"
drain,a water course
drama,dramatic composition and the literature pertaining to or illustrating it
draw,a lot or chance to be drawn
drawer,one who draws liquor for guests
drawing,"the act of pulling , or attracting"
dread,fearful apprehension of danger
dream,a vagary
dress,clothes
dressing,"an application ( a remedy , bandage , etc"
drift,course or direction along which anything is driven
drill,same as drilling
drinking,the practice of partaking to excess of intoxicating liquors
drink,"specifically , intoxicating liquor"
dripping,"a falling in drops , or the sound so made"
drive,"a stroke from the tee , generally a full shot made with a driver"
driver,a coachman
driving,the act of pressing or moving on furiously
drop,also the smallest easily measured portion of a fluid
dropping,the excrement or dung of animals
drove,"a number of animals , as oxen , sheep , or swine , driven in a body"
drug,any stuff used in dyeing or in chemical operations
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a drunken condition
drunkenness,intoxication
duchess,a lady who has the sovereignty of a duchy in her own right
duck,a pet
due,a toll
duel,"a combat between two persons , fought with deadly weapons , by agreement"
dug,"a teat , pap , or nipple"
duke,the fists
duration,continuance in time
dusk,a middle degree between light and darkness
dust,fine powder
duty,that which one ought to do
dwarf,"a diminutive human being , small in stature due to a pathological condition which causes a distortion of the proportions of body parts to each other , such as the limbs , torso , and head"
dwelling,abode
dye,material used for dyeing
dying,loss of life
dynasty,lordship
eagerness,ardent desire
eagle,"a gold coin of the united states , of the value of ten dollars"
earl,"a nobleman of england ranking below a marquis , and above a viscount"
earnestness,the state or quality of being earnest
earnest,pledge
ear,the sense of hearing
earthquake,"a shaking , trembling , or concussion of the earth , due to subterranean causes , often accompanied by a rumbling noise"
earth,the globe or planet which we inhabit
ease,facility
east,the eastern parts of the earth
eating,the act of consuming or corroding
ebb,the state or time of passing away
eccentric,"one who , or that which , deviates from regularity"
echo,a sound reflected from an opposing surface and repeated to the ear of a listener
economy,derly arrangement and management of the internal affairs of a state of any establishment kept up by production and consumption
ecstasy,"a state which consists in total suspension of sensibility , of voluntary motion , and largely of mental power"
eddy,a whirlpool
edge,any sharp terminating border
edifice,a building
edition,the whole number of copies of a work printed and published at one time
editorial,an article published as an expression of the views of the editor
editor,one who edits
education,"the result of educating , as determined by the knowledge skill , or discipline of character , acquired"
effect,consequence
effective,one who is capable of active service
efficient,a prime mover
effort,"an exertion of strength or power , whether physical or mental , in performing an act or aiming at an object"
egg,ovum
eighteen,the number greater by a unit than seventeen
eighteenth,one of eighteen equal parts or divisions
eighth,the quotient of a unit divided by eight
eight,the number greater by a unit than seven
eighty,the sum of eight times ten
elbow,the outer curve in the middle of the arm when bent
elder,an aged person
election,liberty to choose or act
elect,one chosen or set apart
elegance,fine polish
element,one of the ultimate parts which are variously combined in anything
elevation,an elevated place or station
eleven,the sum of ten and one
eleventh,the quotient of a unit divided by eleven
eloquence,"the power of expressing strong emotions in striking and appropriate language either spoken or written , thereby producing conviction or persuasion"
embassy,the public function of an ambassador
emblem,a symbol
embrace,hug
embroidery,"diversified ornaments , especially by contrasted figures and colors"
emerald,"a precious stone of a rich green color , a variety of beryl"
emergency,a sudden occasion
eminence,"a place or station above men in general , either in rank , office , or celebrity"
emotion,"excitement of the feelings , whether pleasing or painful"
emperor,the sovereign or supreme monarch of an empire
emphasis,"a special attention given to , or extra importance attached to , something"
empire,sway
employee,one employed by another
employ,employment
employer,one who employs another
employment,the act of employing or using
empress,the consort of an emperor
encampment,a camp
enchantment,the state of being enchanted
enclosure,inclosure
encounter,"a meeting , with hostile purpose"
encouragement,incentive
end,destruction
endeavor,an exertion of physical or intellectual strength toward the attainment of an object
ending,result
endurance,"a continuing under pain or distress without resistance , or without being overcome"
enemy,an adversary
energy,spirit
engagement,"the state of being engaged , pledged or occupied"
engine,a compound machine by which any physical power is applied to produce a given physical effect
engineer,"one who manages as engine , particularly a steam engine"
enjoyment,the condition of enjoying anything
enmity,a state of opposition
enterprise,"a bold , arduous , or hazardous attempt"
entertainment,provision for the table
enthusiasm,exaltation of soul
entire,entirely
entity,existence
entrance,the act of taking possession as of property or of office
entreaty,pressing solicitation
entry,a vestibule
envelope,a wrapper
environment,that which environs or surrounds
envoy,a messenger
envy,"chagrin , mortification , discontent , or uneasiness at the sight of another ' s excellence or good fortune , accompanied with some degree of hatred and a desire to possess equal advantages"
episode,"a separate incident , story , or action , introduced for the purpose of giving a greater variety to the events related"
epistle,a written communication
epoch,a memorable period
equality,uniformity
equal,"one having the same or a similar age , rank , station , office , talents , strength , or other quality or condition"
equilibrium,"a just poise or balance in respect to an object , so that it remains firm"
equipment,naval equipments
equivalent,"a combining unit , whether an atom , a radical , or a molecule"
era,"a fixed point of time , usually an epoch , from which a series of years is reckoned"
erection,"the state of being erected , lifted up , built , established , or founded"
errand,"any specific task , usually of a routine nature , requiring some form of travel , usually locally"
error,a wandering or deviation from the right course or standard
escape,a sally
escort,"a guard , as of prisoners on a march"
essay,"an effort made , or exertion of body or mind , for the performance of anything"
essence,that quality which constitutes or marks the true nature of anything
essential,first or constituent principle
establishment,a system of religion maintained by the civil power
estate,"possessions , especially property in land"
esteem,estimation
estimate,rough or approximate calculation
estimation,valuation
eternal,one of the appellations of god
eternity,duration without end in the future
ether,the air itself
ethics,rules of practice in respect to a single class of human actions
etiquette,observance of the proprieties of rank and occasion
eve,evening
even,evening
evening,"properly , the decline of the day , or of the sun"
event,conclusion
everlasting,"eternal duration , past or future"
evidence,"that which furnishes , or tends to furnish , proof"
evil,wickedness
evolution,any process of growth or development
exaggeration,hyperbole
exaltation,the state of being exalted
examination,"the act of examining , or state of being examined"
example,a pattern or copy
excellence,a virtue
exception,"as to the decision of a judge , in the course of a trail , in his charge to a jury"
excess,the state of surpassing or going beyond limits
exchange,the thing given or received in return
excitement,agitation
exclamation,outcry
exclusion,the act of expelling or ejecting a fetus or an egg from the womb
exclusive,one of a coterie who exclude others
excuse,absolution
execution,achievement
executioner,"one who puts to death in conformity to legal warrant , as a hangman"
executive,"a manager , supervisor or administrator at a high level within an organization"
exempt,an exon
exercise,application
exhaustion,the act of draining out or draining off
exhibit,"any article , or collection of articles , displayed to view , as in an industrial exhibition"
exhibition,any public show
exile,banishment
existence,actual possession of being
exit,way out
expanse,the arch of the sky
expansion,the act of expanding or spreading out
expectation,the act or state of expecting or looking forward to an event as about to happen
expedient,means devised in an exigency
expedition,"an important enterprise , implying a change of place"
expenditure,expense
expense,cost
experience,personal and direct impressions as contrasted with description or fancies
experiment,one under controlled conditions determined by the experimenter
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,the act of clearing from obscurity and making intelligible
exploit,a deed of renown
exploration,examination
explosion,"a violent outburst of feeling , manifested by excited language , action , etc"
exposition,explanation
exposure,the state of being exposed or laid open or bare
express,"commonly , a company or system for the prompt and safe transportation of merchandise or parcels"
expression,that manner or style which gives life and suggestive force to ideas and sentiments
exquisite,one who is overnice in dress or ornament
extension,expansion
extent,superficies
external,outward part
extinction,destruction
extract,that which is extracted or drawn out
extra,"something in addition to what is due , expected , or customary"
extravagance,want of moderation
extravagant,one who is confined to no general rule
extreme,extremity
extremity,highest degree
exultation,rapturous delight
eye,a brood
fable,common talk
fabric,edifice
face,that part which presents itself to the view
facility,dexterity
facing,"the finishing of any face of a wall with material different from that of which it is chiefly composed , or the coating or material so used"
fact,a thing supposed or asserted to be done
faction,dissension
factor,one who transacts business for another
factory,"the place where workmen are employed in fabricating goods , wares , or utensils"
faculty,"capacity for any of the leading kinds of soul activity , as knowledge , feeling , volition"
fail,miscarriage
failure,nonperformance
fair,good luck
fairy,"an imaginary supernatural being or spirit , supposed to assume a human form ( usually diminutive ), either male or female , and to meddle for good or evil in the affairs of mankind"
faith,reliance on testimony
fall,overthrow
falsehood,a lie
fame,"celebrity , either favorable or unfavorable"
familiar,an intimate
familiarity,freedom from ceremony and constraint
family,house
famine,general scarcity of food
fan,"an instrument for winnowing grain , by moving which the grain is tossed and agitated , and the chaff is separated and blown away"
fancy,idea
fantastic,an eccentric person
far,"a young pig , or a litter of pigs"
farce,"a dramatic composition marked by low humor , generally written with little regard to regularity or method , and abounding with ludicrous incidents and expressions"
fare,hap
farewell,the parting compliment
farmer,one who cultivates a farm
farming,the business of cultivating land
farm,the land held under lease and by payment of rent for the purpose of cultivation
farthing,"a small copper coin of great britain , being a cent in united states currency"
fascination,the exercise of a powerful or irresistible influence on the affections or passions
fashionable,a person who conforms to the fashions
fashion,"pattern , model"
faster,one who abstains from food
fast,omission to take nourishment
fate,the immutable law of the universe
father,a founder of a race or family
fathom,"a measure of length , containing six feet"
fatigue,labor
fat,work
fault,a blemish
favor,friendly disposition
favorite,the competitor ( as a horse in a race ) that is judged most likely to win
fear,"apprehension of incurring , or solicitude to avoid , god ' s wrath"
feast,a holiday
feat,a trick
feather,the fringe of long hair on the legs of the setter and some other dogs
feature,good appearance
feed,food for beasts
feeding,"that which furnishes or affords food , especially for animals"
feel,impression made upon one who touches or handles
feeling,an act of apprehending any object whatever
fee,tenure
felicity,blessing
fell,a barren or rocky hill
fellow,a comrade
fellowship,joint interest
female,a plant which produces only that kind of reproductive organs which are capable of developing into fruit after impregnation or fertilization
fence,a protection
ferocity,cruelty
fertility,fecundity
fetch,the unobstructed region of the ocean over which the wind blows to generate waves
fever,"a diseased state of the system , marked by increased heat , acceleration of the pulse , and a general derangement of the functions , including usually , thirst and loss of appetite"
fiction,fictitious literature
fiddle,a violin
fidelity,loyalty
field,cleared land
fiend,an implacable or malicious foe
fifteen,the sum of five and ten
fifteenth,one of fifteen equal parts or divisions
fifth,one of five equal parts
fifty,the sum of five tens
fight,strength or disposition for fighting
figure,outline
file,"a steel instrument , having cutting ridges or teeth , made by indentation with a chisel , used for abrading or smoothing other substances , as metals , wood , etc"
filling,prepared wort added to ale to cleanse it
fill,that which fills
film,"a membranous covering , causing opacity"
filth,dirt
finance,often used in the plural for funds
find,anything found
finding,that which is provided for one
fine,a payment of money imposed upon a party as a punishment for an offense
finger,"a small projecting rod , wire , or piece , which is brought into contact with an object to effect , direct , or restrain a motion"
finishing,the final work upon or ornamentation of a thing
finish,"the joiner work and other finer work required for the completion of a building , especially of the interior"
fire,a conflagration
fireplace,the part a chimney appropriated to the fire
firing,"the application of fire , or of a cautery"
firm,a commercial house
firmament,the sky or heavens
fiscal,a treasurer
fisherman,one whose occupation is to catch fish
fishing,a fishery
fish,the twelfth sign of the zodiac
fist,the hand with the fingers doubled into the palm
fit,an impulsive and irregular action
fitness,the state or quality of being fit
five,"the number next greater than four , and less than six"
fix,dilemma
fixing,that which is fixed
flag,the colors
flame,"a stream of burning vapor or gas , emitting light and heat"
flank,any part of a work defending another by a fire along the outside of its parapet
flannel,"a soft , nappy , woolen cloth , of loose texture"
flash,a sudden burst of light
flashing,the reheating of an article at the furnace aperture during manufacture to restore its plastic condition
flask,"the wooden or iron frame which holds the sand , etc"
flat,"a level surface , without elevation , relief , or prominences"
flattery,adulation
flavor,relish
fleet,a creek or inlet
flesh,the body of beasts and birds used as food as distinguished from fish
flight,"the act of running away , to escape danger or expected evil"
fling,a cast from the hand
floating,the second coat of three - coat plastering
float,"the cork or quill used in angling , to support the bait line , and indicate the bite of a fish"
flock,"considered in their relation to the pastor , or minister in charge"
flood,a body of moving water
floor,the bottom or lower part of any room
flora,"a list or description of , or treatise on , such plants"
flourish,"something made or performed in a fanciful , wanton , or vaunting manner , by way of ostentation , to excite admiration , etc"
flour,the fine and soft powder of any substance
flow,a stream
flowering,"the act of blossoming , or the season when plants blossom"
flower,"the showy portion , usually of a different color , shape , and texture from the foliage"
fluid,a body whose particles move easily among themselves
flush,a glow
flute,"a musical wind instrument , consisting of a hollow cylinder or pipe , with holes along its length , stopped by the fingers or by keys which are opened by the fingers"
flutter,confusion
fly,any dipterous insect
foam,scum
foe,an enemy in war
fog,cloudiness or partial opacity of those parts of a developed film or a photograph which should be clear
fold,a flock of sheep
folding,a fold
foliage,"a cluster of leaves , flowers , and branches"
folio,a book made of sheets of paper each folded once ( four pages to the sheet )
follow,the art or process of following
folly,scandalous crime
fond,"fund , stock , or store"
fondness,"strong appetite , propensity , or relish"
food,nutriment
foolishness,a foolish practice
fool,one who acts contrary to moral and religious wisdom
football,"something which is treated in a rough manner , usually as part of a dispute"
footing,permanent settlement
foot,the terminal part of the leg of man or an animal
forbearance,indulgence toward offenders or enemies
force,strength or power for war
forefinger,the index finger
forehead,the brow
foreigner,a stranger
foreman,"the chief man of a jury , who acts as their speaker"
foresight,provident care
forest,an extensive wood
fore,the future
forfeit,"that which is lost , or the right to which is alienated , by a crime , offense , neglect of duty , or breach of contract"
forgiveness,the act of forgiving
fork,a prong
forlorn,"a lost , forsaken , or solitary person"
formation,a substance formed or deposited
format,its external form
form,configuration
former,one who forms
formula,a prescribed or set form
fort,a fortification
fortitude,"that strength or firmness of mind which enables a person to encounter danger with coolness and courage , or to bear pain or adversity without murmuring , depression , or despondency"
fortnight,two weeks
fortune,the arrival of something in a sudden or unexpected manner
forty,the sum of four tens
foul,"in various games or sports , an act done contrary to the rules"
foundation,"that on which anything stands , and by which it is supported"
founder,one who lays a foundation
fountain,a reservoir or chamber to contain a liquid which can be conducted or drawn off as needed for use
fourteen,the sum of ten and four
fourteenth,one next after the thirteenth in a series
fourth,one of four equal parts into which one whole may be divided
fraction,a portion
fragment,a part broken off
fragrance,sweetness of smell
frail,"a basket made of rushes , used chiefly for containing figs and raisins"
frame,the bodily structure
framework,"the work of framing , or the completed work"
frank,a french coin
frankness,the quality of being frank
fraud,deceit
fray,broil
freedom,privileges
freight,that with which anything is fraught or laden for transportation
frenzy,any violent agitation of the mind approaching to distraction
freshness,the state of being fresh
fret,irritation
friar,the silversides
friction,the act of rubbing the surface of one body against that of another
friend,a promoter
friendliness,the condition or quality of being friendly
frigate,"iginally , a vessel of the mediterranean propelled by sails and by oars"
fright,"anything strange , ugly or shocking , producing a feeling of alarm or aversion"
fringe,"one of a number of light or dark bands , produced by the interference of light"
frock,a gown forming a part of european modern costume for women and children
frog,"the triangular prominence of the hoof , in the middle of the sole of the foot of the horse , and other animals"
front,"an attitude and demeanor intended to represent one ' s feelings , even if not actually felt"
frontier,the marches
frost,frozen dew
frown,any expression of displeasure
fruit,"the pulpy , edible seed vessels of certain plants , especially those grown on branches above ground , as apples , oranges , grapes , melons , berries , etc"
fuel,any matter used to produce heat by burning
fugitive,a deserter
full,complete measure
fuller,"a half - round set hammer , used for forming grooves and spreading iron"
function,the exertion of an energy of some determinate kind
fundamental,"essential part ,"
fund,a stock or capital
funeral,"the solemn rites used in the disposition of a dead human body , whether such disposition be by interment , burning , or otherwise"
fun,frolicsome amusement
furnace,"an inclosed place in which heat is produced by the combustion of fuel , as for reducing ores or melting metals , for warming a house , for baking pottery , etc"
furniture,equipment
fur,"the short , fine , soft hair of certain animals , growing thick on the skin , and distinguished from the hair , which is longer and coarser"
fury,rage
fuss,a bustle
future,time to come
gaiety,same as gayety
gain,acquisition
gait,a way
gale,a moderate current of air
gallant,a young blood
gallery,a long hole or passage excavated by a boring or burrowing animal
galley,"a name given by analogy to the greek , roman , and other ancient vessels propelled by oars"
gallop,"a mode of running by a quadruped , particularly by a horse , by lifting alternately the fore feet and the hind feet , in successive leaps or bounds"
game,"a contest , physical or mental , according to certain rules , for amusement , recreation , or for winning a stake"
gang,a squad
gap,a hiatus
garb,fashion
garden,"a rich , well - cultivated spot or tract of country"
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
garrison,a body of troops stationed in a fort or fortified town
gas,an a ë riform fluid
gasp,a labored respiration
gate,"an opening for passage in any inclosing wall , fence , or barrier"
gather,"a plait or fold in cloth , made by drawing a thread through it"
gathering,a congregation
gaze,"a look of eagerness , wonder , or admiration"
gear,property
gem,"a precious stone of any kind , as the ruby , emerald , topaz , sapphire , beryl , spinel , etc"
general,the total
generation,that which is generated or brought forth
generosity,liberality in giving
genesis,"the act of producing , or giving birth or origin to anything"
geneva,"a strongly alcoholic liquor , flavored with juniper berries"
genius,"special taste , inclination , or disposition"
gentle,a dipterous larva used as fish bait
gentleman,a well - bred man
gentleness,gentility
gentry,"in england , in a restricted sense , those between the nobility and the yeomanry"
genus,a class of objects divided into several subordinate species
geography,"a description of the earth , or a portion of the earth , including its structure , features , products , political divisions , and the people by whom it is inhabited"
germ,that from which anything springs
gesture,a motion of the body or limbs expressive of sentiment or passion
get,progeny
getting,that which is got or obtained
ghost,any faint shadowy semblance
giant,"any animal , plant , or thing , of extraordinary size or power"
gift,anything given
gilt,gilding
gin,"a strong alcoholic liquor , distilled from rye and barley , and flavored with juniper berries"
girdle,a belt
girl,"a female child , from birth to the age of puberty"
giving,a conferring or imparting
gladness,joyful satisfaction
glance,a swift survey
glare,"a bright , dazzling light"
glass,a mirror
gleam,brightness
glee,merriment
glen,a secluded and narrow valley
glide,"a transitional sound in speech which is produced by the changing of the mouth organs from one definite position to another , and with gradual change in the most frequent cases"
glimmer,"feeble , scattered rays of light"
glimpse,a faint idea
glitter,brilliant and showy luster
globe,a sphere
gloom,cloudiness or heaviness of mind
glory,an object of pride or boast
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,vehemence or heat of passion
goal,the place at which a race or a journey is to end
goddess,a woman of superior charms or excellence
god,"the eternal and infinite spirit , the creator , and the sovereign of the universe"
going,pregnancy
gold,"an old english name of some yellow flower , -- the marigold ( calendula ), according to dr"
gorge,a defile between mountains
gospel,the good news concerning christ the kingdom of god and salvation
gossip,groundless rumor
gout,a clot or coagulation
governess,a female governor
government,the system of polity in a state
governor,one who has the care or guardianship of a young man
gown,"the dress of civil officers , in distinction from military"
grace,the divine favor toward man
grade,"a step or degree in any series , rank , quality , order"
gradual,a service book containing the musical portions of the mass
grain,"a blade of a sword , knife , etc"
grammar,a treatise on the principles of language
grandeur,elevation of thought or expression
grandfather,an ancestor immediately after the father or mother in lineal ascent
granite,"a crystalline , granular rock , consisting of quartz , feldspar , and mica , and usually of a whitish , grayish , or flesh - red color"
grant,a bestowing or conferring
grasp,the power of seizing and holding
grass,the plants which constitute the food of cattle and other beasts
grate,"a frame or bed , or kind of basket , of iron bars , for holding fuel while burning"
gratification,a recompense
grating,"a partition , covering , or frame of parallel or cross bars"
gratitude,kindness awakened by a favor received
grave,destruction
gravel,the disease of which they are a symptom
gravity,seriousness
gray,any mixture of white and black
greatness,"the state , condition , or quality of being great"
greed,greediness
green,a piece of ground covered with verdant herbage
greeting,a compliment from one absent
grief,trial
grievance,grieving
grin,"a hard , forced , or sneering smile"
grind,a student that studies hard
grip,a small ditch or furrow
groan,"usually , a deep , mournful sound uttered in pain or great distress"
groom,a waiter
gross,the number of twelve dozen
grotesque,artificial grotto - work
ground,the surface of the earth
group,"an assemblage , either of persons or things , collected without any regular form or arrangement"
grove,"a smaller group of trees than a forest , and without underwood , planted , or growing naturally as if arranged by art"
growl,a grumbling sound
growth,consequence
grudge,ill will
guarantee,a warranty
guard,a watch
guardian,"one who has , or is entitled to , the custody of the person or property of an infant , a minor without living parents , or a person incapable of managing his own affairs"
guess,a conjecture
guest,a visitor
