abandon,freedom from artificial constraint
disclaimer,"a public disavowal , as of pretensions , claims , opinions , and the like"
discomfort,"uneasiness , mental or physical"
discontent,want of content
discord,want of concord or agreement
discourse,conversation
discovery,laying open
discretion,wise conduct and management
discrimination,"the act of discriminating , distinguishing , or noting and marking differences"
discussion,debate
disdain,scorn
disease,sickness
disgrace,cause of shame or reproach
disguise,intoxication
disgust,repugnance to what is offensive
dish,"a vessel , as a platter , a plate , a bowl , used for serving up food at the table"
disk,"a flat , circular plate"
dislike,repugnance
dismay,consternation
dismissal,discharge
disobedience,violation of a command or prohibition
disorder,want of order or regular disposition
dispatch,the act of sending a message or messenger in haste or on important business
display,an electronic device on which the output signal of another electronic device may be presented in a visual form
displeasure,the feeling of one who is displeased
disposal,"the act of disposing , or disposing of , anything"
disposition,quality
dispute,debate
disregard,slight
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,melting
distance,measure of separation in place
distinction,that which distinguishes one thing from another
distress,painful situation
distribution,the act of dividing or apportioning among several or many
district,a tract
distrust,suspicion of evil designs
disturbance,uneasiness
ditch,"any long , narrow receptacle for water on the surface of the earth"
diversion,"that which turns or draws the mind from care or study , and thus relaxes and amuses"
diversity,a state of difference
divide,called watershed and water parting
divine,one skilled in divinity
divinity,the nature or essence of god
division,the portion separated by the divining of a mass or body
divorce,the decree or writing by which marriage is dissolved
dock,a case of leather to cover the clipped or cut tail of a horse
doctor,one duly licensed to practice medicine
doctrine,instruction
document,any material substance on which the thoughts of men are represented by any species of conventional mark or symbol
doe,"specifically , the female of the fallow deer , of which the male is called a buck"
dog,a fellow
dollar,a gold coin of the united states containing 23
doll,"a small , usually flexible figure representing a human being , especially a toy baby for a little girl"
domain,dominion
dome,a building
domestic,"articles of home manufacture , especially cotton goods"
dominant,the fifth tone of the scale
dominion,sovereign or supreme authority
donation,that which is transferred to another gratuitously
donkey,less frequently ) a mule
don,sir
doom,death
door,means of approach or access
doorway,the passage of a door
dose,a sufficient quantity
dot,anything small and like a speck comparatively
double,a fold
doubt,"unsettled state of opinion concerning the reality of an event , or the truth of an assertion , etc"
dough,anything of the consistency of such paste
dove,a word of endearment for one regarded as pure and gentle
downfall,destruction
dozen,a tale or set of twelve
draft,the act of drawing
dragon,"a fabulous animal , generally represented as a monstrous winged serpent or lizard , with a crested head and enormous claws , and regarded as very powerful and ferocious"
drag,the act of dragging
drain,that means of which anything is drained
drama,a series of real events invested with a dramatic unity and interest
drawer,a waiter in a taproom
drawing,such a representation when in one color or in tints used not to represent the colors of natural objects but for effect only and produced with hard material such as pencil chalk etc
draw,the act of drawing a lot or chance
dread,anticipatory terror
dream,a sleeping vision
dress,habit
dressing,dress
drift,a violent movement
drill,diligent and strict instruction and exercise in the rudiments and methods of any business
drinking,an entertainment with liquors
drink,"specifically , intoxicating liquor"
dripping,"a falling in drops , or the sound so made"
drive,"in various games , as tennis , cricket , etc"
driver,the person or thing that urges or compels anything else to move onward
driving,the act of pressing or moving on furiously
drop,also the smallest easily measured portion of a fluid
dropping,falling
drove,"a number of animals , as oxen , sheep , or swine , driven in a body"
drug,"any animal , vegetable , or mineral substance used in the composition of medicines"
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a spree
drunkenness,"disorder of the faculties , resembling intoxication by liquors"
duchess,the wife or widow of a duke
duck,the light clothes worn by sailors in hot climates
duel,"a combat between two persons , fought with deadly weapons , by agreement"
due,that which is owed
dug,"a teat , pap , or nipple"
duke,"in some european countries , a sovereign prince , without the title of king"
duration,the portion of time during which anything exists
dusk,imperfect obscurity
dust,fine powder
duty,"specifically , obedience or submission due to parents and superiors"
dwarf,an animal or plant which is much below the ordinary size of its species or kind
dwelling,place or house in which a person lives
dye,a dyestuff
dying,loss of life
dynasty,"a race or succession of kings , of the same line or family"
eagerness,the state or quality of being eager
eagle,"a gold coin of the united states , of the value of ten dollars"
earl,"a nobleman of england ranking below a marquis , and above a viscount"
earnestness,anxiety
earnest,seriousness
ear,"the spike or head of any cereal ( as , wheat , rye , barley , indian corn , etc"
earthquake,"a shaking , trembling , or concussion of the earth , due to subterranean causes , often accompanied by a rumbling noise"
earth,the dry land
ease,liberty
east,the orient
eating,the act of consuming or corroding
ebb,the return of the tidal wave toward the sea
eccentric,"one who , or that which , deviates from regularity"
echo,a sound reflected from an opposing surface and repeated to the ear of a listener
economy,as they concern expense or disbursement
ecstasy,rapture
eddy,a whirlpool
edge,intenseness of desire
edifice,an architectural fabric
edition,the whole number of copies of a work printed and published at one time
editorial,a leading article in a newspaper or magazine
editor,one who edits
education,the act or process of training by a prescribed or customary course of study or discipline
effect,execution
effective,"specie or coin , as distinguished from paper currency"
efficient,a prime mover
effort,struggle directed to the accomplishment of an object
egg,germ cell
eighteen,the number greater by a unit than seventeen
eighteenth,one of eighteen equal parts or divisions
eighth,one of eight equal parts
eight,the number greater by a unit than seven
eighty,the sum of eight times ten
elbow,the joint or bend of the arm
elder,a senior
election,power of choosing
elect,those who are chosen for salvation
elegance,the state or quality of being elegant
element,"one of the simplest or essential parts or principles of which anything consists , or upon which the constitution or fundamental powers of anything are based"
elevation,an elevated place or station
eleven,the sum of ten and one
eleventh,the interval consisting of ten conjunct degrees
eloquence,"fluent , forcible , elegant , and persuasive speech in public"
embassy,the person or persons sent as ambassadors or envoys
emblem,a figurative representation
embrace,pressure to the bosom
embroidery,"diversified ornaments , especially by contrasted figures and colors"
emerald,"a precious stone of a rich green color , a variety of beryl"
emergency,an unforeseen occurrence
eminence,a high ground or place
emotion,a moving of the mind or soul
emperor,the sovereign or supreme monarch of an empire
emphasis,"a special attention given to , or extra importance attached to , something"
empire,sovereignty
employee,one employed by another
employer,one who employs another
employ,fixed or regular service or business
employment,service
empress,a female sovereign
encampment,"the act of pitching tents or forming huts , as by an army or traveling company , for temporary lodging or rest"
enchantment,incantation
enclosure,inclosure
encounter,an interview
encouragement,the act of encouraging
end,consequence
endeavor,a systematic or continuous attempt
ending,concluding part
endurance,continuance
enemy,an adversary
energy,"capacity of acting , operating , or producing an effect , whether exerted or not"
engagement,that which engages
engine,any instrument by which any effect is produced
engineer,a person skilled in the principles and practice of any branch of engineering
enjoyment,"pleasure or satisfaction , as in the possession or occupancy of anything"
enmity,hostile or unfriendly disposition
enterprise,"a work projected which involves activity , courage , energy , and the like"
entertainment,amusement
enthusiasm,inspiration as if by a divine or superhuman power
entire,entirely
entity,being
entrance,"the passage , door , or gate , for entering"
entreaty,pressing solicitation
entry,the act of making or entering a record
envelope,the cover or wrapper of a document as of a letter
environment,that which environs or surrounds
envoy,a person deputed by a sovereign or a government to negotiate a treaty or transact other business with a foreign sovereign or government
envy,malicious grudging
episode,"a separate incident , story , or action , introduced for the purpose of giving a greater variety to the events related"
epistle,a writing directed or sent to a person or persons
epoch,a memorable period
equality,sameness in state or continued course
equal,one not inferior or superior to another
equilibrium,"a just poise or balance in respect to an object , so that it remains firm"
equipment,infantry equipments
equivalent,"that which is equal in value , worth , weight , or force"
era,an epoch
erection,"the act of constructing , as a building or a wall , or of fitting together the parts of , as a machine"
errand,a special business intrusted to a messenger
error,iniquity
escape,a sally
escort,"a guard , as of prisoners on a march"
essay,a trial
essence,"the constituent elementary notions which constitute a complex notion , and must be enumerated to define it"
essential,first or constituent principle
establishment,"the state of being established , founded , and the like"
estate,social standing or rank
esteem,great regard
estimate,rough or approximate calculation
estimation,esteem
eternal,that which is endless and immortal
eternity,duration without end in the future
ether,the air itself
ethics,rules of practice in respect to a single class of human actions
etiquette,ceremonial code of polite society
even,evening
evening,"the latter portion , as of life"
event,"that which comes , arrives , or happens"
everlasting,eternity
eve,the period immediately preceding some important event
evidence,"that which is legally submitted to competent tribunal , as a means of ascertaining the truth of any alleged matter of fact under investigation before it"
evil,depravity
evolution,any process of growth or development
exaggeration,"a going beyond the bounds of truth reason , or justice"
exaltation,the state of being exalted
examination,a process prescribed or assigned for testing qualification
example,a model
excellence,that by which any one excels or is eminent
exception,that which is excepted or taken out from others
excess,an undue indulgence of the appetite
exchange,the act of substituting one thing in the place of another
excitement,agitation
exclamation,loud or emphatic utterance
exclusion,prohibition
exclusive,one of a coterie who exclude others
excuse,release
executioner,one who executes
execution,the act of executing
executive,"a manager , supervisor or administrator at a high level within an organization"
exempt,one not subject
exercise,"exertion for the sake of training or improvement whether physical , intellectual , or moral"
exhaustion,the act of emptying completely of the contents
exhibit,"any article , or collection of articles , displayed to view , as in an industrial exhibition"
exhibition,"that which is exhibited , held forth , or displayed"
exile,forced separation from one ' s native country
existence,a being
exit,the act of quitting the stage of action or of life
expanse,a wide extent of space or body
expansion,the act of expanding or spreading out
expectation,grounds upon which something excellent is expected to happen
expedient,suitable means to accomplish an end
expedition,"an important enterprise , implying a change of place"
expenditure,disbursement
expense,"that which is expended , laid out , or consumed"
experience,"an act of knowledge , one or more , by which single facts or general truths are ascertained"
experiment,"a trial or special observation , made to confirm or disprove something uncertain"
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,that which explains or makes clear
exploit,an adventurous or noble achievement
exploration,physical examination
explosion,"a violent outburst of feeling , manifested by excited language , action , etc"
exposition,"a public exhibition or show , as of industrial and artistic productions"
exposure,the state of being exposed or laid open or bare
express,a railway train or bus for transporting passengers or goods with speed and punctuality
expression,"significant and impressive indication , whether by language , appearance , or gesture"
exquisite,a dandy
extension,capacity of a concept or general term to include a greater or smaller number of objects
extent,superficies
external,visible form
extinction,the act of extinguishing or making extinct
extra,an added charge or fee or something for which an additional charge is made
extract,essence
extravagance,prodigality
extravagant,one who is confined to no general rule
extreme,the utmost point or verge
extremity,the utmost limit
exultation,"lively joy at success or victory , or at any advantage gained"
eye,a brood
fable,"a feigned story or tale , intended to instruct or amuse"
fabric,make
face,"the principal dressed surface of a plate , disk , or pulley"
facility,the quality of being easily performed
facing,a lining placed near the edge of a garment for ornament or protection
fact,actuality
faction,"a party , in political society , combined or acting in union , in opposition to the government , or state"
factor,a contributory cause
factory,"a house or place where factors , or commercial agents , reside , to transact business for their employers"
faculty,characteristic knack
fail,failure
failure,deficiency
fair,good luck
fairy,a fay
faith,"firm and earnest belief , on probable evidence of any kind , especially in regard to important moral truth"
fall,the act of dropping or tumbling from an erect posture
falsehood,a lie
fame,"celebrity , either favorable or unfavorable"
familiar,an intimate
familiarity,liberties
family,house
famine,destitution
fan,"any revolving vane or vanes used for producing currents of air , in winnowing grain , blowing a fire , ventilation , etc"
fancy,the faculty by which the mind forms an image or a representation of anything perceived before
fantastic,an eccentric person
far,"a young pig , or a litter of pigs"
farce,forcemeat
fare,entertainment
farewell,the parting compliment
farm,a district of country leased ( or farmed ) out for the collection of the revenues of government
farmer,one who is devoted to the tillage of the soil
farming,the business of cultivating land
farthing,"a small copper coin of great britain , being a cent in united states currency"
fascination,that which fascinates
fashionable,a person who conforms to the fashions
fashion,workmanship
faster,one who abstains from food
fast,that which fastens or holds
fat,"an oily liquid or greasy substance making up the main bulk of the adipose tissue of animals , and widely distributed in the seeds of plants"
fate,fortune
father,a generator
fathom,"a measure of length , containing six feet"
fatigue,weariness from bodily labor or mental exertion
fault,a defect or dereliction from duty
favorite,one preferred above others
favor,kind regard
fear,"a painful emotion or passion excited by the expectation of evil , or the apprehension of impending danger"
feast,a holiday
feat,an act
feather,the fringe of long hair on the legs of the setter and some other dogs
feature,a lineament
feed,"grain , ground or whole"
feeding,"that which furnishes or affords food , especially for animals"
feel,a sensation communicated by touching
feeling,an act or state of perception by the sense above described
fee,tenure
felicity,blessedness
fellow,a companion
fellowship,companionship
fell,"the finer portions of ore which go through the meshes , when the ore is sorted by sifting"
female,"an individual of the sex which conceives and brings forth young , or ( in a wider sense ) which has an ovary and produces ova"
fence,a cover
ferocity,fury
fertility,the state or quality of being fertile or fruitful
fetch,the unobstructed region of the ocean over which the wind blows to generate waves
fever,excessive excitement of the passions in consequence of strong emotion
fiction,a fabrication
fiddle,a stringed instrument of music played with a bow
fidelity,"careful and exact observance of duty , or discharge of obligations"
field,a place where a battle is fought
fiend,an infernal being
fifteen,the sum of five and ten
fifteenth,one of fifteen equal parts or divisions
fifth,the quotient of a unit divided by five
fifty,the sum of five tens
fight,pugnacity
figure,the form of anything
file,"a steel instrument , having cutting ridges or teeth , made by indentation with a chisel , used for abrading or smoothing other substances , as metals , wood , etc"
filling,"that which is used to fill a cavity or any empty space , or to supply a deficiency"
fill,that which fills
film,any thin layer covering a surface
filth,dirt
finance,the income of a ruler or of a state
find,anything found
finding,a verdict
fine,"a sum of money paid as the settlement of a claim , or by way of terminating a matter in dispute"
finger,"a small projecting rod , wire , or piece , which is brought into contact with an object to effect , direct , or restrain a motion"
finishing,the final work upon or ornamentation of a thing
finish,minute detail careful elaboration or the like
fire,"fuel in a state of combustion , as on a hearth , or in a stove or a furnace"
fireplace,a hearth
firing,"the application of fire , or of a cautery"
firm,a commercial house
firmament,the sky or heavens
fiscal,a treasurer
fish,"a counter , used in various games"
fisherman,one whose occupation is to catch fish
fishing,"the act , practice , or art of one who fishes"
fist,the hand with the fingers doubled into the palm
fit,a sudden and violent attack of a disorder
fitness,the state or quality of being fit
five,"the number next greater than four , and less than six"
fix,dilemma
fixing,arrangements
flag,a flat stone used for paving
flame,darting or streaming fire
flank,"the fleshy or muscular part of the side of an animal , between the ribs and the hip"
flannel,"a soft , nappy , woolen cloth , of loose texture"
flash,a momentary blaze
flashing,the reheating of a globe of crown glass to allow it to assume a flat shape as it is rotated
flask,a small bottle - shaped vessel for holding fluids
flat,"a level surface , without elevation , relief , or prominences"
flattery,the act of pleasing by artful commendation or compliments
flavor,a substance which flavors
fleet,a creek or inlet
flesh,"the aggregate of the muscles , fat , and other tissues which cover the framework of bones in man and other animals"
flight,the act of fleeing
fling,a cast from the hand
floating,the second coat of three - coat plastering
float,"the hollow , metallic ball of a self - acting faucet , which floats upon the water in a cistern or boiler"
flock,the dust of vegetable fiber used for a similar purpose
flood,a body of moving water
floor,"the surface , or the platform , of a structure on which we walk or travel"
flora,"the complete system of vegetable species growing without cultivation in a given locality , region , or period"
flourish,nament
flour,"the finely ground meal of wheat , or of any other grain"
flow,a current
flowering,"the act of blossoming , or the season when plants blossom"
flower,"the showy portion , usually of a different color , shape , and texture from the foliage"
fluid,a body whose particles move easily among themselves
flush,a blush
flute,a channel of curved section
flutter,disorder
fly,any winged insect
foam,"the white substance , consisting of an aggregation of bubbles , which is formed on the surface of liquids , or in the mouth of an animal , by violent agitation or fermentation"
foe,an enemy
fog,a second growth of grass
folding,the act of making a fold or folds
fold,times or repetitions
foliage,"a cluster of leaves , flowers , and branches"
folio,a leaf of a book or manuscript
follow,the art or process of following
folly,want of good sense
fond,"fund , stock , or store"
fondness,tender liking
food,what is fed upon
foolishness,a foolish practice
fool,"one who acts absurdly , or pursues a course contrary to the dictates of wisdom"
football,"something which is treated in a rough manner , usually as part of a dispute"
footing,place for the foot to rest on
foot,the part below the ankle or wrist
forbearance,the act of forbearing or waiting
force,special signification
forefinger,the finger next to the thumb
forehead,assurance
foreigner,"one not native in the country or jurisdiction under consideration , or not naturalized there"
foreman,"the chief man of a jury , who acts as their speaker"
foresight,prudence
forest,a large tract of land covered with trees
fore,the future
forfeit,"that which is lost , or the right to which is alienated , by a crime , offense , neglect of duty , or breach of contract"
forgiveness,willingness to forgive
fork,a prong
forlorn,"a lost , forsaken , or solitary person"
formation,a substance formed or deposited
format,its external form
former,a creator
form,"particular disposition or arrangement of matter , giving it individuality or distinctive character"
formula,a written confession of faith
fort,a fortification
fortitude,passive courage
fortnight,two weeks
fortune,that which comes as the result of an undertaking or of a course of action
forty,the sum of four tens
foul,"in various games or sports , an act done contrary to the rules"
foundation,groundwork
founder,one from whom anything originates
fountain,the structure or works in which such a jet or stream rises or flows
fourteen,the sum of ten and four
fourteenth,one next after the thirteenth in a series
fourth,"the interval of two tones and a semitone , embracing four diatonic degrees of the scale"
fraction,one or more aliquot parts of a unit or whole number
fragment,"a small , detached portion"
fragrance,sweetness of smell
frail,a rush for weaving baskets
frame,the bodily structure
framework,"work done in , or by means of , a frame or loom"
frankness,candor
frank,the sign mark or signature denoting that a letter or other mail matter is to go free of postage
fraud,artifice by which the right or interest of another is injured
fray,"a fret or chafe , as in cloth"
freedom,independence
freight,lading
frenzy,rage
freshness,the state of being fresh
fret,irritation
friar,an american fish
friction,attrition
friendliness,the condition or quality of being friendly
friend,one not inimical or hostile
frigate,"iginally , a vessel of the mediterranean propelled by sails and by oars"
fright,"sudden and violent fear , usually of short duration"
fringe,"but more commonly made separate and sewed on , consisting sometimes of projecting ends , twisted or plaited together , and sometimes of loose threads of wool , silk , or linen , or narrow strips of leather , or the like"
frock,a gown forming a part of european modern costume for women and children
frog,"the triangular prominence of the hoof , in the middle of the sole of the foot of the horse , and other animals"
frontier,"the border , confine , or extreme part of a country , bordering on another country"
front,"sometimes , also , the whole face"
frost,frozen dew
frown,"a sour , severe , or stern look"
fruit,"the ripened ovary of a flowering plant , with its contents and whatever parts are consolidated with it"
fuel,"combustible matter used for fires , as wood , coal , peat , etc"
fugitive,"one who flees from pursuit , danger , restraint , service , duty , etc"
full,complete measure
fuller,one whose occupation is to full cloth
function,the exertion of an energy of some determinate kind
fundamental,"essential part ,"
fund,"evidences ( stocks or bonds ) of money lent to government , for which interest is paid at prescribed intervals"
funeral,burial
fun,merriment
furnace,severe experience or discipline
furniture,supplies
fur,"the short , fine , soft hair of certain animals , growing thick on the skin , and distinguished from the hair , which is longer and coarser"
fury,violent anger
fuss,unnecessary or annoying ado about trifles
future,"collectively , events that are to happen in time to come"
gaiety,same as gayety
gain,acquisition
gait,a walk
gale,the payment of a rent or annuity
gallant,"in a bad sense , a seducer"
gallery,"a connecting passageway , as between one room and another"
galley,a large vessel for war and national purposes
gallop,"a mode of running by a quadruped , particularly by a horse , by lifting alternately the fore feet and the hind feet , in successive leaps or bounds"
game,a single contest
gang,a group of laborers under one foreman
gap,an opening which implies a breach or defect
garb,costume
garden,"a piece of ground appropriated to the cultivation of herbs , fruits , flowers , or vegetables"
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
garrison,a body of troops stationed in a fort or fortified town
gas,an a ë riform fluid
gasp,a painful catching of the breath
gate,"a large door or passageway in the wall of a city , of an inclosed field or place , or of a grand edifice , etc"
gather,a pucker
gathering,a congregation
gaze,"a look of eagerness , wonder , or admiration"
gear,household stuff
gem,"a precious stone of any kind , as the ruby , emerald , topaz , sapphire , beryl , spinel , etc"
general,one of the chief military officers of a government or country
generation,"procreation , as of animals"
generosity,the quality of being noble
genesis,the first book of the old testament
geneva,"a strongly alcoholic liquor , flavored with juniper berries"
genius,the peculiar structure of mind with which each individual is endowed by nature
gentle,a dipterous larva used as fish bait
gentleman,one above the condition of a yeoman
gentleness,"softness of manners , disposition , etc"
gentry,"in england , in a restricted sense , those between the nobility and the yeomanry"
genus,a class more extensive than a species
geography,a treatise on this science
germ,the earliest form under which an organism appears
gesture,"any action or posture intended to express an idea or a passion , or to enforce or emphasize an argument , assertion , or opinion"
get,offspring
getting,gain
ghost,an unsubstantial image
giant,"any animal , plant , or thing , of extraordinary size or power"
gift,"the act , right , or power of giving or bestowing"
gilt,"a female pig , when young"
gin,"a strong alcoholic liquor , distilled from rye and barley , and flavored with juniper berries"
girdle,the zodiac
girl,a female servant
giving,a conferring or imparting
gladness,state or quality of being glad
glance,a quick cast of the eyes
glare,"a viscous , transparent substance"
glass,a mirror
gleam,a glimpse
glee,joy
glen,a dale
glide,"the act or manner of moving smoothly , swiftly , and without labor or obstruction"
glimmer,mica
glimpse,a transitory or fragmentary perception
glitter,brilliant and showy luster
globe,the earth
gloom,obscurity
glory,that which brings or gives renown
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,intense excitement or earnestness
goal,"in certain games , the point which the ball or puck must pass in order for points to be scored"
god,a divinity
goddess,a woman of superior charms or excellence
going,childbearing
gold,"an old english name of some yellow flower , -- the marigold ( calendula ), according to dr"
gorge,the throat
gospel,glad tidings
gossip,"one who runs house to house , tattling and telling news"
gout,a drop
governess,a female governor
government,regulation
governor,one who governs
gown,the dress of peace
grace,disposition to benefit or serve another
grade,the rate of ascent or descent
gradual,a service book containing the musical portions of the mass
grain,"a kernel , especially of those plants , like wheat , whose seeds are used for food"
grammar,"the study of forms of speech , and their relations to one another"
grandeur,elevation of thought or expression
grandfather,a father ' s or mother ' s father
granite,"a crystalline , granular rock , consisting of quartz , feldspar , and mica , and usually of a whitish , grayish , or flesh - red color"
grant,the yielding or admission of something in dispute
grasp,a gripe or seizure of the hand
grass,the plants which constitute the food of cattle and other beasts
grate,"a frame or bed , or kind of basket , of iron bars , for holding fuel while burning"
gratification,a gratuity
grating,a latticework resembling a window grate
gratitude,the state of being grateful
grave,a tomb
gravel,"small stones , or fragments of stone"
gravity,enormity
gray,any mixture of white and black
greatness,"the state , condition , or quality of being great"
greed,greediness
green,fresh leaves or branches of trees or other plants
greeting,expression of kindness or joy
grief,pain of mind on account of something in the past
grievance,affliction
grind,"the act of reducing to powder , or of sharpening , by friction"
grin,"the act of closing the teeth and showing them , or of withdrawing the lips and showing the teeth"
grip,strength in grasping
groan,"sometimes , an expression of strong disapprobation"
groom,"a man recently married , or about to be married"
gross,"the chief part , bulk , or mass"
grotesque,artificial grotto - work
ground,a floor or pavement supposed to rest upon the earth
group,"a variously limited assemblage of animals or plants , having some resemblance , or common characteristics in form or structure"
grove,"a smaller group of trees than a forest , and without underwood , planted , or growing naturally as if arranged by art"
growl,a grumbling sound
growth,advancement
grudge,"cherished malice , enmity , or dislike"
guarantee,a warranty
guardian,"one who guards , preserves , or secures"
guard,one who has charge of a mail coach or a railway train
guess,a conjecture
guest,a person received and entertained in one ' s house or at one ' s table
guidance,the superintendence or assistance of a guide
guide,a director
guilt,a feeling of regret or remorse for having committed some improper act
guise,cover
gulf,a portion of an ocean or sea extending into the land
gum,a rubber overshoe
gunpowder,"a black , granular , explosive substance , consisting of an intimate mechanical mixture of saltpeter , charcoal , and sulphur"
gun,violent blasts of wind
guy,"a rope , chain , or rod attached to anything to steady it"
habitation,occupancy
habit,usage
hail,"small roundish masses of ice precipitated from the clouds , where they are formed by the congelation of vapor"
hair,"the collection or mass of filaments growing from the skin of an animal , and forming a covering for a part of the head or for any part or the whole of the body"
half,"one of two equal parts into which anything may be divided , or considered as divided"
hall,"a vestibule , entrance room , etc"
halt,lameness
hammer,"the padded mallet of a piano , which strikes the wires , to produce the tones"
ham,the thigh of a hog cured by salting and smoking
hand,"a limb of certain animals , as the foot of a hawk , or any one of the four extremities of a monkey"
handful,a small quantity or number
handkerchief,"a piece of cloth , usually square and often fine and elegant , carried for wiping the face or hands"
handle,"that part of vessels , instruments , etc"
handling,"the mode of using the pencil or brush , etc"
handwriting,manuscript
hang,connection
hanging,the state of being suspended
happiness,the possession of those circumstances or that state of being which is attended with enjoyment
harbor,a port or haven
hard,a ford or passage across a river or swamp
hardness,"the quality or state of being hard , literally or figuratively"
hardship,"that which is hard to bear , as toil , privation , injury , injustice , etc"
hardware,ironmongery
harm,injury
harmony,good correspondence
harness,gear
harp,a constellation
hart,the male of the red deer
harvest,reward
haste,sudden excitement of feeling or passion
hat,a covering for the head
hate,detestation
haul,a pulling with force
haunt,a place to which one frequently resorts
hawk,"a small board , with a handle on the under side , to hold mortar"
hay,grass cut and cured for fodder
hazard,accident
haze,"a state of confusion , uncertainty , or vagueness of thought or perception"
hazel,the filbert
headache,pain in the head
header,"one who , or that which , heads nails , rivets , etc"
heading,title
head,"the uppermost , foremost , or most important part of an inanimate object"
health,"the state of being hale , sound , or whole , in body , mind , or soul"
heap,a pile or mass
hearing,the act or power of perceiving sound
hearth,a corresponding part of a stove
heart,the source of life and motion in any organization
hearty,boon companion
heath,"a low shrub , with minute evergreen leaves , and handsome clusters of pink flowers"
heathen,"an individual of the pagan or unbelieving nations , or those which worship idols and do not acknowledge the true god"
heat,the reverse of cold
heave,"a swell or distention , as of the breast in difficult breathing , of the waves , of the earth in an earthquake , and the like"
heaven,the place or state of the blessed after death
hedge,"particularly , such a thicket planted round a field to fence it , or in rows to separate the parts of a garden"
heed,careful consideration
heel,the closing or concluding part
height,stature
heir,one who receives any endowment from an ancestor or relation
hell,the grave
helmet,a defensive covering for the head
helm,one at the place of direction or control
help,^
hem,"the edge or border of a garment or cloth , doubled over and sewed , to strengthen it and prevent raveling"
hen,the female of the domestic fowl
herald,"one who , or that which , publishes or announces"
herb,"a plant whose stem does not become woody and permanent , but dies , at least down to the ground , after flowering"
herd,a particular stock or family of cattle
hereafter,a future existence or state
heresy,"an opinion held in opposition to the established or commonly received doctrine , and tending to promote a division or party , as in politics , literature , philosophy , etc"
hermit,one who so lives from religious motives
hero,"an illustrious man , supposed to be exalted , after death , to a place among the gods"
heroine,a woman of an heroic spirit
heroism,the display of such qualities
hesitation,a faltering in speech
hide,the human skin
hiding,concealment
high,a superior region
hill,the earth raised about the roots of a plant or cluster of plants
hint,an occasion or motive
hire,pay
historian,a writer of history
history,a narrative
hit,"a stroke of success in an enterprise , as by a fortunate chance"
holder,"one who , or that which , holds"
holding,a farm or other estate held of another
hold,"the act of holding , as in or with the hands or arms"
hole,a mean habitation
holiday,a festival day
holiness,perfect moral integrity or purity
hollow,an unfilled space within anything
homage,profession of fealty to a sovereign
homer,"a hebrew measure containing , as a liquid measure , ten baths , equivalent to fifty - five gallons , two quarts , one pint"
home,the house in which one lives
honesty,freedom from fraud or guile
honey,"a sweet viscid fluid , especially that collected by bees from flowers of plants , and deposited in the cells of the honeycomb"
honor,esteem due or paid to worth
hood,"a like appendage to a cloak or loose overcoat , that may be drawn up over the head at pleasure"
hook,a sickle
hope,"a desire of some good , accompanied with an expectation of obtaining it , or a belief that it is obtainable"
horizon,the apparent junction of the earth and sky
horn,"a hard , projecting , and usually pointed organ , growing upon the heads of certain animals , especially of the ruminants , as cattle , goats , and the like"
horror,a shuddering with terror and detestation
horse,a hoofed quadruped of the genus equus
horseback,the back of a horse
horseman,a rider on horseback
hospital,"a building in which the sick , injured , or infirm are received and treated"
hospitality,the act or practice of one who is hospitable
host,any animal or plant affording lodgment or subsistence to a parasitic or commensal organism
hostess,a female host
hostile,an enemy
hostility,a hostile deed
hotel,a house for entertaining strangers or travelers
hound,a despicable person
hour,fixed or appointed time
house,"a dwelling place , a mansion"
household,those who dwell under the same roof and compose a family
housekeeper,"often , a woman hired to superintend the servants of a household and manage the ordinary domestic affairs"
howl,"the protracted , mournful cry of a dog or a wolf , or other like sound"
hue,dye
hull,the husk
hum,a buzz
humanity,"the kind feelings , dispositions , and sympathies of man"
humiliation,abasement of pride
humility,an act of submission or courtesy
humming,a hum
humor,"a vitiated or morbid animal fluid , such as often causes an eruption on the skin"
hundred,"a collection or sum , consisting of ten times ten units or objects"
hunger,any strong eager desire
hunter,a thoroughbred bred and trained for hunting
hunting,the pursuit of game or of wild animals
hunt,pursuit
hurry,pressure
hurt,a husk
husband,a man who has a wife
hut,a mean lodge or dwelling
hymn,an ode or song of praise or adoration
hypocrisy,"a dissimulation , or a concealment of one ' s real character , disposition , or motives"
hypothesis,a supposition
ice,frozen water
idea,"a notion , conception , or thought"
ideal,a mental conception regarded as a standard of perfection
identification,"the act of identifying , or proving to be the same"
identity,"the condition of being the same with something described or asserted , or of possessing a character claimed"
idiot,a fool
idol,"a representation or symbol of a deity or any other being or thing , made or used as an object of worship"
idolatry,"the worship of idols , images , or anything which is not god"
ignorance,"the lack of knowledge in general , or in relation to a particular subject"
ill,disease
illness,sickness
illumination,festive decoration of houses or buildings with lights
illusion,witchery
illustration,"a comparison or example intended to make clear or apprehensible , or to remove obscurity"
image,the likeness of anything to which worship is paid
imagination,the representative power
