abandon,freedom from artificial constraint
dining,from dine a
din,"loud , confused , harsh noise"
dinner,a feast
dip,"a hollow or depression in a surface , especially in the ground"
diplomacy,tact
diplomatic,"a minister , official agent , or envoy to a foreign court"
direction,"the act of directing , of aiming , regulating , guiding , or ordering"
director,a manager or superintendent
dirt,"any foul of filthy substance , as excrement , mud , dust , etc"
disadvantage,deprivation of advantage
disappearance,the act of disappearing
disappointment,defeat or failure of expectation or hope
disaster,a serious mishap
discharge,letting off
disciple,an adherent in doctrine
discipline,development of the faculties by instruction and exercise
disclaimer,"a denial , disavowal , or renunciation , as of a title , claim , interest , estate , or trust"
discomfort,distress
discontent,dissatisfaction
discord,absence of unity or harmony in sentiment or action
discourse,treatise
discovery,the action of discovering
discretion,circumspection
discrimination,"the act of discriminating , distinguishing , or noting and marking differences"
discussion,debate
disdain,a feeling of contempt and aversion
disease,sickness
disgrace,shame
disguise,intoxication
disgust,repugnance to what is offensive
dish,any particular kind of food especially prepared food
disk,"a flat , circular plate"
dislike,displeasure
dismay,ruin
dismissal,discharge
disobedience,neglect or refusal to obey
disorder,confusion
dispatch,the act of sending a message or messenger in haste or on important business
display,exhibition for effect
displeasure,injury
disposal,arrangement
disposition,application
dispute,quarrel
disregard,omission of notice
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,resolution
distance,measure of separation in place
distinction,"the act of distinguishing or denoting the differences between objects , or the qualities by which one is known from others"
distress,misfortune
distribution,that which is distributed
district,any portion of territory of undefined extent
distrust,"lack of confidence , faith , or reliance"
disturbance,violent agitation in the body politic
ditch,"any long , narrow receptacle for water on the surface of the earth"
diversion,"that which turns or draws the mind from care or study , and thus relaxes and amuses"
diversity,variegation
divide,called watershed and water parting
divine,a priest
divinity,the state of being divine
division,"the act or process of diving anything into parts , or the state of being so divided"
divorce,a legal dissolution of the marriage contract by a court or other body having competent authority
dock,the part of a tail left after clipping or cutting
doctor,one duly licensed to practice medicine
doctrine,instruction
document,"an original or official paper relied upon as the basis , proof , or support of anything else"
doe,a female deer or antelope
dog,"a mean , worthless fellow"
doll,an attractive woman or girl
dollar,a gold coin of the united states containing 23
domain,empire
dome,a building
domestic,"articles of home manufacture , especially cotton goods"
dominant,the fifth tone of the scale
dominion,"independent right of possession , use , and control"
donation,the act of giving or bestowing
donkey,an ass
don,sir
doom,death
door,means of approach or access
doorway,the passage of a door
dose,a portion
dot,a small portion or specimen
double,a doubling
doubt,point unsettled
dough,anything of the consistency of such paste
dove,"a person advocating peace , compromise or conciliation rather than war or conflict"
downfall,a sudden fall
dozen,a tale or set of twelve
draft,"an order from one person or party to another , directing the payment of money"
drag,a kind of low car or handcart
dragon,"a fierce , violent person , especially a woman"
drain,a channel
drama,dramatic literature
draw,draught
drawer,one who draws a bill of exchange or order for payment
drawing,such a representation when in one color or in tints used not to represent the colors of natural objects but for effect only and produced with hard material such as pencil chalk etc
dread,great fear in view of impending evil
dream,"the thoughts , or series of thoughts , or imaginary transactions , which occupy the mind during sleep"
dress,clothes
dressing,dress
drift,the force which impels or drives
drill,a light furrow or channel made to put seed into sowing
drinking,the act of imbibing
drink,"specifically , intoxicating liquor"
dripping,"that which falls in drops , as fat from meat in roasting"
drive,a road prepared for driving
driver,"a charioteer , etc"
driving,the act of forcing or urging something along
dropping,falling
drop,the quantity of fluid which falls in one small spherical mass
drove,"a number of animals , as oxen , sheep , or swine , driven in a body"
drug,any stuff used in dyeing or in chemical operations
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a drunken condition
drunkenness,inflammation
duchess,the wife or widow of a duke
duck,"a linen ( or sometimes cotton ) fabric , finer and lighter than canvas , -- used for the lighter sails of vessels , the sacking of beds , and sometimes for men ' s clothing"
duel,"a combat between two persons , fought with deadly weapons , by agreement"
due,"whatever custom , law , or morality requires to be done"
dug,"a teat , pap , or nipple"
duke,the fists
duration,continuance in time
dusk,twilight
dust,fine powder
duty,"specifically , obedience or submission due to parents and superiors"
dwarf,an animal or plant which is much below the ordinary size of its species or kind
dwelling,domicile
dye,"same as die , a lot"
dying,loss of life
dynasty,lordship
eagerness,ardent desire
eagle,"a gold coin of the united states , of the value of ten dollars"
earl,"a nobleman of england ranking below a marquis , and above a viscount"
earnestness,the state or quality of being earnest
earnest,"something of value given by the buyer to the seller , by way of token or pledge , to bind the bargain and prove the sale"
ear,the organ of hearing
earthquake,"a shaking , trembling , or concussion of the earth , due to subterranean causes , often accompanied by a rumbling noise"
earth,"the world , in distinction from the sun , moon , or stars"
ease,tranquillity
east,the eastern parts of the earth
eating,the act of consuming or corroding
ebb,the european bunting
eccentric,"one who , or that which , deviates from regularity"
echo,repercussion of sound
economy,the system of rules and regulations by which anything is managed
ecstasy,enthusiastic delight
eddy,"a current of air or water running back , or in a direction contrary to the main current"
edge,extreme verge
edifice,a structure
edition,the whole number of copies of a work printed and published at one time
editorial,an article published as an expression of the views of the editor
editor,one who edits
education,the act or process of educating
effective,"specie or coin , as distinguished from paper currency"
effect,result
efficient,a prime mover
effort,struggle directed to the accomplishment of an object
egg,"the oval or roundish body laid by domestic poultry and other birds , tortoises , etc"
eighteen,the number greater by a unit than seventeen
eighteenth,the quotient of a unit divided by eighteen
eighth,the interval of an octave
eight,the number greater by a unit than seven
eighty,the sum of eight times ten
elbow,the joint or bend of the arm
elder,an aged person
election,choice
elect,one chosen or set apart
elegance,refinement
element,one of the ultimate parts which are variously combined in anything
elevation,"the act of raising from a lower place , condition , or quality to a higher"
eleven,the sum of ten and one
eleventh,the quotient of a unit divided by eleven
eloquence,whatever produces the effect of moving and persuasive speech
embassy,the ambassador and his suite
emblem,a symbol
embrace,pressure to the bosom
embroidery,"needlework used to enrich textile fabrics , leather , etc"
emerald,"a precious stone of a rich green color , a variety of beryl"
emergency,sudden or unexpected appearance
eminence,"a title of honor , especially applied to a cardinal in the roman catholic church"
emotion,"excitement of the feelings , whether pleasing or painful"
emperor,the sovereign or supreme monarch of an empire
emphasis,a peculiar impressiveness of expression or weight of thought
empire,supreme control
employee,one employed by another
employer,one who employs another
employment,service
employ,that which engages or occupies a person
empress,the consort of an emperor
encampment,"the act of pitching tents or forming huts , as by an army or traveling company , for temporary lodging or rest"
enchantment,"the production of certain wonderful effects by the aid of demons , or the agency of supposed spirits"
enclosure,inclosure
encounter,a combat
encouragement,the act of encouraging
endeavor,an exertion of physical or intellectual strength toward the attainment of an object
ending,conclusion
end,"result , whether successful or otherwise"
endurance,continuance
enemy,one hostile to another
energy,internal or inherent power
engagement,"specifically , a pledge to take some one as husband or wife"
engine,any device or contrivance
engineer,a person skilled in the principles and practice of any branch of engineering
enjoyment,"pleasure or satisfaction , as in the possession or occupancy of anything"
enmity,hostile or unfriendly disposition
enterprise,that which is undertaken
entertainment,hospitable reception
enthusiasm,inspiration as if by a divine or superhuman power
entire,entirely
entity,"a real being , whether in thought ( as an ideal conception ) or in fact"
entrance,"the passage , door , or gate , for entering"
entreaty,pressing solicitation
entry,that by which entrance is made
envelope,"a work of earth , in the form of a single parapet or of a small rampart"
environment,"surrounding conditions , influences , or forces , by which living forms are influenced and modified in their growth and development"
envoy,a messenger
envy,"chagrin , mortification , discontent , or uneasiness at the sight of another ' s excellence or good fortune , accompanied with some degree of hatred and a desire to possess equal advantages"
episode,"a separate incident , story , or action , introduced for the purpose of giving a greater variety to the events related"
epistle,a letter
epoch,"a period of time , longer or shorter , remarkable for events of great subsequent influence"
equality,evenness
equal,one not inferior or superior to another
equilibrium,"a just poise or balance in respect to an object , so that it remains firm"
equipment,necessaries for an expedition or voyage
equivalent,"that comparative quantity by weight of an element which possesses the same chemical value as other elements , as determined by actual experiment and reference to the same standard"
era,a period of time reckoned from some particular date or epoch
erection,the act of rousing to excitement or courage
errand,a commission
error,mistake
escape,"the act of fleeing from danger , of evading harm , or of avoiding notice"
escort,"protection , care , or safeguard on a journey or excursion"
essay,a composition treating of any particular subject
essence,"the constituent elementary notions which constitute a complex notion , and must be enumerated to define it"
essential,first or constituent principle
establishment,settlement
estate,quality
esteem,reckoning
estimate,rough or approximate calculation
estimation,valuation
eternal,one of the appellations of god
eternity,"infinite duration , without beginning in the past or end in the future"
ether,supposed matter above the air
ethics,rules of practice in respect to a single class of human actions
etiquette,ceremonial code of polite society
even,evening
evening,"the latter part and close of the day , and the beginning of darkness or night"
event,the consequence of anything
everlasting,"eternal duration , past or future"
eve,"the evening before a holiday , -- from the jewish mode of reckoning the day as beginning at sunset , not at midnight"
evidence,that which makes evident or manifest
evil,disposition to do wrong
evolution,any process of growth or development
exaggeration,"a going beyond the bounds of truth reason , or justice"
exaltation,the act of exalting or raising high
examination,a process prescribed or assigned for testing qualification
example,a model
excellence,an excellent or valuable quality
exception,exclusion
excess,"the being of a measure beyond sufficiency , necessity , or duty"
exchange,a publication exchanged for another
excitement,that which excites or rouses
exclamation,"sudden expression of sound or words indicative of emotion , as in surprise , pain , grief , joy , anger , etc"
exclusion,rejection
exclusive,one of a coterie who exclude others
excuse,apology
execution,consummation
executioner,one who executes
executive,the governing person or body
exempt,one not subject
exercise,application
exhaustion,the state of being exhausted or emptied
exhibit,"any article , or collection of articles , displayed to view , as in an industrial exhibition"
exhibition,sustenance
exile,banishment
existence,the state of existing or being
exit,any departure
expanse,that which is expanded or spread out
expansion,space through which anything is expanded
expectation,that which is expected or looked for
expedient,that which serves to promote or advance
expedition,progress
expenditure,"a laying out , as of money"
expense,charge
experience,actual enjoyment or suffering
experiment,practical test
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,definition
exploit,a deed of renown
exploration,physical examination
explosion,"a bursting with violence and loud noise , because of internal pressure"
exposition,a work containing explanations or interpretations
exposure,openness to danger
express,a courier
expression,the act of forcing out by pressure
exquisite,a fop
extension,augmentation
extent,length
external,visible form
extinction,destruction
extra,an added charge or fee or something for which an additional charge is made
extract,essence
extravagance,a wandering beyond proper limits
extravagant,one who is confined to no general rule
extreme,any undue departure from the mean
extremity,a leg or an arm of man
exultation,"lively joy at success or victory , or at any advantage gained"
eye,a brood
fable,"the plot , story , or connected series of events , forming the subject of an epic or dramatic poem"
fabric,workmanship
face,"the principal dressed surface of a plate , disk , or pulley"
facility,ease
facing,a lining placed near the edge of a garment for ornament or protection
fact,anything done or that comes to pass
faction,dissension
factor,one who transacts business for another
factory,the body of factors in any place
faculty,capacity for any natural function
fail,miscarriage
failure,nonperformance
fair,"a festival , and sale of fancy articles"
fairy,a fay
faith,"the assent of the mind to the statement or proposition of another , on the ground of the manifest truth of what he utters"
fall,the act of dropping or tumbling from an erect posture
falsehood,deceit
fame,report or opinion generally diffused
familiar,an attendant demon or evil spirit
familiarity,liberties
family,"the group comprising a husband and wife and their dependent children , constituting a fundamental unit in the organization of society"
famine,general scarcity of food
fan,"an instrument for winnowing grain , by moving which the grain is tossed and agitated , and the chaff is separated and blown away"
fancy,the power of combining and modifying such objects into new pictures or images
fantastic,an eccentric person
far,"a young pig , or a litter of pigs"
farce,forcemeat
fare,provisions for the table
farewell,the parting compliment
farm,"any tract of land devoted to agricultural purposes , under the management of a tenant or the owner"
farmer,a cultivator of leased ground
farming,the business of cultivating land
farthing,the fourth of a penny
fascination,witchcraft
fashionable,a person who conforms to the fashions
fashion,workmanship
faster,one who abstains from food
fast,that which fastens or holds
fate,allotted life
father,a male ancestor more remote than a parent
fathom,the space to which a man can extend his arms
fatigue,the weakening of a metal when subjected to repeated vibrations or strains
fat,the best part
fault,a defect or dereliction from duty
favor,friendly disposition
favorite,a person or thing regarded with peculiar favor
fear,solicitude
feast,entertainment
feat,an exploit
feather,"one of the peculiar dermal appendages , of several kinds , belonging to birds , as contour feathers , quills , and down"
feature,"the make , form , or outward appearance of a person"
feeding,that which is eaten
feed,pasture
feel,a sensation communicated by touching
feeling,"that one of the five senses which resides in the general nerves of sensation distributed over the body , especially in its surface"
fee,tenure
felicity,blessing
fell,a moor
fellow,a sharer
fellowship,joint interest
female,"an individual of the sex which conceives and brings forth young , or ( in a wider sense ) which has an ovary and produces ova"
fence,a defense
ferocity,cruelty
fertility,fertile invention
fetch,the unobstructed region of the ocean over which the wind blows to generate waves
fever,"a diseased state of the system , marked by increased heat , acceleration of the pulse , and a general derangement of the functions , including usually , thirst and loss of appetite"
fiction,"that which is feigned , invented , or imagined"
fiddle,"a rack or frame of bars connected by strings , to keep table furniture in place on the cabin table in bad weather"
fidelity,adherence to the marriage contract
field,a piece of land of considerable size
fiend,an implacable or malicious foe
fifteen,the sum of five and ten
fifteenth,the quotient of a unit divided by fifteen
fifth,the dominant of any key
fifty,the sum of five tens
fight,an engagement
figure,"a pattern in cloth , paper , or other manufactured article"
file,"the line , wire , or other contrivance , by which papers are put and kept in order"
fill,filler
filling,"that which is used to fill a cavity or any empty space , or to supply a deficiency"
film,"a membranous covering , causing opacity"
filth,dirt
finance,"sometimes , the income of an individual"
find,anything found
finding,that which is provided for one
fine,"a final agreement concerning lands or rents between persons , as the lord and his vassal"
finger,"a small projecting rod , wire , or piece , which is brought into contact with an object to effect , direct , or restrain a motion"
finishing,the final work upon or ornamentation of a thing
finish,"that which finishes , puts an end to � or perfects"
fireplace,the part a chimney appropriated to the fire
fire,the burning of a house or town
firing,"the application of fire , or of a cautery"
firmament,the orb of the fixed stars
firm,"the name , title , or style , under which a company transacts business"
fiscal,the attorney - general
fish,"a counter , used in various games"
fisherman,one whose occupation is to catch fish
fishing,"the act , practice , or art of one who fishes"
fist,the hand with the fingers doubled into the palm
fit,a sudden and violent attack of a disorder
fitness,the state or quality of being fit
five,"the number next greater than four , and less than six"
fixing,trimmings
fix,predicament
flag,a standard
flame,a fire
flank,"the fleshy or muscular part of the side of an animal , between the ribs and the hip"
flannel,"a soft , nappy , woolen cloth , of loose texture"
flash,a momentary brightness or show
flashing,"pieces of metal , built into the joints of a wall , so as to lap over the edge of the gutters or to cover the edge of the roofing"
flask,"of glass , to heat water in , etc"
flat,"a level tract lying at little depth below the surface of water , or alternately covered and left bare by the tide"
flattery,the act or practice of flattering
flavor,zest
fleet,the collective naval force of a country etc
flesh,"the aggregate of the muscles , fat , and other tissues which cover the framework of bones in man and other animals"
flight,mode or style of flying
fling,a kind of dance
floating,the process of rendering oysters and scallops plump by placing them in fresh or brackish water
float,"the hollow , metallic ball of a self - acting faucet , which floats upon the water in a cistern or boiler"
flock,a lock of wool or hair
flood,a superabundance
floor,the bottom or lower part of any room
flora,"a list or description of , or treatise on , such plants"
flourish,"something made or performed in a fanciful , wanton , or vaunting manner , by way of ostentation , to excite admiration , etc"
flour,the finer part of meal separated by bolting
flow,a continuous movement of something abundant
flowering,"the act of blossoming , or the season when plants blossom"
flower,"the showy portion , usually of a different color , shape , and texture from the foliage"
fluid,a body whose particles move easily among themselves
flush,a glow
flute,"a similar channel or groove made in wood or other material , especially in plaited cloth , as in a lady ' s ruffle"
flutter,vibration
fly,any dipterous insect
foam,scum
foe,an opponent
fog,a second growth of grass
fold,a plication
folding,a doubling
foliage,"a cluster of leaves , flowers , and branches"
folio,a leaf of a book or manuscript
follow,the art or process of following
folly,a foolish act
fond,"fund , stock , or store"
fondness,tender liking
food,what is eaten by animals for nourishment
fool,a wicked person
foolishness,a foolish practice
football,"something which is treated in a rough manner , usually as part of a dispute"
footing,position
foot,"that part of an animal upon which it rests when standing , or moves"
forbearance,the quality of being forbearing
force,active power
forefinger,the finger next to the thumb
forehead,the front of that part of the head which incloses the brain
foreigner,a person belonging to or owning allegiance to a foreign country
foreman,"the chief man of a jury , who acts as their speaker"
foresight,wise forethought
forest,a large tract of land covered with trees
fore,that which is in front
forfeit,something deposited and redeemable by a sportive fine
forgiveness,the state of being forgiven
fork,a prong
forlorn,"a lost , forsaken , or solitary person"
formation,conformation
format,"the arrangement of the parts of a printed page , such as text and graphics"
former,a creator
form,formula
formula,"a fixed or conventional method in which anything is to be done , arranged , or said"
fort,a fortification
fortitude,resolute endurance
fortnight,two weeks
fortune,accident
forty,the sum of four tens
foul,an entanglement
foundation,"the lowest and supporting part or member of a wall , including the base course ( see base course , under base n"
founder,a caster
fountain,the structure or works in which such a jet or stream rises or flows
fourteen,the sum of ten and four
fourteenth,one next after the thirteenth in a series
fourth,one of four equal parts into which one whole may be divided
fraction,one or more aliquot parts of a unit or whole number
fragment,a part broken off
fragrance,the quality of being fragrant
frail,"a basket made of rushes , used chiefly for containing figs and raisins"
frame,the skeleton structure which supports the boiler and machinery of a locomotive upon its wheels
framework,"work done in , or by means of , a frame or loom"
frank,a french coin
frankness,the quality of being frank
fraud,an intentional perversion of truth for the purpose of obtaining some valuable thing or promise from another
fray,broil
freedom,privileges
freight,the price paid a common carrier for the carriage of goods
frenzy,rage
freshness,the state of being fresh
fret,irritation
friar,an american fish
friction,attrition
friendliness,the condition or quality of being friendly
friend,"sometimes , an attendant"
frigate,"iginally , a vessel of the mediterranean propelled by sails and by oars"
fright,a state of terror excited by the sudden appearance of danger
fringe,a line of objects along a border or edge
frock,"a coarse gown worn by monks or friars , and supposed to take the place of all , or nearly all , other garments"
frog,"the triangular prominence of the hoof , in the middle of the sole of the foot of the horse , and other animals"
frontier,that part of a country which fronts or faces another country or an unsettled region
front,"the forehead , countenance , or personal presence , as expressive of character or temper , and especially , of boldness of disposition , sometimes of impudence"
frost,congelation of fluids
frown,a scowl
fruit,"the ripened ovary of a flowering plant , with its contents and whatever parts are consolidated with it"
fuel,that which feeds fire
fugitive,"one who flees from pursuit , danger , restraint , service , duty , etc"
fuller,"a half - round set hammer , used for forming grooves and spreading iron"
full,the highest state or degree
function,the exertion of an energy of some determinate kind
fundamental,"essential part ,"
fund,the stock of a national debt
funeral,the ceremony or solemnization of interment
fun,sport
furnace,severe experience or discipline
furniture,the masts and rigging of a ship
fur,"the short , fine , soft hair of certain animals , growing thick on the skin , and distinguished from the hair , which is longer and coarser"
fury,violence
fuss,unnecessary or annoying ado about trifles
future,time to come
gaiety,same as gayety
gain,accumulation
gait,manner of walking or stepping
gale,a moderate current of air
gallant,one fond of paying attention to ladies
gallery,also a large or important collection of paintings sculptures etc
galley,a large vessel for war and national purposes
gallop,"a mode of running by a quadruped , particularly by a horse , by lifting alternately the fore feet and the hind feet , in successive leaps or bounds"
game,sport of any kind
gang,a company or a number of persons associated for a particular purpose
gap,an opening which implies a breach or defect
garb,costume
garden,"a piece of ground appropriated to the cultivation of herbs , fruits , flowers , or vegetables"
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
garrison,a body of troops stationed in a fort or fortified town
gas,an a ë riform fluid
gasp,a painful catching of the breath
gate,"an opening for passage in any inclosing wall , fence , or barrier"
gathering,a crowd
gather,the inclination forward of the axle journals to keep the wheels from working outward
gaze,a fixed look
gear,naments
gem,"a precious stone of any kind , as the ruby , emerald , topaz , sapphire , beryl , spinel , etc"
general,the total
generation,"procreation , as of animals"
generosity,the quality of being noble
genesis,production
geneva,holland gin
genius,a supernatural being
gentle,a dipterous larva used as fish bait
gentleman,a well - bred man
gentleness,"softness of manners , disposition , etc"
gentry,"in england , in a restricted sense , those between the nobility and the yeomanry"
genus,a class more extensive than a species
geography,the science which treats of the world and its inhabitants
germ,that from which anything springs
gesture,a motion of the body or limbs expressive of sentiment or passion
get,progeny
getting,gain
ghost,the disembodied soul
giant,"any animal , plant , or thing , of extraordinary size or power"
gift,a present
gilt,gilding
gin,a snare
girdle,a circumference
girl,a female servant
giving,the act of bestowing as a gift
gladness,pleasure
glance,a glimpse
glare,"a viscous , transparent substance"
glass,a mirror
gleam,a ray
glee,merriment
glen,a secluded and narrow valley
glide,"the act or manner of moving smoothly , swiftly , and without labor or obstruction"
glimmer,"a faint , unsteady light"
glimpse,"a short , hurried view"
glitter,"a bright , sparkling light"
globe,a sphere
gloom,melancholy
glory,arrogance
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,intense excitement or earnestness
goal,"in certain games , the point which the ball or puck must pass in order for points to be scored"
god,an idol
goddess,"a divinity , or deity , of the female sex"
going,childbearing
gold,"a yellow color , like that of the metal"
gorge,the gullet
gospel,the good news concerning christ the kingdom of god and salvation
gossip,groundless rumor
gout,a drop
governess,a female governor
government,the exercise of authority
governor,a tutor
gown,the dress of peace
grace,favor bestowed or privilege conferred
grade,"a graded ascending , descending , or level portion of a road"
gradual,a service book containing the musical portions of the mass
grain,"a kernel , especially of those plants , like wheat , whose seeds are used for food"
grammar,"the art concerned with the right use and application of the rules of a language , in speaking or writing"
grandeur,nobility of action
grandfather,a father ' s or mother ' s father
granite,"a crystalline , granular rock , consisting of quartz , feldspar , and mica , and usually of a whitish , grayish , or flesh - red color"
grant,the act of granting
grasp,forcible possession
grass,popularly : herbage
grate,"a frame or bed , or kind of basket , of iron bars , for holding fuel while burning"
gratification,a reward
grating,"the strong wooden lattice used to cover a hatch , admitting light and air"
gratitude,thankfulness
grave,a sepulcher
gravel,the disease of which they are a symptom
gravity,seriousness
gray,any mixture of white and black
greatness,"the state , condition , or quality of being great"
greed,greediness
green,the color of the solar spectrum intermediate between the yellow and the blue
greeting,expression of kindness or joy
grief,trial
grievance,a cause of uneasiness and complaint
grin,"a hard , forced , or sneering smile"
grind,a student that studies hard
grip,strength in grasping
groan,"usually , a deep , mournful sound uttered in pain or great distress"
groom,a man or boy who has charge of horses or the stable
gross,"the chief part , bulk , or mass"
grotesque,artificial grotto - work
ground,a floor or pavement supposed to rest upon the earth
group,"an assemblage , either of persons or things , collected without any regular form or arrangement"
grove,"a smaller group of trees than a forest , and without underwood , planted , or growing naturally as if arranged by art"
growl,"the deep , threatening sound made by a surly dog"
growth,prevalence or influence
grudge,sullen malice or malevolence
guarantee,a security
guard,a conductor
guardian,a warden
guess,"an opinion as to anything , formed without sufficient or decisive evidence or grounds"
guest,"a lodger or a boarder at a hotel , lodging house , or boarding house"
guidance,the act or result of guiding
guide,a regulator
guilt,criminality
guise,manner
gulf,a portion of an ocean or sea extending into the land
gum,a rubber overshoe
gunpowder,"a black , granular , explosive substance , consisting of an intimate mechanical mixture of saltpeter , charcoal , and sulphur"
gun,violent blasts of wind
guy,"a rope which holds in place the end of a boom , spar , or yard in a ship"
habitation,residence
habit,usage
hail,a salutation
hair,"the collection or mass of filaments growing from the skin of an animal , and forming a covering for a part of the head or for any part or the whole of the body"
half,"one of two equal parts into which anything may be divided , or considered as divided"
hall,"a building or room of considerable size and stateliness , used for public purposes"
halt,the act of limping
hammer,"the padded mallet of a piano , which strikes the wires , to produce the tones"
ham,the popliteal space
hand,"a limb of certain animals , as the foot of a hawk , or any one of the four extremities of a monkey"
handful,"a person , task , or situation , which is the most that one can manage"
handkerchief,"a piece of cloth , usually square and often fine and elegant , carried for wiping the face or hands"
handle,"that part of vessels , instruments , etc"
handling,style of touch
handwriting,that which is written by hand
hanging,execution by a halter
hang,"the manner in which one part or thing hangs upon , or is connected with , another"
happiness,good fortune
harbor,a mixing box for materials
hard,a ford or passage across a river or swamp
hardness,"the cohesion of the particles on the surface of a body , determined by its capacity to scratch another , or be itself scratched"
hardship,"that which is hard to bear , as toil , privation , injury , injustice , etc"
hardware,"ware made of metal , as cutlery , kitchen utensils , and the like"
harm,misfortune
harmony,such an agreement between the different parts of a design or composition as to produce unity of effect
harness,gear
harp,a constellation
hart,the male of the red deer
harvest,the product or result of any exertion or labor
haste,the state of being urged or pressed by business
hat,a covering for the head
hate,strong aversion coupled with desire that evil should befall the person toward whom the feeling is directed
haul,a pulling with force
haunt,a place to which one frequently resorts
hawk,"an effort to force up phlegm from the throat , accompanied with noise"
hay,"a net set around the haunt of an animal , especially of a rabbit"
hazard,chance
hazel,a miner ' s name for freestone
haze,"light vapor or smoke in the air which more or less impedes vision , with little or no dampness"
headache,pain in the head
header,a brick or stone laid with its shorter face or head in the surface of the wall
heading,formation of a head
head,"the uppermost , foremost , or most important part of an inanimate object"
health,the state of being free from physical disease or pain
heap,a pile or mass
hearing,attention to what is delivered
hearth,the floor of a fireplace
heart,the nearest the middle or center
hearty,good fellow
heath,any cheerless tract of country overgrown with shrubs or coarse herbage
heathen,an irreligious person
heat,the reverse of cold
heave,an upward motion
heaven,the expanse of space surrounding the earth
hedge,"particularly , such a thicket planted round a field to fence it , or in rows to separate the parts of a garden"
heed,notice
heel,the latter or remaining part of anything
height,"the measure upward from a surface , as the floor or the ground , of an animal , especially of a man"
heir,one who receives any endowment from an ancestor or relation
hell,anguish
helmet,a defensive covering for the head
helm,the place or office of direction or administration
help,^
hem,"the edge or border of a garment or cloth , doubled over and sewed , to strengthen it and prevent raveling"
hen,the female of grouse pheasants or any kind of birds
herald,"in the middle ages , the officer charged with the above duties , and also with the care of genealogies , of the rights and privileges of noble families , and especially of armorial bearings"
herb,grass
herd,a number of beasts assembled together
hereafter,a future existence or state
heresy,lack of orthodox or sound belief
hermit,one who so lives from religious motives
hero,"an illustrious man , supposed to be exalted , after death , to a place among the gods"
heroine,"the principal female person who figures in a remarkable action , or as the subject of a poem or story"
heroism,the display of such qualities
hesitation,a faltering in speech
hide,"the skin of an animal , either raw or dressed"
hiding,a flogging
high,the sky
hill,"a single cluster or group of plants growing close together , and having the earth heaped up about them"
hint,slight mention
hire,wages
historian,one versed or well informed in history
history,a description
hit,the stroke that touches anything
holder,"one who holds land , etc"
hold,grip
holding,"the act or state of sustaining , grasping , or retaining"
hole,"an opening in or through a solid body , a fabric , etc"
holiday,"a day set apart in honor of some person , or in commemoration of some event"
holiness,sanctity
hollow,a low spot surrounded by elevations
homage,reverence directed to the supreme being
home,one ' s birthplace
homer,a carrier pigeon remarkable for its ability to return home from a distance
honesty,modesty
honey,sweet one
honor,veneration
hood,a cowl
hook,"that part of a hinge which is fixed to a post , and on which a door or gate hangs and turns"
hope,"a desire of some good , accompanied with an expectation of obtaining it , or a belief that it is obtainable"
horizon,the line which bounds that part of the earth ' s surface visible to a spectator from a given point
horn,"a hard , projecting , and usually pointed organ , growing upon the heads of certain animals , especially of the ruminants , as cattle , goats , and the like"
horror,gloom
horseback,the back of a horse
horse,cavalry
horseman,a mounted soldier
hospital,"a tent , building , or other place where the sick or wounded of an army cared for"
hospitality,the act or practice of one who is hospitable
host,a landlord
hostess,a female host
hostile,an enemy
hostility,attacks of an enemy
hotel,"in france , the mansion or town residence of a person of rank or wealth"
hound,a despicable person
hour,"the time of the day , as expressed in hours and minutes , and indicated by a timepiece"
house,domestic concerns
household,those who dwell under the same roof and compose a family
housekeeper,the master or mistress of a family
howl,a prolonged cry of distress or anguish
hue,color or shade of color
hull,the outer skin of a kernel
hum,"a buzz or murmur , as of approbation"
humanity,"the peculiar nature of man , by which he is distinguished from other beings"
humiliation,abasement of pride
humility,lowliness of mind
humming,a sound like that made by bees
humor,temper
hundred,five score
hunger,a craving or desire for food
hunt,a district of country hunted over
hunter,one who hunts wild animals either for sport or for food
hunting,the pursuit of game or of wild animals
hurry,bustle
hurt,a husk
husband,a man who has a wife
hut,a mean lodge or dwelling
hymn,a religious ode a sacred lyric
hypocrisy,the act or practice of a hypocrite
hypothesis,"something not proved , but assumed for the purpose of argument , or to account for a fact or an occurrence"
ice,"water , cream , custard , etc"
ideal,"a model of excellence , beauty , etc"
idea,the real object that is conceived or thought of
identification,the state of being identified
identity,an identical equation
idiot,"a human being destitute of the ordinary intellectual powers , whether congenital , developmental , or accidental"
idol,a similitude of a false god
idolatry,respect or love which borders on adoration
ignorance,"the lack of knowledge in general , or in relation to a particular subject"
ill,evil
illness,indisposition
illumination,the state of being illuminated
illusion,as when the rolling of a wagon is mistaken for thunder
illustration,the act of illustrating
image,appearance
imagination,the imagine - making power of the mind
imitation,one of the principal means of securing unity and consistency in polyphonic composition
immortality,perpetuity
immortal,"one exempt from death , decay , or annihilation"
impatience,the quality of being impatient
imperial,the tuft of hair on a man ' s lower lip and chin
