abandon,freedom from artificial constraint
corporation,a society having the capacity of transacting business as an individual
corpse,the dead body of a human being
correction,"rectification , as of an erroneous statement"
correspondence,friendly intercourse
correspondent,one with whom intercourse is carried on by letter
corridor,a densely populated stretch of land
corruption,the state of being corrupted or debased
cost,"the amount paid , charged , or engaged to be paid , for anything bought or taken in barter"
costume,"a character dress , used at fancy balls or for dramatic purposes"
cot,a small house
cottage,a cot
couch,"particularly , in the united states , a lounge"
cough,"a sudden , noisy , and violent expulsion of air from the chest , caused by irritation in the air passages , or by the reflex action of nervous or gastric disorder , etc"
council,deliberation
counsel,instruction
count,a formal statement of the plaintiff ' s case in court
countenance,favor good will support
counter,"the after part of a vessel ' s body , from the water line to the stern , -- below and somewhat forward of the stern proper"
countess,a lady possessed of the same dignity in her own right
countryman,"one who dwells in the country , as distinguished from a townsman or an inhabitant of a city"
country,the populace
county,"a circuit or particular portion of a state or kingdom , separated from the rest of the territory , for certain purposes in the administration of justice and public affairs"
couple,a brace
courage,resolution
courier,"a messenger sent with haste to convey letters or dispatches , usually on public business"
course,"motion , considered as to its general or resultant direction or to its goal"
court,a palace
courtesy,urbanity
courtyard,a court or inclosure attached to a house
cousin,the son or daughter of an uncle or aunt
covenant,"the promises of god as revealed in the scriptures , conditioned on certain terms on the part of man , as obedience , repentance , faith , etc"
covering,"anything which covers or conceals , as a roof , a screen , a wrapper , clothing , etc"
cover,protection
cowardice,base fear of danger or hurt
cow,"the female of certain large mammals , as whales , seals , etc"
crack,"a sharp , sudden sound or report"
cradle,the place of origin or in which anything is nurtured or protected in the earlier period of existence
craft,dexterity in particular manual employment
crash,"sudden breaking down , as of a business house or a commercial enterprise"
craving,beseeching
crawl,the act or motion of crawling
cream,a cosmetic
creation,the act of constituting or investing with a new character
creature,anything created
credit,reputation derived from the confidence of others
creed,any summary of principles or opinions professed or adhered to
creek,any turn or winding
creep,"a distressing sensation , or sound , like that occasioned by the creeping of insects"
crest,also the helmet
crew,"in an extended sense , any small body of men associated for a purpose"
crime,"an omission of a duty commanded , or the commission of an act forbidden by law"
criminal,a felon
crimson,red color in general
crisis,the turning point
crisp,"specifically , the rind of roasted pork"
criticism,a critical observation or detailed examination and review
crop,the craw
cross,disappointment
crossing,the act of making the sign of the cross
crow,a crowbar
crowd,the rabble
crown,the sovereign
cruelty,inhuman treatment
cruise,"a voyage aboard a ship , in which the activities on the ship itself form a major objective of the voyage"
crush,destruction
crust,a piece of bread grown dry hard
crystal,"the material of quartz , in crystallization transparent or nearly so , and either colorless or slightly tinged with gray , or the like"
cry,tumult
cultivation,culture
culture,physical improvement
cunning,deceit
cupboard,any small closet
cup,social or excessive indulgence in intoxicating drinks
curate,one who has the cure of souls
curb,"an assemblage of three or more pieces of timber , or a metal member , forming a frame around an opening , and serving to maintain the integrity of that opening"
cure,a method of medical treatment
curiosity,a desire to gratify the mind with new information or objects of interest
curl,anything of a spiral or winding form
curling,a scottish game in which heavy weights of stone or iron are propelled by hand over the ice towards a mark
currency,general acceptance or reception
current,progressive and connected movement
curse,that which brings evil or severe affliction
curtain,"in theaters , and like places , a movable screen for concealing the stage"
curve,"a line described according to some low , and having no finite portion of it a straight line"
cushion,a soft pillow or pad
custody,judicial or penal safe - keeping
customary,"a book containing laws and usages , or customs"
customer,a person with whom a business house has dealings
custom,way of acting common to many
cut,an opening made with an edged instrument
cutting,"an excavation cut through a hill or elsewhere to make a way for a railroad , canal , etc"
cylinder,a solid body which may be generated by the rotation of a parallelogram round one its sides
dad,father
dagger,a timber placed diagonally in a ship ' s frame
daily,a publication which appears regularly every day
dainty,a term of fondness
dam,a female parent
damage,"injury or harm to person , property , or reputation"
dame,a lady
damp,depression
damsel,a girl
dance,"the leaping , tripping , or measured stepping of one who dances"
danger,risk
daring,boldness
dark,a place where there is little or no light
darkness,impurity
dart,a fish
dash,violent striking together of two bodies
date,a given point of time
daughter,the female offspring of the human species
dawn,first appearance
daylight,the light of day as opposed to the darkness of night
day,"those hours , or the daily recurring period , allotted by usage or law for work"
dead,the most quiet or deathlike time
deal,a part or portion
dealer,"one who has to do , or has concern , with others"
dealing,transaction
dean,an ecclesiastical dignitary subordinate to a bishop
dear,sweetheart
death,extinction
debate,controversy
debt,"that which is due from one person to another , whether money , goods , or services"
deceit,a wily device
decency,"propriety of form in social intercourse , in actions , or in discourse"
deception,fraud
decision,prompt and fixed determination
deck,larger ships have two or three decks
declaration,avowal
decline,"any wasting disease , especially pulmonary consumption"
decoration,something added by way of embellishment
decree,"edict , law"
deed,fact
deep,a moral or spiritual depth or abyss
defeat,discomfiture
defect,failing
defective,one who is lacking physically or mentally
defense,vindication
defensive,that which defends
deference,complaisance
defiance,a state of opposition
deficiency,imperfection
definition,an exact enunciation of the constituents which make up the logical essence
degradation,baseness
degree,gradation
deity,godhead
delay,stop
deliberation,careful consideration
delicacy,agreeableness to the senses
delight,joy
delirium,wild enthusiasm
delivery,surrender
demand,requisition
democracy,a form of government in which the supreme power is retained and directly exercised by the people
demon,a devil
demonstration,an exhibition
den,"a small cavern or hollow place in the side of a hill , or among rocks"
denial,negation
department,"a part , portion , or subdivision"
departure,removal from the present life
dependence,systematic inter - relation
dependent,a hanger - on
deposit,money lodged with a bank or banker subject to order
depression,a cavity or hollow
depth,abundance
deputy,a lieutenant
derision,scornful or contemptuous treatment which holds one up to ridicule
derivative,"a chord , not fundamental , but obtained from another by inversion"
descendant,"one who descends , as offspring , however remotely"
descent,incursion
description,the act of describing
desertion,abandonment by god
desert,the reward or the punishment justly due
deserving,desert
design,preliminary conception
desire,anything which is desired
desk,"especially in the united states ), a pulpit"
desolation,gloominess
despair,loss of hope
despatch,same as dispatch
desperation,a giving up of hope
despotism,absolute control over others
destination,ultimate design
destiny,fate
destruction,subversion
destructive,one who destroys
detachment,renunciation
detail,the selection for a particular service of a person or a body of men
detective,one who business it is so detect criminals or discover matters of secrecy
determination,impulsion
deuce,two
development,the act of developing or disclosing that which is unknown
device,contrivance
devil,a demon
devise,the clause of a will making a gift of real property
devotion,act of worship
dew,"figuratively , anything which falls lightly and in a refreshing manner"
dexterity,skill and ease in using the hands
dialect,speech characterized by local peculiarities or specific circumstances
dialogue,a conversation between two or more persons
diameter,"any right line passing through the center of a figure or body , as a circle , conic section , sphere , cube , etc"
diamond,"a precious stone or gem excelling in brilliancy and beautiful play of prismatic colors , and remarkable for extreme hardness"
diary,a journal
dice,small cubes used in gaming or in determining by chance
dictate,"an authoritative rule , principle , or maxim"
dictionary,a lexicon
die,"a small cube , marked on its faces with spots from one to six , and used in playing games by being shaken in a box and thrown from it"
diet,fare
difference,distinction
dig,a punch
digestion,the act or process of digesting
digest,that which is worked over classified and arranged under proper heads or titles
dignity,the state of being worthy or honorable
diligence,assiduity in service
din,clamor
dining,from dine a
dinner,a feast
diplomacy,dexterity or skill in securing advantages
diplomatic,"a minister , official agent , or envoy to a foreign court"
dip,slope
direction,der
director,a part of a machine or instrument which directs its motion or action
dirt,sordidness
disadvantage,deprivation of advantage
disappearance,removal from sight
disappointment,that which disappoints
disaster,a serious mishap
discharge,"act of relieving of something which oppresses or weighs upon one , as an obligation , liability , debt , accusation , etc"
disciple,a scholar
discipline,development of the faculties by instruction and exercise
disclaimer,"a denial , disavowal , or renunciation , as of a title , claim , interest , estate , or trust"
discomfort,sorrow
discontent,want of content
discord,variance leading to contention and strife
discourse,dissertation
discovery,disclosure
discretion,wariness
discrimination,"the act of discriminating , distinguishing , or noting and marking differences"
discussion,disputation
disdain,a feeling of contempt and aversion
disease,disorder
disgrace,the condition of being out of favor
disguise,counterfeit semblance or show
disgust,now rather of the analogous repugnance excited by anything extremely unpleasant to the moral taste or higher sensibilities of our nature
dish,any particular kind of food especially prepared food
disk,a discus
dislike,displeasure
dismay,loss of courage and firmness through fear
dismissal,discharge
disobedience,violation of a command or prohibition
disorder,confusion
dispatch,haste
display,an electronic device on which the output signal of another electronic device may be presented in a visual form
displeasure,the feeling of one who is displeased
disposal,"alienation , or parting"
disposition,arrangement
dispute,debate
disregard,slight
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,solution by heat or moisture
distance,a remote place
distinction,discrimination
distress,misfortune
distribution,disposition
district,a division of territory
distrust,"doubt of sufficiency , reality , or sincerity"
disturbance,an interruption of a state of peace or quiet
ditch,"any long , narrow receptacle for water on the surface of the earth"
diversion,play
diversity,multiplicity of difference
divide,called watershed and water parting
divine,a clergyman
divinity,the state of being divine
division,a distinct segment or section
divorce,the decree or writing by which marriage is dissolved
dock,the part of a tail left after clipping or cutting
doctor,one duly licensed to practice medicine
doctrine,teaching
document,any material substance on which the thoughts of men are represented by any species of conventional mark or symbol
doe,a female deer or antelope
dog,a fellow
doll,an attractive woman or girl
dollar,a gold coin of the united states containing 23
domain,the territory over which dominion or authority is exerted
dome,"as the upper part of a furnace , the vertical steam chamber on the top of a boiler , etc"
domestic,a house servant
dominant,the fifth tone of the scale
dominion,that which is governed
donation,that which is transferred to another gratuitously
donkey,less frequently ) a mule
don,sir
doom,judgment
door,"an opening in the wall of a house or of an apartment , by which to go in and out"
doorway,entrance way into a house or a room
dose,a disagreeable portion thrust upon one
dot,a small portion or specimen
double,a plait
doubt,a fluctuation of mind arising from defect of knowledge or evidence
dough,paste of bread
dove,a word of endearment for one regarded as pure and gentle
downfall,destruction
dozen,an indefinite small number
draft,the act of drawing
drag,a kind of low car or handcart
dragon,"a fierce , violent person , especially a woman"
drain,that means of which anything is drained
drama,a series of real events invested with a dramatic unity and interest
drawer,one who draws a bill of exchange or order for payment
drawing,such a representation when in one color or in tints used not to represent the colors of natural objects but for effect only and produced with hard material such as pencil chalk etc
draw,the act of drawing
dread,awe
dream,a wild conceit
dress,habit
dressing,raiment
drift,the act or motion of drifting
drill,"any exercise , physical or mental , enforced with regularity and by constant repetition"
drinking,the practice of partaking to excess of intoxicating liquors
drink,"specifically , intoxicating liquor"
dripping,"that which falls in drops , as fat from meat in roasting"
drive,"a stroke from the tee , generally a full shot made with a driver"
driver,"one who , or that which , drives"
driving,the act of pressing or moving on furiously
drop,a small quantity
dropping,the action of causing to drop or of letting drop
drove,"a collection of cattle driven , or cattle collected for driving"
drug,"any commodity that lies on hand , or is not salable"
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a spree
drunkenness,intoxication
duchess,the wife or widow of a duke
duck,a pet
duel,"a combat between two persons , fought with deadly weapons , by agreement"
due,"whatever custom , law , or morality requires to be done"
dug,"a teat , pap , or nipple"
duke,"in some european countries , a sovereign prince , without the title of king"
duration,the portion of time during which anything exists
dusk,a middle degree between light and darkness
dust,the remains of the human body
duty,any assigned service or business
dwarf,"a small , usually misshapen person , typically a man , who may have magical powers"
dwelling,place or house in which a person lives
dye,color produced by dyeing
dying,passage from life to death
dynasty,lordship
eagerness,the state or quality of being eager
eagle,"a gold coin of the united states , of the value of ten dollars"
earl,"a nobleman of england ranking below a marquis , and above a viscount"
earnest,a token of what is to come
earnestness,anxiety
ear,"the spike or head of any cereal ( as , wheat , rye , barley , indian corn , etc"
earthquake,"a shaking , trembling , or concussion of the earth , due to subterranean causes , often accompanied by a rumbling noise"
earth,the globe or planet which we inhabit
ease,liberty
east,the point directly opposite to the west
eating,something fit to be eaten
ebb,the european bunting
eccentric,a circle not having the same center as another contained in some measure within the first
echo,repercussion of sound
economy,the system of rules and regulations by which anything is managed
ecstasy,rapture
eddy,a current of water or air moving in a circular direction
edge,extreme verge
edifice,a building
edition,the whole number of copies of a work printed and published at one time
editorial,an article published as an expression of the views of the editor
editor,one who edits
education,the act or process of educating
effective,that which produces a given effect
effect,performance
efficient,a prime mover
effort,a force acting on a body in the direction of its motion
egg,"a simple cell , from the development of which the young of animals are formed"
eighteen,the number greater by a unit than seventeen
eighteenth,one of eighteen equal parts or divisions
eighth,the interval of an octave
eight,the number greater by a unit than seven
eighty,the sum of eight times ten
elbow,an angular or jointed part of any structure as the raised arm of a chair or sofa or a short pipe fitting turning at an angle or bent
elder,a predecessor
election,power of choosing
elect,those who are chosen for salvation
elegance,that which is tasteful and highly attractive
element,one of the essential ingredients of any mixture
elevation,exaltation
eleven,the sum of ten and one
eleventh,the quotient of a unit divided by eleven
eloquence,whatever produces the effect of moving and persuasive speech
embassy,the ambassador and his suite
emblem,"a picture accompanied with a motto , a set of verse , or the like , intended as a moral lesson or meditation"
embrace,pressure to the bosom
embroidery,"needlework used to enrich textile fabrics , leather , etc"
emerald,"a precious stone of a rich green color , a variety of beryl"
emergency,an unforeseen occurrence or combination of circumstances which calls for immediate action or remedy
eminence,distinction
emotion,a moving of the mind or soul
emperor,the sovereign or supreme monarch of an empire
emphasis,"vivid representation , enforcing assent"
empire,supreme power
employee,one employed by another
employ,employment
employer,one who employs another
employment,service
empress,a sovereign mistress
encampment,"the act of pitching tents or forming huts , as by an army or traveling company , for temporary lodging or rest"
enchantment,the effect produced by the act
enclosure,inclosure
encounter,a battle
encouragement,"that which serves to incite , support , promote , or advance , as favor , countenance , reward , etc"
endeavor,an effort
ending,conclusion
end,issue
endurance,sufferance
enemy,a foe
energy,strength of expression
engagement,"specifically , a pledge to take some one as husband or wife"
engine,an instrument or machine of war or torture
engineer,a person skilled in the principles and practice of any branch of engineering
enjoyment,the condition of enjoying anything
enmity,hostility
enterprise,an undertaking
entertainment,hospitable reception
enthusiasm,inspiration as if by a divine or superhuman power
entire,entirely
entity,essence
entrance,the act of entering or going into
entreaty,earnest petition
entry,that which is entered
envelope,an inclosing cover
environment,that which environs or surrounds
envoy,a messenger
envy,"chagrin , mortification , discontent , or uneasiness at the sight of another ' s excellence or good fortune , accompanied with some degree of hatred and a desire to possess equal advantages"
episode,"an incidental narrative , or digression , separable from the main subject , but naturally arising from it"
epistle,a written communication
epoch,a memorable period
equality,evenness
equal,"one having the same or a similar age , rank , station , office , talents , strength , or other quality or condition"
equilibrium,a level position
equipment,horse equipments
equivalent,"that which is equal in value , worth , weight , or force"
era,"a fixed point of time , usually an epoch , from which a series of years is reckoned"
erection,state of being stretched to stiffness
errand,a commission
error,a moral offense
escape,flight
escort,a body of persons attending as a mark of respect or honor
essay,a composition treating of any particular subject
essence,constituent substance
essential,first or constituent principle
establishment,fixed state
estate,"possessions , especially property in land"
esteem,valuation
estimate,rough or approximate calculation
estimation,esteem
eternal,that which is endless and immortal
eternity,condition which begins at death
ether,supposed matter above the air
ethics,the science of human duty
etiquette,conventional decorum
eve,evening
even,evening
evening,"the declining period , as of strength or glory"
event,the consequence of anything
everlasting,"a plant whose flowers may be dried without losing their form or color ,"
evidence,any mode of proof
evil,disposition to do wrong
evolution,any process of growth or development
exaggeration,the act of doing or representing in an excessive manner
exaltation,the act of exalting or raising high
examination,a process prescribed or assigned for testing qualification
example,that which resembles or corresponds with something else
excellence,a title of honor or respect
exception,that which is excepted or taken out from others
excess,an undue indulgence of the appetite
exchange,the thing given or received in return
excitement,agitation
exclamation,a mark or sign by which outcry or emphatic utterance is marked
exclusion,rejection
exclusive,one of a coterie who exclude others
excuse,justification
executioner,"one who puts to death in conformity to legal warrant , as a hangman"
execution,the act of executing
executive,"a manager , supervisor or administrator at a high level within an organization"
exempt,"one of four officers of the yeomen of the royal guard , having the rank of corporal"
exercise,practice
exhaustion,the state of being exhausted or emptied
exhibit,a document produced and identified in court for future use as evidence
exhibition,"allowance , especially for meat and drink"
exile,one who separates himself from his home
existence,"occurrence , as of events of any kind"
exit,the act of quitting the stage of action or of life
expanse,the arch of the sky
expansion,enlargement
expectation,grounds upon which something excellent is expected to happen
expedient,suitable means to accomplish an end
expedition,speed
expenditure,that which is expended or paid out
expense,charge
experience,"an act of knowledge , one or more , by which single facts or general truths are ascertained"
experiment,"a trial or special observation , made to confirm or disprove something uncertain"
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,the act of clearing from obscurity and making intelligible
exploit,a deed of renown
exploration,"the act of exploring , penetrating , or ranging over for purposes of discovery , especially of geographical discovery"
explosion,"a bursting with violence and loud noise , because of internal pressure"
exposition,a commentary
exposure,"the act of exposing or laying open , setting forth , laying bare of protection , depriving of care or concealment , or setting out to reprobation or contempt"
express,a railway train or bus for transporting passengers or goods with speed and punctuality
expression,utterance
exquisite,a dandy
extension,enlargement in breadth or continuation of length
extent,length
external,"that which makes a show , rather than that which is intrinsic"
extinction,the act of extinguishing or making extinct
extra,an edition of a newspaper issued at a time other than the regular one
extract,that which is extracted or drawn out
extravagance,want of moderation
extravagant,one who is confined to no general rule
extreme,furthest degree
extremity,one of locomotive appendages of an animal
exultation,triumph
eye,a brood
fable,"the plot , story , or connected series of events , forming the subject of an epic or dramatic poem"
fabric,manufactured cloth
face,the exterior form or appearance of anything
facility,pliancy
facing,to strengthen it or to protect or adorn the exposed surface
fact,a thing supposed or asserted to be done
faction,tumult
factor,a substitute
factory,the body of factors in any place
faculty,intellectual endowment or gift
fail,miscarriage
failure,omission
fair,good fortune
fairy,a fay
faith,"firm and earnest belief , on probable evidence of any kind , especially in regard to important moral truth"
fall,the act of dropping or tumbling from an erect posture
falsehood,misrepresentation
fame,report or opinion generally diffused
familiar,an attendant demon or evil spirit
familiarity,anything said or done by one person to another unceremoniously and without constraint
family,house
famine,general scarcity of food
fan,"an instrument for cooling the person , made of feathers , paper , silk , etc"
fancy,thought
fantastic,a fop
far,"a young pig , or a litter of pigs"
farce,forcemeat
fare,condition or state of things
farewell,"a last look at , or reference to something"
farm,a district of country leased ( or farmed ) out for the collection of the revenues of government
farmer,a husbandman
farming,the business of cultivating land
farthing,"a small copper coin of great britain , being a cent in united states currency"
fascination,a charm
fashionable,a person who conforms to the fashions
fashion,"particularly , the mode or style usual among persons of good breeding"
faster,one who abstains from food
fast,that which fastens or holds
fat,"an oily liquid or greasy substance making up the main bulk of the adipose tissue of animals , and widely distributed in the seeds of plants"
fate,fortune
father,a first ancestor
fathom,the space to which a man can extend his arms
fatigue,lassitude or exhaustion of strength
fault,lack
favorite,a person or thing regarded with peculiar favor
favor,promotion
fear,"a painful emotion or passion excited by the expectation of evil , or the apprehension of impending danger"
feast,something highly agreeable
feat,a deed
feather,"one of the peculiar dermal appendages , of several kinds , belonging to birds , as contour feathers , quills , and down"
feature,a lineament
feed,a grazing or pasture ground
feeding,pasture land
feel,a sensation communicated by touching
feeling,the capacity of the soul for emotional states
fee,possession
felicity,a successful or gratifying event
fellow,an ignoble or mean man
fellowship,joint interest
fell,"the finer portions of ore which go through the meshes , when the ore is sorted by sifting"
female,"an individual of the sex which conceives and brings forth young , or ( in a wider sense ) which has an ovary and produces ova"
fence,a cover
ferocity,cruelty
fertility,fertile invention
fetch,"a stratagem by which a thing is indirectly brought to pass , or by which one thing seems intended and another is done"
fever,"a diseased state of the system , marked by increased heat , acceleration of the pulse , and a general derangement of the functions , including usually , thirst and loss of appetite"
fiction,"comprehensively , all works of imagination"
fiddle,a kit
fidelity,adherence to a person or party to which one is bound
field,land suitable for tillage or pasture
fiend,an infernal being
fifteen,the sum of five and ten
fifteenth,one of fifteen equal parts or divisions
fifth,"the interval of three tones and a semitone , embracing five diatonic degrees of the scale"
fifty,the sum of five tens
fight,a contest in arms
figure,shape
file,a shrewd or artful person
filling,the woof in woven fabrics
fill,the place which is to be filled
film,any thin layer covering a surface
filth,nastiness
finance,resources
find,a discovery of anything valuable
finding,"that which is found , come upon , or provided"
fine,a mulct
finger,"as , the pointer of a clock , watch , or other registering machine"
finishing,the final work upon or ornamentation of a thing
finish,minute detail careful elaboration or the like
fire,"fuel in a state of combustion , as on a hearth , or in a stove or a furnace"
fireplace,a hearth
firing,the mode of introducing fuel into the furnace and working it
firmament,the region of the air
firm,"the name , title , or style , under which a company transacts business"
fiscal,a public officer in scotland who prosecutes in petty criminal cases
fish,"a name loosely applied in popular usage to many animals of diverse characteristics , living in the water"
fisherman,one whose occupation is to catch fish
fishing,"the act , practice , or art of one who fishes"
fist,the hand with the fingers doubled into the palm
fit,"in old english , a song"
fitness,the state or quality of being fit
five,"the number next greater than four , and less than six"
fixing,arrangements
fix,predicament
flag,a flat stone used for paving
flame,a blaze
flank,the extreme right or left
flannel,"it is used , for example for underwear or sheets"
flash,a momentary blaze
flashing,"pieces of metal , built into the joints of a wall , so as to lap over the edge of the gutters or to cover the edge of the roofing"
flask,"as of sheet metal , to carry gunpowder in"
flat,an extended plain
flattery,adulation
flavor,savor
fleet,a river
flesh,"animal food , in distinction from vegetable"
flight,the act of flying
fling,a gibe
float,"a mass of timber or boards fastened together , and conveyed down a stream by the current"
floating,the second coat of three - coat plastering
flock,"considered in their relation to the pastor , or minister in charge"
flood,a freshet
floor,the bottom or lower part of any room
flora,"the complete system of vegetable species growing without cultivation in a given locality , region , or period"
flourish,a merely decorative figure
flour,the fine and soft powder of any substance
flow,"any gentle , gradual movement or procedure of thought , diction , music , or the like , resembling the quiet , steady movement of a river"
flowering,"the act of blossoming , or the season when plants blossom"
flower,"the showy portion , usually of a different color , shape , and texture from the foliage"
fluid,a body whose particles move easily among themselves
flush,a glow
flute,a channel of curved section
flutter,quick and irregular motion
fly,any winged insect
foam,froth
foe,an adversary
fog,watery vapor condensed in the lower part of the atmosphere and disturbing its transparency
fold,a plait
folding,a doubling
foliage,"leaves , collectively , as produced or arranged by nature"
folio,a leaf of a book or manuscript
follow,the art or process of following
folly,weak or light - minded conduct
fond,"fund , stock , or store"
fondness,tender liking
food,that which nourishes
fool,a dolt
foolishness,the quality of being foolish
football,"something which is treated in a rough manner , usually as part of a dispute"
footing,permanent settlement
foot,the muscular locomotive organ of a mollusk
forbearance,the act of forbearing or waiting
force,coercion
forefinger,the finger next to the thumb
forehead,the front or fore part of anything
foreigner,a person belonging to or owning allegiance to a foreign country
foreman,"the chief man of a jury , who acts as their speaker"
foresight,the act or the power of foreseeing
forest,"in the united states , a wood of native growth , or a tract of woodland which has never been cultivated"
fore,that which is in front
forfeit,a mulct
forgiveness,willingness to forgive
fork,"a barbed point , as of an arrow"
forlorn,"a lost , forsaken , or solitary person"
formation,structure
format,the shape and size of a book or other printed publication
former,"a shape around which an article is to be shaped , molded , woven wrapped , pasted , or otherwise constructed"
form,system
formula,"a fixed or conventional method in which anything is to be done , arranged , or said"
fort,a fortification
fortitude,passive courage
fortnight,the space of fourteen days
fortune,good or ill success
forty,the sum of four tens
foul,"in various games or sports , an act done contrary to the rules"
foundation,"in a frame house , the whole substructure of masonry"
founder,"a lameness in the foot of a horse , occasioned by inflammation"
fountain,the structure or works in which such a jet or stream rises or flows
fourteen,the sum of ten and four
fourteenth,the quotient of a unit divided by fourteen
fourth,"the interval of two tones and a semitone , embracing four diatonic degrees of the scale"
fraction,an expression for a definite portion of a unit or magnitude
fragment,"a small , detached portion"
fragrance,a pleasing odor
frail,a rush for weaving baskets
frame,the bodily structure
framework,"the work of framing , or the completed work"
frankness,candor
frank,"the privilege of sending letters or other mail matter , free of postage , or without charge"
fraud,deceit
fray,an angry quarrel
freedom,privileges
freight,lading
frenzy,violent and temporary derangement of the mental faculties
freshness,the state of being fresh
fret,disturbance of temper
friar,a white or pale patch on a printed page
friction,a disagreement tending to prevent or retard progress
friendliness,the condition or quality of being friendly
friend,one of the same nation party kin etc
frigate,"iginally , a vessel of the mediterranean propelled by sails and by oars"
fright,"anything strange , ugly or shocking , producing a feeling of alarm or aversion"
fringe,a line of objects along a border or edge
frock,"a coarse gown worn by monks or friars , and supposed to take the place of all , or nearly all , other garments"
frog,"the triangular prominence of the hoof , in the middle of the sole of the foot of the horse , and other animals"
frontier,that part of a country which fronts or faces another country or an unsettled region
front,"the forehead , countenance , or personal presence , as expressive of character or temper , and especially , of boldness of disposition , sometimes of impudence"
frost,severe cold or freezing weather
frown,a scowl
fruit,"the ripened ovary of a flowering plant , with its contents and whatever parts are consolidated with it"
fuel,any matter used to produce heat by burning
fugitive,a deserter
fuller,"a half - round set hammer , used for forming grooves and spreading iron"
full,utmost extent
function,the exertion of an energy of some determinate kind
fundamental,"a leading or primary principle , rule , law , or article , which serves as the groundwork of a system"
fund,public securities
funeral,burial
fun,frolicsome amusement
furnace,"an inclosed place in which heat is produced by the combustion of fuel , as for reducing ores or melting metals , for warming a house , for baking pottery , etc"
furniture,that with which anything is furnished or supplied
fur,"the short , fine , soft hair of certain animals , growing thick on the skin , and distinguished from the hair , which is longer and coarser"
fury,violent anger
fuss,unnecessary or annoying ado about trifles
future,time to come
gaiety,same as gayety
gain,acquisition
gait,a march
gale,the payment of a rent or annuity
gallant,a lover
gallery,a long hole or passage excavated by a boring or burrowing animal
galley,a large vessel for war and national purposes
gallop,"a mode of running by a quadruped , particularly by a horse , by lifting alternately the fore feet and the hind feet , in successive leaps or bounds"
game,"jest , frolic"
gang,"a combination of similar implements arranged so as , by acting together , to save time or labor"
gap,an opening which implies a breach or defect
garb,"a sheaf of grain ( wheat , unless otherwise specified )"
garden,"a rich , well - cultivated spot or tract of country"
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
garrison,a body of troops stationed in a fort or fortified town
gas,an a ë riform fluid
gasp,the act of opening the mouth convulsively to catch the breath
gate,"a door , valve , or other device , for stopping the passage of water through a dam , lock , pipe , etc"
gathering,a crowd
gather,the inclination forward of the axle journals to keep the wheels from working outward
gaze,"a look of eagerness , wonder , or admiration"
gear,goods
gem,a jewel
general,one of the chief military officers of a government or country
generation,progeny
generosity,liberality in giving
genesis,the first book of the old testament
geneva,"a strongly alcoholic liquor , flavored with juniper berries"
genius,"special taste , inclination , or disposition"
gentle,a trained falcon
gentleman,a man well born
gentleness,"softness of manners , disposition , etc"
gentry,people of education and good breeding
genus,a class more extensive than a species
geography,a treatise on this science
germ,that which is to develop a new individual
gesture,a motion of the body or limbs expressive of sentiment or passion
get,offspring
getting,gain
ghost,the disembodied soul
giant,"a person of extraordinary strength or powers , bodily or intellectual"
gift,an offering
gilt,"a female pig , when young"
gin,"a hoisting drum , usually vertical"
girdle,a circumference
girl,"a female child , from birth to the age of puberty"
giving,a conferring or imparting
gladness,cheerfulness
glance,a swift survey
glare,"a bright , dazzling light"
glass,a mirror
gleam,a beam
glee,merriment
glen,a depression between hills
glide,"the act or manner of moving smoothly , swiftly , and without labor or obstruction"
glimmer,"feeble , scattered rays of light"
glimpse,a sudden flash
glitter,brilliancy
globe,a sphere
gloom,cloudiness or heaviness of mind
glory,honorable fame
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,intense excitement or earnestness
goal,"in basketball , it is the basket { 7 } suspended from the backboard , through which the basketball must pass"
goddess,"a divinity , or deity , of the female sex"
god,the supreme being
going,gestation
gold,money
gorge,the canal by which food passes to the stomach
gospel,glad tidings
gossip,a sponsor
gout,"a constitutional disease , occurring by paroxysms"
governess,a female governor
government,the established form of law
governor,one who is invested with the supreme executive authority in a state
gown,the dress of peace
grace,favor bestowed or privilege conferred
grade,gradient
gradual,a service book containing the musical portions of the mass
grain,"a kernel , especially of those plants , like wheat , whose seeds are used for food"
grammar,the science which treats of the principles of language
grandeur,splendor
grandfather,a father ' s or mother ' s father
granite,"a crystalline , granular rock , consisting of quartz , feldspar , and mica , and usually of a whitish , grayish , or flesh - red color"
grant,allowance
grasp,forcible possession
grass,pasture
grate,"a frame or bed , or kind of basket , of iron bars , for holding fuel while burning"
gratification,that which affords pleasure
grating,"a partition , covering , or frame of parallel or cross bars"
gratitude,warm and friendly feeling toward a benefactor
grave,a tomb
gravel,"small stones , or fragments of stone"
gravity,sobriety of character or demeanor
gray,the confederate army or a soldier in the confederate army
greatness,"the state , condition , or quality of being great"
greed,greediness
green,the color of the solar spectrum intermediate between the yellow and the blue
greeting,expression of kindness or joy
grief,"mental suffering arising from any cause , as misfortune , loss of friends , misconduct of one ' s self or others , etc"
grievance,affliction
grind,a dig
