abandon,careless freedom or ease
derision,mockery
derision,scornful or contemptuous treatment which holds one up to ridicule
descent,"progress downward , as in station , virtue , as in station , virtue , and the like , from a higher to a lower state , from a higher to a lower state , from the more to the less important , from the better to the worse , etc"
description,a class to which a certain representation is applicable
description,sort
desert,"a tract , which may be capable of sustaining a population , but has been left unoccupied and uncultivated"
desert,that which is deserved
design,"an outline or pattern of the main features of something to be executed , as of a picture , a building , or a decoration"
design,plot
desolation,depopulation
desolation,gloominess
desperation,a giving up of hope
destination,"predetermined end , object , or use"
destiny,doom
destiny,predetermined state
destiny,that to which any person or thing is destined
destruction,a destroying agency
detachment,renunciation
detachment,that which is detached
determination,limit
deuce,a demon
deuce,the devil
deuce,two
development,"the series of changes which animal and vegetable organisms undergo in their passage from the embryonic state to maturity , from a lower to a higher state of organization"
device,an artifice
device,a project
device,a scheme
device,"that which is devised , or formed by design"
devil,a demon
devotion,devoutness
devotion,the state of being devoted
dexterity,readiness and grace in physical activity
dexterity,readiness in the use or control of the mental powers
dialect,a variety or subdivision of a language
dialect,speech characterized by local peculiarities or specific circumstances
dialect,tongue
dialogue,a written composition in which two or more persons are represented as conversing or reasoning on some topic
dialogue,"particularly , a formal conservation in theatrical performances or in scholastic exercises"
diamond,"a geometrical figure , consisting of four equal straight lines , and having two of the interior angles acute and two obtuse"
diamond,"a precious stone or gem excelling in brilliancy and beautiful play of prismatic colors , and remarkable for extreme hardness"
die,hazard
diet,any of various national or local assemblies
difference,matter in controversy
difference,variation
dig,a punch
digest,a summary of laws
digestion,classification
digest,that which is digested
dignity,"high office , political or ecclesiastical"
diligence,"a four - wheeled public stagecoach , used in france"
diligence,careful attention
diligence,carefulness
diligence,devoted and painstaking effort to accomplish what is undertaken
diligence,interested and persevering application
diligence,process for enforcing the attendance of witnesses or the production of writings
dinner,a feast
dip,"a hollow or depression in a surface , especially in the ground"
diplomacy,"the art and practice of conducting negotiations between nations ( particularly in securing treaties ), including the methods and forms usually employed"
dip,slope
direction,administration
direction,command
director,a manager or superintendent
director,one of a body of persons appointed to manage the affairs of a company or corporation
disadvantage,loss
discharge,firing off
disciple,an adherent in doctrine
discipline,development of the faculties by instruction and exercise
discomfort,pain
discomfort,"uneasiness , mental or physical"
discontent,want of content
discovery,a making known
discovery,the action of discovering
discretion,discrimination
disdain,scorn
disgrace,"loss of favor , regard , or respect"
disgrace,the condition of being out of favor
disgust,repugnance to what is offensive
disgust,strong distaste
dish,any particular kind of food especially prepared food
dish,"a vessel , as a platter , a plate , a bowl , used for serving up food at the table"
dislike,displeasure
dismay,a sinking of the spirits
dismay,loss of courage and firmness through fear
disorder,irregularity
disorder,tumult
dispatch,riddance
dispatch,"speedy performance , as of business"
dispatch,the finishing up of a business
display,an opening or unfolding
displeasure,indignation
displeasure,offense
displeasure,the feeling of one who is displeased
disposal,adjustment
disposal,a putting in order
disposal,"the transference of anything into new hands , a new place , condition , etc"
disposition,application
disposition,der
disposition,the state or the manner of being disposed or arranged
dispute,controversial discussion
dispute,debate
dissolution,change from a solid to a fluid state
distance,a remote place
distinction,exercise of discernment
distinction,sharply defined difference
distribution,arrangement of anything into parts
distribution,the act of distributing or dispensing
distribution,the act of dividing or apportioning among several or many
district,the territory within which the lord has the power of coercing and punishing
disturbance,confusion of the mind
disturbance,disorder
disturbance,disquiet
disturbance,perplexity
disturbance,uneasiness
disturbance,violent agitation in the body politic
diversion,"the attack , alarm , or feint which diverts"
divide,called watershed and water parting
divine,a priest
divinity,godhead
divinity,the nature or essence of god
divinity,the state of being divine
division,"the act or process of diving anything into parts , or the state of being so divided"
dock,"an artificial basin or an inclosure in connection with a harbor or river , -- used for the reception of vessels , and provided with gates for keeping in or shutting out the tide"
dock,the part of a tail left after clipping or cutting
doctor,any mechanical contrivance intended to remedy a difficulty or serve some purpose in an exigency
doctrine,"what is held , put forth as true , and supported by a teacher , a school , or a sect"
doe,a female deer or antelope
dog,a fellow
doll,a child ' s puppet
domain,dominion
domain,the land about the mansion house of a lord and in his immediate occupancy
domain,"the possessions of a sovereign or commonwealth , or the like"
dome,a building
dome,a house
dome,an edifice
domestic,a house servant
dominion,territory over which authority is exercised
dominion,the power of governing and controlling
donkey,an ass
doom,"destiny or fate , especially unhappy destiny"
door,"an opening in the wall of a house or of an apartment , by which to go in and out"
door,means of approach or access
dose,a portion
double,a doubling
doubt,objection
doubt,uncertainty of judgment or mind
dough,paste of bread
downfall,"a sudden descent from rank or state , reputation or happiness"
draft,"from any district , or any company or collection of persons , or from the people at large"
draft,the thing drawn
drain,a sewer
dread,fearful apprehension of danger
dread,great fear in view of impending evil
dream,a vagary
dress,clothes
dressing,dress
drift,an overpowering influence or impulse
drift,a violent movement
drift,setting
drift,the force which impels or drives
drill,a large african baboon
drill,an instrument with an edged or pointed end used for making holes in hard substances
drill,"any exercise , physical or mental , enforced with regularity and by constant repetition"
drive,a road prepared for driving
drive,a rushing onward or away
drive,"a stroke from the tee , generally a full shot made with a driver"
drive,"in various games , as tennis , cricket , etc"
drive,the stroke or blow
drop,a minim
dropping,the action of causing to drop or of letting drop
dropping,the excrement or dung of animals
drug,any stuff used in dyeing or in chemical operations
drum,"a small cylindrical box in which figs , etc"
drunkenness,rage
drunkenness,"the state of being drunken with , or as with , alcoholic liquor"
duck,"a linen ( or sometimes cotton ) fabric , finer and lighter than canvas , -- used for the lighter sails of vessels , the sacking of beds , and sometimes for men ' s clothing"
duck,the light clothes worn by sailors in hot climates
duke,the fists
duty,"that which a person is bound by moral obligation to do , or refrain from doing"
dwarf,"a small , usually misshapen person , typically a man , who may have magical powers"
dwelling,domicile
dynasty,lordship
eagerness,the state or quality of being eager
earnest,a token of what is to come
earnest,reality
ear,the power of discriminating between different tones
ear,the sense of hearing
earth,the dry land
ease,comfort
ease,facility
ease,peace
ease,security
eating,the act of consuming or corroding
ebb,decline
eccentric,"one who , or that which , deviates from regularity"
echo,repercussion of sound
economy,as they concern expense or disbursement
economy,derly arrangement and management of the internal affairs of a state of any establishment kept up by production and consumption
economy,such management as directly concerns wealth
economy,the system of rules and regulations by which anything is managed
ecstasy,excessive and overmastering joy or enthusiasm
ecstasy,the pulsation and breathing are not affected
ecstasy,the state of being beside one ' s self or rapt out of one ' s self
eddy,"a current of air or water running back , or in a direction contrary to the main current"
edge,any sharp terminating border
editor,one who edits
education,"the result of educating , as determined by the knowledge skill , or discipline of character , acquired"
effective,that which produces a given effect
efficient,a prime mover
egg,"a simple cell , from the development of which the young of animals are formed"
elder,one who is older
election,free will
election,liberty to choose or act
election,power of choosing
election,selection
elevation,height
elevation,"the act of raising from a lower place , condition , or quality to a higher"
eleven,the sum of ten and one
embassy,a public message to
embassy,envoys
embrace,clasp
embrace,intimate or close encircling with the arms
embroidery,the art of embroidering
embroidery,variegated decoration
emergency,an unforeseen occurrence
emergency,pressing necessity
eminence,high rank
eminence,social or moral loftiness
emphasis,a peculiar impressiveness of expression or weight of thought
emphasis,"a special attention given to , or extra importance attached to , something"
empire,supreme power
empire,sway
empire,the dominion of an emperor
empress,a sovereign mistress
encampment,a camp
encampment,"the act of pitching tents or forming huts , as by an army or traveling company , for temporary lodging or rest"
enchantment,an influence or power which fascinates or highly delights
enchantment,the act of enchanting
enchantment,the effect produced by the act
enchantment,"the use of magic arts , spells , or charms"
encounter,a battle
encounter,a sudden or incidental meeting
encouragement,incentive
encouragement,incitement to action or to practice
end,conclusion
end,consequence
end,death
end,destruction
endeavor,an effort
end,extermination
ending,destruction
ending,result
end,the concluding part
endurance,"a continuing under pain or distress without resistance , or without being overcome"
energy,life
energy,spirit
engineer,an efficient manager
engineer,a person skilled in the principles and practice of any branch of engineering
engineer,"one who manages as engine , particularly a steam engine"
enmity,a state of opposition
entertainment,a formal or elegant meal
entertainment,a hospitable repast
enthusiasm,ardent and imaginative zeal or interest
enthusiasm,strong excitement of feeling on behalf of a cause or a subject
entrance,ingress
entrance,"liberty , power , or permission to enter"
entrance,the act of entering or going into
entreaty,the act of entreating or beseeching
entreaty,urgent prayer
entry,"a passage leading into a house or other building , or to a room"
envelope,an inclosing cover
envelope,"a work of earth , in the form of a single parapet or of a small rampart"
envelope,the cover or wrapper of a document as of a letter
envoy,a person deputed by a sovereign or a government to negotiate a treaty or transact other business with a foreign sovereign or government
episode,"a separate incident , story , or action , introduced for the purpose of giving a greater variety to the events related"
epoch,a division of time characterized by the prevalence of similar conditions of the earth
epoch,"a period of time , longer or shorter , remarkable for events of great subsequent influence"
equal,"one having the same or a similar age , rank , station , office , talents , strength , or other quality or condition"
equilibrium,"a just poise or balance in respect to an object , so that it remains firm"
era,a signal stage of history
erection,exaltation of feelings or purposes
errand,a special business intrusted to a messenger
errand,something to be told or done by one sent somewhere for the purpose
error,a departing or deviation from the truth
error,a wandering or deviation from the right course or standard
error,false notion
error,wrong opinion
escape,deliverance from injury or any evil
escape,flight
escort,"a guard , as of prisoners on a march"
essay,"an effort made , or exertion of body or mind , for the performance of anything"
essence,that quality which constitutes or marks the true nature of anything
essence,"the constituent elementary notions which constitute a complex notion , and must be enumerated to define it"
essence,"the real being , divested of all logical accidents"
estate,condition or circumstances of life or of any person
estate,social standing or rank
estimate,rough or approximate calculation
estimation,valuation
eternal,one of the appellations of god
eternal,that which is endless and immortal
eternity,"infinite duration , without beginning in the past or end in the future"
ether,"the modern use of the term is mostly a figurative term for empty space , or for literary effect , and not intended to imply the actual existence of a physical medium"
ethics,the body of rules of duty drawn from this science
ethics,the science of human duty
etiquette,ceremonial code of polite society
evening,"the declining period , as of strength or glory"
event,conclusion
event,result
everlasting,"a plant whose flowers may be dried without losing their form or color ,"
evidence,"that which furnishes , or tends to furnish , proof"
evil,depravity
evil,disposition to do wrong
evil,wickedness
exaltation,the act of exalting or raising high
examination,"the act of examining , or state of being examined"
exception,"as to the decision of a judge , in the course of a trail , in his charge to a jury"
excess,an undue indulgence of the appetite
exchange,a publication exchanged for another
excitement,"the act of exciting , or the state of being roused into action , or of having increased action"
exclamation,"a word expressing passion , as wonder , fear , or grief"
exclusion,prohibition
execution,consummation
execution,"the act of the mode of performing a work of art , of performing on an instrument , of engraving , etc"
exercise,a setting in action or practicing
exercise,habitual activity
exhaustion,the state of being deprived of strength or spirits
exhibition,maintenance
exile,one who separates himself from his home
exile,the person expelled from his country by authority
exit,passage out of a place
exit,"the departure of a player from the stage , when he has performed his part"
expansion,expanse
expansion,extend surface
expansion,the act of expanding or spreading out
expectation,the prospect of the future
expedient,shift
expedient,suitable means to accomplish an end
expedition,a warlike enterprise
expedition,dispatch
expedition,speed
expedition,the body of persons making such excursion
expense,a spending or consuming
experiment,"an act or operation undertaken in order to discover some unknown principle or effect , or to test , establish , or illustrate some hypothesis , theory , or known truth"
expert,a sworn appraiser
expert,one instructed by experience
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,definition
explanation,interpretation
explanation,sense
exploit,a deed of renown
exploit,a heroic act
exploration,physical examination
explosion,the act of exploding
exposition,a commentary
exposition,a setting out or displaying to public view
exposition,the act of exposing or laying open
exposition,the sense put upon a passage
exposure,"position as to points of compass , or to influences of climate , etc"
exposure,"the act of exposing or laying open , setting forth , laying bare of protection , depriving of care or concealment , or setting out to reprobation or contempt"
express,a regular and fast conveyance
exquisite,a fop
extension,expansion
extension,that property of a body by which it occupies a portion of space
extent,measure
external,"that which makes a show , rather than that which is intrinsic"
extract,a citation
extract,"a portion of a book or document , separately transcribed"
extract,that which is extracted or drawn out
extravagance,want of moderation
extreme,calamity danger distress etc
extreme,extremity
extreme,that part which terminates a body
extreme,the utmost point or verge
extremity,highest degree
exultation,the act of exulting
fable,common talk
fable,the theme of talk
fabric,"cloth of any kind that is woven or knit from fibers , whether vegetable , animal , or synthetic"
fabric,edifice
fabric,manufactured cloth
fabric,structure
face,that part which presents itself to the view
facility,freedom from difficulty
facility,the quality of being easily performed
fact,a thing supposed or asserted to be done
faction,"a party , in political society , combined or acting in union , in opposition to the government , or state"
faction,dissension
factor,a constituent
factor,"one of the elements or quantities which , when multiplied together , form a product"
factor,one who transacts business for another
fact,reality
fact,"sometimes , even when false , improperly put , by a transfer of meaning , for the thing done , or supposed to be done"
faculty,an original mental power or capacity for any of the well - known classes of mental activity
faculty,characteristic knack
failure,deficiency
fairy,a fay
faith,belief
faith,"firm and earnest belief , on probable evidence of any kind , especially in regard to important moral truth"
falsehood,a departure from moral integrity
falsehood,a lie
falsehood,unfaithfulness
fame,public report or rumor
fame,report or opinion generally diffused
familiar,an attendant demon or evil spirit
familiarity,"intimate and frequent converse , or association"
familiarity,unconstrained intercourse
family,those who descend from one common progenitor
farce,ridiculous or empty show
fare,condition or state of things
fare,entertainment
fare,food
farewell,act of departure
farewell,adieu
farewell,a wish of happiness or welfare at parting
farmer,one who is devoted to the tillage of the soil
fascination,enchantment
fascination,that which fascinates
fashion,"custom or conventional usage in respect of dress , behavior , etiquette , etc"
fashion,the make or form of anything
fast,abstinence from food
fate,arranged or predetermined event
fate,ruin
fate,the immutable law of the universe
father,"one who has begotten a child , whether son or daughter"
fathom,the space to which a man can extend his arms
fault,an offense less serious than a crime
favor,a kind act or office
favor,good will
favor,kind regard
fear,"a painful emotion or passion excited by the expectation of evil , or the apprehension of impending danger"
feast,a festive or joyous meal
feast,a holiday
feast,"a solemn , or more commonly , a joyous , anniversary"
feat,"a striking act of strength , skill , or cunning"
fee,"a right to the use of a superior ' s land , as a stipend for services to be performed"
feed,a meal
feed,hay
feed,that which is eaten
feeling,"that one of the five senses which resides in the general nerves of sensation distributed over the body , especially in its surface"
feeling,the sense of touch
fee,pay
felicity,blessing
fell,a barren or rocky hill
fellow,a sharer
fellowship,companionship
fellowship,joint interest
fence,a cover
fence,a defense
fence,a protection
fertility,richness
fetch,the unobstructed region of the ocean over which the wind blows to generate waves
fever,excessive excitement of the passions in consequence of strong emotion
fiction,"that which is feigned , invented , or imagined"
fiddle,a kit
fiddle,"a rack or frame of bars connected by strings , to keep table furniture in place on the cabin table in bad weather"
fidelity,adherence to a person or party to which one is bound
fiend,an implacable or malicious foe
fiend,an infernal being
fifth,one of five equal parts
fight,an engagement
figure,the form of anything
file,"a number consisting the depth of a body of troops , which , in the ordinary modern formation , consists of two men , the battalion standing two deep , or in two ranks"
file,"the line , wire , or other contrivance , by which papers are put and kept in order"
file,this mail brings english files to the 15th instant
fill,that which fills
film,a pellicle
filth,corruption
filth,pollution
finance,available money
finance,revenue
finance,the income of a ruler or of a state
finding,provision
finishing,the final work upon or ornamentation of a thing
fire,state of ignition
firing,the act of discharging firearms
fish,"a counter , used in various games"
fishing,"the act , practice , or art of one who fishes"
fit,a caprice
fit,a paroxysm
fit,a passing humor
five,"the number next greater than four , and less than six"
fixing,the act or process of making fixed
fixing,trimmings
flag,a banner
flag,"a cloth usually bearing a device or devices and used to indicate nationality , party , etc"
flag,an ensign
flag,a standard
flag,the colors
flame,a fire
flame,"a stream of burning vapor or gas , emitting light and heat"
flame,burning zeal or passion
flash,an instant
flash,a very brief period
flashing,"pieces of metal , built into the joints of a wall , so as to lap over the edge of the gutters or to cover the edge of the roofing"
flask,"a narrow - necked vessel of metal or glass , used for various purposes"
flask,"as of sheet metal , to carry gunpowder in"
flat,an extended plain
flat,a shallow
flat,a shoal
flavor,savor
flavor,that quality of anything which affects the taste
flavor,that quality which gratifies the palate
fleet,a creek or inlet
flesh,meat
flesh,the corporeal person
flesh,the muscles
flight,the act of flying
flight,"the act of running away , to escape danger or expected evil"
fling,a kick
fling,a throw
floating,the second coat of three - coat plastering
flock,a christian church or congregation
flock,the dust of vegetable fiber used for a similar purpose
flock,woolen or cotton refuse ( sing
flood,a body of water rising swelling and overflowing land not usually thus covered
floor,"the surface , or the platform , of a structure on which we walk or travel"
flourish,ostentatious embellishment
flourish,parade of words and figures
flourish,"something made or performed in a fanciful , wanton , or vaunting manner , by way of ostentation , to excite admiration , etc"
flour,the finer part of meal separated by bolting
flower,the state or time of freshness and bloom
flush,any tinge of red color like that produced on the cheeks by a sudden rush of blood
flute,a channel of curved section
flute,"a similar channel or groove made in wood or other material , especially in plaited cloth , as in a lady ' s ruffle"
foe,a hostile army
foe,an adversary
foe,an enemy
fog,a state of mental confusion
fold,"a doubling , especially of any flexible substance"
fold,a plait
folio,a leaf of a book or manuscript
follow,the art or process of following
folly,an inconsiderate or thoughtless procedure
folly,"levity , weakness , or derangement of mind"
fond,the ground
food,aliment
food,what is eaten by animals for nourishment
fool,a dolt
foolishness,the quality of being foolish
fool,one without judgment
footing,state
foot,the muscular locomotive organ of a mollusk
force,active power
force,vigor
force,warlike array
forefinger,the finger next to the thumb
forehead,the aspect or countenance
forehead,the front or fore part of anything
foreman,"the chief man of a jury , who acts as their speaker"
foresight,any sight or bearing taken by a compass or theodolite in a forward direction
fore,that which is in front
forgiveness,the act of forgiving
forgiveness,willingness to forgive
fork,"a barbed point , as of an arrow"
fork,"an instrument consisting of a handle with a shank terminating in two or more prongs or tines , which are usually of metal , parallel and slightly curved"
fork,a prong
formation,a shaping
formation,a substance formed or deposited
formation,conformation
formation,form
formation,the manner in which a thing is formed
form,external appearance
form,formula
formula,"a fixed or conventional method in which anything is to be done , arranged , or said"
formula,an established rule
fortune,luck
fortune,prosperity as reached partly by chance and partly by effort
foundation,that upon which anything is founded
founder,an author
founder,"an inflammatory fever of the body , or acute rheumatism"
fountain,"a basin built and constantly supplied with pure water for drinking and other useful purposes , or for ornament"
fourteen,the sum of ten and four
fourteenth,one of fourteen equal parts into which one whole may be divided
fourteenth,the quotient of a unit divided by fourteen
fourth,"the interval of two tones and a semitone , embracing four diatonic degrees of the scale"
fraction,a portion
frail,"a basket made of rushes , used chiefly for containing figs and raisins"
frail,a rush for weaving baskets
frame,make or build of a person
framework,"work done in , or by means of , a frame or loom"
frank,a native or inhabitant of western europe
fraud,deception deliberately practiced with a view to gaining an unlawful or unfair advantage
fray,broil
fray,contest
freedom,independence
fret,agitation of mind marked by complaint and impatience
friction,the act of rubbing the surface of one body against that of another
friendliness,the condition or quality of being friendly
fright,"sudden and violent fear , usually of short duration"
fringe,a border
fringe,a diffraction band
fringe,a line of objects along a border or edge
frock,a gown forming a part of european modern costume for women and children
frock,a loose outer garment
frost,severe cold or freezing weather
frown,any expression of displeasure
frown,a scowl
frown,"a sour , severe , or stern look"
fuel,that which feeds fire
fund,"an aggregation or deposit of resources from which supplies are or may be drawn for carrying on any work , or for maintaining existence"
fund,"evidences ( stocks or bonds ) of money lent to government , for which interest is paid at prescribed intervals"
fund,that reserve by means of which expenses and credit are supported
fun,merriment
furnace,"an inclosed place in which heat is produced by the combustion of fuel , as for reducing ores or melting metals , for warming a house , for baking pottery , etc"
furniture,equipment
future,time to come
gaiety,same as gayety
gait,a walk
gale,a breeze
gallery,"a long and narrow corridor , or place for walking"
gallery,also a large or important collection of paintings sculptures etc
gang,all required for an outfit
gang,a set
garb,clothing in general
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
gate,"a large door or passageway in the wall of a city , of an inclosed field or place , or of a grand edifice , etc"
gate,"an opening for passage in any inclosing wall , fence , or barrier"
gaze,"a look of eagerness , wonder , or admiration"
gear,goods
gear,manufactured stuff or material
gem,a bud
general,the whole
generation,"procreation , as of animals"
generation,progeny
generosity,munificence
generosity,noble - mindedness
generosity,the quality of being noble
genius,"animating spirit , as of a nation , a religion , a language"
genius,"a spirit , good or bad"
gentleman,a man well born
genus,a class of objects divided into several subordinate species
geography,"a description of the earth , or a portion of the earth , including its structure , features , products , political divisions , and the people by whom it is inhabited"
germ,that from which anything springs
gesture,a motion of the body or limbs expressive of sentiment or passion
get,offspring
getting,profit
getting,the act of obtaining or acquiring
ghost,a glimmering
ghost,the disembodied soul
giant,"any animal , plant , or thing , of extraordinary size or power"
gilt,"a female pig , when young"
girdle,the equator
girdle,the zodiac
girl,a female servant
gladness,state or quality of being glad
glance,a quick or a casual look
gleam,a glimpse
gleam,splendor
glee,joy
glimpse,an inkling
globe,a ball
gloom,cloudiness or heaviness of mind
gloom,low spirits
gloom,partial or total darkness
glory,that quality in a person or thing which secures general praise or honor
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,intense excitement or earnestness
goal,"in certain games , the point which the ball or puck must pass in order for points to be scored"
god,an object of supreme regard
goddess,"a divinity , or deity , of the female sex"
going,gestation
gold,"a yellow color , like that of the metal"
gorge,a defile between mountains
gospel,glad tidings
gossip,a godfather or a godmother
gossip,a sponsor
gout,a clot or coagulation
gout,"a constitutional disease , occurring by paroxysms"
governess,a woman invested with authority to control and direct
government,the mode of governing
government,the system of polity in a state
governor,a guardian
governor,one who governs
gown,"the dress of civil officers , in distinction from military"
grace,"the mercy of god , as distinguished from his justice"
grade,a gradient
gradual,a service book containing the musical portions of the mass
grain,"a blade of a sword , knife , etc"
grain,"a kernel , especially of those plants , like wheat , whose seeds are used for food"
grammar,a book containing the principles and rules for correctness in speaking or writing
grandeur,elevation of thought or expression
grandeur,magnificence
grandeur,sublimity
grandfather,a father ' s or mother ' s father
grandfather,an ancestor immediately after the father or mother in lineal ascent
grant,a boon
grant,concession
grant,permission
grasp,reach of the arms
grass,spring
grass,the plants which constitute the food of cattle and other beasts
grating,a latticework resembling a window grate
grave,an excavation in the earth as a place of burial
grave,any place of interment
gray,the confederate army or a soldier in the confederate army
grief,cause of sorrow or pain
grief,pain of mind on account of something in the past
grief,sadness
grief,sorrow
grievance,a cause of uneasiness and complaint
grievance,a wrong done and suffered
grind,any severe continuous work or occupation
grind,"the act of reducing to powder , or of sharpening , by friction"
grip,a handle or gripe
grip,that by which anything is grasped
groom,"a man recently married , or about to be married"
gross,the main body
gross,the number of twelve dozen
grotesque,artificial grotto - work
ground,a floor or pavement supposed to rest upon the earth
group,"an assemblage of objects in a certain order or relation , or having some resemblance or common characteristic"
growl,"the deep , threatening sound made by a surly dog"
guarantee,a warranty
guardian,a warden
guess,"an opinion as to anything , formed without sufficient or decisive evidence or grounds"
guess,a surmise
guest,any insect that lives in the nest of another without compulsion and usually not as a parasite
guidance,direction
guide,"a person who leads or directs another in his way or course , as in a strange land"
guide,a regulator
guilt,a feeling of regret or remorse for having committed some improper act
guise,appropriate indication or expression
guise,shape
gulf,"a deep chasm or basin ,"
gulf,an abyss
guy,a chain or wire rope connecting a suspension bridge with the land on either side to prevent lateral swaying
guy,"a rod or rope attached to the top of a structure , as of a derrick , and extending obliquely to the ground , where it is fastened"
habit,fixed or established custom
habit,physical temperament or constitution
habit,usage
hail,a loud call
hall,"a vestibule , entrance room , etc"
hammer,that part of a clock which strikes upon the bell to indicate the hour
hand,"a limb of certain animals , as the foot of a hawk , or any one of the four extremities of a monkey"
handkerchief,a neckerchief
handkerchief,"a piece of cloth , usually square and often fine and elegant , carried for wiping the face or hands"
handle,a tool
handle,"that part of vessels , instruments , etc"
handling,style of touch
handwriting,the cast or form of writing peculiar to each hand or person
hanging,death by suspension
hanging,"that which is hung as lining or drapery for the walls of a room , as tapestry , paper , etc"
happiness,unstudied grace
harbor,a station for rest and entertainment
hardness,"the cohesion of the particles on the surface of a body , determined by its capacity to scratch another , or be itself scratched"
hardness,the peculiar quality exhibited by water which has mineral salts dissolved in it
hardness,"the quality or state of being hard , literally or figuratively"
harm,hurt
harmony,good correspondence
harmony,peace and friendship
harm,"that which causes injury , damage , or loss"
harvest,reward
haste,expedition
haste,swiftness
hazard,danger
hazard,peril
header,"one who , or that which , heads nails , rivets , etc"
heading,formation of a head
health,"the state of being hale , sound , or whole , in body , mind , or soul"
hearing,audience
hearth,the floor of a fireplace
hearth,"the pavement or floor of brick , stone , or metal in a chimney , on which a fire is made"
heart,the moral affections and character itself
heart,the part most hidden and within
heart,the source of life and motion in any organization
heart,the spring of all our actions and purposes
hearty,boon companion
hearty,comrade
heat,"a force in nature which is recognized in various effects , but especially in the phenomena of fusion and evaporation , and which , as manifested in fire , the sun ' s rays , mechanical action , chemical combination , etc"
heathen,a pagan
heave,"a horizontal dislocation in a metallic lode , taking place at an intersection with another lode"
heave,"an effort to raise something , as a weight , or one ' s self , or to move something heavy"
heave,an upward motion
heave,a rising
heave,"a swell or distention , as of the breast in difficult breathing , of the waves , of the earth in an earthquake , and the like"
heaven,the firmament
hedge,"a thicket of bushes , usually thorn bushes"
hedge,"particularly , such a thicket planted round a field to fence it , or in rows to separate the parts of a garden"
heed,regard
heel,the closing or concluding part
heel,"the hinder part of any covering for the foot , as of a shoe , sock , etc"
height,a hill or mountain
height,"the distance to which anything rises above its foot , above that on which in stands , above the earth , or above the level of the sea"
hell,anguish
helmet,a defensive covering for the head
hen,the female of the domestic fowl
herd,a crowd of low people
herd,a particular stock or family of cattle
hermit,a recluse
hero,"a demigod , as hercules"
heroine,"the principal female person who figures in a remarkable action , or as the subject of a poem or story"
heroism,the display of such qualities
hesitation,the act of hesitating
high,an elevated place
hill,"a natural elevation of land , or a mass of earth rising above the common level of the surrounding land"
hint,a remote allusion
history,a written record
hit,"a stroke of success in an enterprise , as by a fortunate chance"
hold,clasp
hold,grasp
holding,"the act or state of sustaining , grasping , or retaining"
hold,possession
hold,the authority or ground to take or keep
hole,a hollow place or cavity
hole,a pit
holiday,a day of exemption from labor
hollow,"a cavity , natural or artificial"
hollow,an unfilled space within anything
homage,obeisance
home,one ' s birthplace
home,one ' s native land
home,the house in which one lives
honesty,chastity
honesty,satin flower
honey,sweet one
honor,high moral worth
honor,purity
honor,respect
hood,"a soft covering for the head , worn by women , which leaves only the face exposed"
horn,"a projection from the beak of a bird , as in the hornbill"
horror,"a painful emotion of fear , dread , and abhorrence"
horseback,the back of a horse
horse,"the male of the genus equus , in distinction from the female or male"
horse,"usually , a castrated male"
host,a number of men gathered for war
hostile,an american indian in arms against the whites
hour,conjuncture
house,a household
house,a structure intended or used as a habitation or shelter for animals of any kind
house,"but especially , a building or edifice for the habitation of man"
household,those who dwell under the same roof and compose a family
house,household affairs
housekeeper,the master or mistress of a family
hue,a primary color modified by combination with others
hull,"the frame or body of a vessel , exclusive of her masts , yards , sails , and rigging"
hum,"a buzz or murmur , as of approbation"
humanity,the human race
humility,an act of submission or courtesy
humming,a hum
humor,"a vitiated or morbid animal fluid , such as often causes an eruption on the skin"
humor,temper
hunger,an uneasy sensation occasioned normally by the want of food
hunger,any strong eager desire
hunt,a district of country hunted over
hunt,chase
hunter,"a dog that scents game , or is trained to the chase"
hunter,a thoroughbred bred and trained for hunting
hunt,pursuit
hurry,confusion
hurry,pressure
hurt,a husk
hut,a mean lodge or dwelling
hymn,an ode or song of praise or adoration
hymn,a song of praise or thanksgiving intended to be used in religious service
hypothesis,"a proposition or principle which is supposed or taken for granted , in order to draw a conclusion or inference for proof of the point in question"
hypothesis,"something not proved , but assumed for the purpose of argument , or to account for a fact or an occurrence"
idea,a similar image of any object whatever whether sensible or spiritual
ideal,"a model of excellence , beauty , etc"
identity,an identical equation
idol,"a representation or symbol of a deity or any other being or thing , made or used as an object of worship"
ignorance,a willful neglect or refusal to acquire knowledge which one may acquire and it is his duty to have
ignorance,"the lack of knowledge in general , or in relation to a particular subject"
ill,depravity
ill,disease
illness,disease
illness,disorder of health
illness,wrong moral conduct
illusion,a deceptive appearance
illustration,"a comparison or example intended to make clear or apprehensible , or to remove obscurity"
illustration,a picture designed to decorate a volume or elucidate a literary work
illustration,the act of illustrating
image,an idol
image,a semblance
imagination,the power to call up mental imagines
imagination,the representative power
imitation,that which is made or produced as a copy
immortality,exemption from death and annihilation
impatience,"eagerness for change , or for something expected"
impatience,passion
importance,consequence
importance,moment
import,importance
import,"merchandise imported , or brought into a country from without its boundaries"
import,"that which a word , phrase , or document contains as its signification or intention or interpretation of a word , action , event , and the like"
impossibility,an impossible thing
impress,an indentation
impression,mark
impression,stamp
improvement,a turning to good account
