abandon,freedom from artificial constraint
descent,"progress downward , as in station , virtue , as in station , virtue , and the like , from a higher to a lower state , from a higher to a lower state , from the more to the less important , from the better to the worse , etc"
description,a delineation by marks or signs
desert,"a tract , which may be capable of sustaining a population , but has been left unoccupied and uncultivated"
desertion,"abandonment of a service , a cause , a party , a friend , or any post of duty"
desertion,the quitting of one ' s duties willfully and without right
desert,merit
desert,that which is deserved
design,a preliminary sketch
desire,a request
desk,"especially in the united states ), a pulpit"
desolation,gloominess
desolation,ruin
despatch,same as dispatch
despotism,a despotic monarchy
destiny,invincible necessity
destiny,predetermined state
destruction,a destroying agency
destruction,devastation
destruction,ruin
destruction,the act of destroying
detail,an account which dwells on particulars
detail,a narrative which relates minute points
determination,direction or tendency to a certain end
determination,limit
development,"a gradual unfolding process by which anything is developed , as a plan or method , or an image upon a photographic plate"
device,a contrivance
device,a stratagem
device,"often , a scheme to deceive"
devil,a demon
devil,any great evil
devil,"satan , represented as the tempter and spiritual of mankind"
devil,the evil one
devotion,act of worship
devotion,prayer
devotion,zeal
dew,"an emblem of morning , or fresh vigor"
dialect,form of speech
diameter,the length of a straight line through the center of an object from side to side
diameter,width
diary,a daily record
dictionary,a lexicon
dictionary,a vocabulary
die,hazard
diet,a course of food selected with reference to a particular state of health
diet,what is eaten and drunk habitually
difference,unlikeness
dig,a poke
digestion,classification
digestion,reduction to order
digestion,the act or process of digesting
dignity,"high office , political or ecclesiastical"
dignity,preferment
diligence,assiduity in service
dip,direction below a horizontal line
diplomatic,"a minister , official agent , or envoy to a foreign court"
direction,"the act of directing , of aiming , regulating , guiding , or ordering"
director,a manager or superintendent
director,one of a body of persons appointed to manage the affairs of a company or corporation
disadvantage,"unfavorable or prejudicial quality , condition , circumstance , or the like"
disappearance,vanishing
disappointment,defeat or failure of expectation or hope
discharge,"act of relieving of something which oppresses or weighs upon one , as an obligation , liability , debt , accusation , etc"
discharge,explosion
discharge,removal of a load or burden
discharge,the act of relieving of a charge or load
disciple,a learner
discipline,submissiveness to order and control
discipline,training to act in accordance with established rules
discomfort,distress
discourse,the art and manner of speaking and conversing
discovery,disclosure
discovery,revelation
discretion,prudence
discretion,the quality of being discreet
discretion,wariness
disdain,a feeling of contempt and aversion
disdain,scorn
disgrace,"loss of favor , regard , or respect"
disguise,change of manner by drink
disguise,counterfeit semblance or show
disgust,loathing
disgust,repugnance to what is offensive
disk,"a flat , circular plate"
dismay,ruin
dismissal,discharge
disobedience,violation of a command or prohibition
disorder,neglect of order or system
dispatch,any sending away
dispatch,prompt execution
displeasure,disapprobation
displeasure,dislike
displeasure,offense
disposal,management
disposal,"regulation of the fate , condition , application , etc"
disposition,distribution
disposition,nature
disposition,quality
disposition,tendency to any action or state resulting from natural constitution
disposition,"the act of disposing , arranging , ordering , regulating , or transferring"
dispute,verbal controversy
disregard,intentional neglect
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,change from a solid to a fluid state
dissolution,melting
distance,measure of separation in place
distance,"the length of a line , especially the shortest line joining two points or things that are separate"
distinction,discrimination
distinction,exercise of discernment
distinction,regard to differences or distinguishing circumstance
distress,extreme pain or suffering
distress,painful situation
distribution,arrangement of anything into parts
distribution,disposition
distribution,separation into parts or classes
distribution,that which is distributed
distribution,the act of distributing or dispensing
district,a division of territory
district,a tract
distrust,"lack of confidence , faith , or reliance"
diversion,pastime
diversion,play
diversity,dissimilitude
division,the portion separated by the divining of a mass or body
divorce,the decree or writing by which marriage is dissolved
dock,"a genus of plants ( rumex ), some species of which are well - known weeds which have a long taproot and are difficult of extermination"
dock,the part of a tail left after clipping or cutting
dock,the place in court where a criminal or accused person stands
dock,"the solid part of an animal ' s tail , as distinguished from the hair"
dock,the stump of a tail
document,any material substance on which the thoughts of men are represented by any species of conventional mark or symbol
doll,an attractive woman or girl
dollar,a gold coin of the united states containing 23
doll,"a small , usually flexible figure representing a human being , especially a toy baby for a little girl"
domain,estate
dome,a house
dome,"as the upper part of a furnace , the vertical steam chamber on the top of a boiler , etc"
domestic,"one who lives in the family of an other , as hired household assistant"
dominant,the fifth tone of the scale
dominion,the power of governing and controlling
donation,a gift
donkey,an ass
donkey,less frequently ) a mule
doom,"destiny or fate , especially unhappy destiny"
doom,penal decree
dose,anything unpleasant that one is obliged to take
dose,a sufficient quantity
dot,a small portion or specimen
double,a fold
doubt,hesitation
dove,a word of endearment for one regarded as pure and gentle
downfall,a body of things falling
downfall,destruction
dozen,an indefinite small number
dozen,a tale or set of twelve
dragon,"a fabulous animal , generally represented as a monstrous winged serpent or lizard , with a crested head and enormous claws , and regarded as very powerful and ferocious"
drain,a sink
drain,a trench
drama,a series of real events invested with a dramatic unity and interest
draw,draught
drawer,one who draws liquor for guests
drawing,"the act of pulling , or attracting"
drawing,the act or the art of representing any object by means of lines and shades
dread,anticipatory terror
dread,awe
dread,great fear in view of impending evil
dream,a wild conceit
dress,a lady ' s gown
dress,apparel
dressing,"an application ( a remedy , bandage , etc"
dressing,manure or compost over land
drift,course or direction along which anything is driven
drill,a light furrow or channel made to put seed into sowing
drill,"an implement for making holes for sowing seed , and sometimes so formed as to contain seeds and drop them into the hole made"
drill,an instrument with an edged or pointed end used for making holes in hard substances
drill,diligent and strict instruction and exercise in the rudiments and methods of any business
drinking,a carousal
drinking,the act of imbibing
drinking,the act of one who drinks
dripping,"a falling in drops , or the sound so made"
dripping,"that which falls in drops , as fat from meat in roasting"
drive,"in various games , as tennis , cricket , etc"
driver,also one who controls the movements of a any vehicle
drove,a crowd of people in motion
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a drunken condition
duchess,the wife or widow of a duke
duke,"in some european countries , a sovereign prince , without the title of king"
duke,the fists
duration,continuance in time
dusk,a darkish color
duty,service morally obligatory
dwelling,place or house in which a person lives
dynasty,the continued lordship of a race of rulers
earnest,a token of what is to come
earnestness,the state or quality of being earnest
earth,"soil of all kinds , including gravel , clay , loam , and the like"
earth,the globe or planet which we inhabit
earth,"the softer inorganic matter composing part of the surface of the globe , in distinction from the firm rock"
earth,"the solid materials which make up the globe , in distinction from the air or water"
earth,the visible surface of the globe
ease,comfort
ease,naturalness
ebb,decline
ebb,the state or time of passing away
eccentric,an anomalous or irregular person or thing
economy,derly arrangement and management of the internal affairs of a state of any establishment kept up by production and consumption
economy,the system of rules and regulations by which anything is managed
ecstasy,the pulsation and breathing are not affected
ecstasy,the state of being beside one ' s self or rapt out of one ' s self
eddy,a current of water or air moving in a circular direction
edge,intenseness of desire
editorial,an article published as an expression of the views of the editor
education,the act or process of educating
effective,one who is capable of active service
effective,"specie or coin , as distinguished from paper currency"
effect,manifestation
effect,operation
effect,realization
effort,"an exertion of strength or power , whether physical or mental , in performing an act or aiming at an object"
egg,"a simple cell , from the development of which the young of animals are formed"
egg,germ cell
egg,"the oval or roundish body laid by domestic poultry and other birds , tortoises , etc"
eighteen,the number greater by a unit than seventeen
eighteenth,the quotient of a unit divided by eighteen
elder,a senior
elder,a superior in age
elder,one who is older
election,liberty to choose or act
element,also a simple portion of that which is complex as a shaft lever wheel or any simple part in a machine
elevation,a hill
elevation,that which is raised up or elevated
eloquence,"fluent , forcible , elegant , and persuasive speech in public"
embassy,envoys
embassy,the ambassador and his suite
embassy,the person or persons sent as ambassadors or envoys
embassy,the public function of an ambassador
emblem,a figurative representation
emblem,a symbol
emblem,a typical designation
emerald,"a precious stone of a rich green color , a variety of beryl"
eminence,"a place or station above men in general , either in rank , office , or celebrity"
eminence,"a title of honor , especially applied to a cardinal in the roman catholic church"
eminence,preferment
emotion,a moving of the mind or soul
emphasis,"vivid representation , enforcing assent"
empire,dominion
empire,rule
employment,the state of being employed
empress,a female sovereign
empress,the consort of an emperor
enchantment,an influence or power which fascinates or highly delights
enclosure,inclosure
encounter,a combat
encouragement,incentive
encouragement,incitement to action or to practice
end,extremity in general
ending,death
ending,destruction
ending,the part joined to the stem
endurance,sufferance
enemy,a foe
energy,internal or inherent power
energy,power to impress the mind and arouse the feelings
energy,vigorous or effectual operation
engagement,"specifically , a pledge to take some one as husband or wife"
engine,a compound machine by which any physical power is applied to produce a given physical effect
engine,anything used to effect a purpose
enterprise,"willingness or eagerness to engage in labor which requires boldness , promptness , energy , and like qualities"
entertainment,a hospitable repast
entertainment,provision for the table
entertainment,"that which engages the attention agreeably , amuses or diverts , whether in private , as by conversation , etc"
enthusiasm,ardent and imaginative zeal or interest
enthusiasm,elevation of fancy
enthusiasm,exaltation of soul
entity,being
entity,essence
entreaty,pressing solicitation
entry,"a setting down in writing the particulars , as of a transaction"
entry,entrance
entry,that which is entered
envoy,a messenger
epistle,a written communication
epoch,a division of time characterized by the prevalence of similar conditions of the earth
equality,evenness
equality,the condition or quality of being equal
equipment,for carrying on business )
equipment,infantry equipments
equipment,laboratory equipments
equipment,naval equipments
era,a signal stage of history
erection,tension
erection,the act of rousing to excitement or courage
error,falsity
error,iniquity
error,mistake
error,wrong opinion
escape,a sally
escort,a body of armed men to attend a person of distinction for the sake of affording safety when on a journey
escort,"protection , care , or safeguard on a journey or excursion"
establishment,"a form of government , civil or ecclesiastical"
estate,"possessions , especially property in land"
esteem,high estimation or value
esteem,opinion of merit or value
esteem,reckoning
estimation,valuation
eternal,one of the appellations of god
eternity,condition which begins at death
eternity,duration without end in the future
ether,the air itself
ethics,rules of practice in respect to a single class of human actions
etiquette,conventional decorum
even,evening
evening,"properly , the decline of the day , or of the sun"
event,"any incident , good or bad"
everlasting,"a plant whose flowers may be dried without losing their form or color ,"
evidence,any mode of proof
evidence,"that which furnishes , or tends to furnish , proof"
evidence,that which makes evident or manifest
evil,mischief
evil,"moral badness , or the deviation of a moral being from the principles of virtue imposed by conscience , or by the will of the supreme being , or by the principles of a lawful human authority"
exaggeration,"a representation of things beyond natural life , in expression , beauty , power , vigor"
exaltation,elevation
example,one or a portion taken to show the character or quality of the whole
excellence,state of possessing good qualities in an eminent degree
excellence,the quality of being excellent
exception,"an objection , oral or written , taken , in the course of an action , as to bail or security"
exception,"a person , thing , or case , specified as distinct , or not included"
exception,"restriction by taking out something which would otherwise be included , as in a class , statement , rule"
excess,an undue indulgence of the appetite
excess,extravagance
excess,"the being of a measure beyond sufficiency , necessity , or duty"
exclamation,a loud calling or crying out
exclusion,the state of being excluded
execution,a carrying into effect or to completion
execution,the act of executing
exercise,a setting in action or practicing
exercise,habitual activity
exhaustion,the act of emptying completely of the contents
exhaustion,the state of being exhausted or emptied
exhibit,a display
exhibit,"any article , or collection of articles , displayed to view , as in an industrial exhibition"
exhibition,"a display of works of art , or of feats of skill , or of oratorical or dramatic ability"
exile,the person expelled from his country by authority
existence,a creature
existence,continuance in being
exit,a way of departure
exit,egress
expanse,that which is expanded or spread out
expanse,the arch of the sky
expansion,pure space
expectation,the act or state of expecting or looking forward to an event as about to happen
expedition,efficient promptness
expedition,progress
expedition,quickness
expenditure,disbursement
expense,cost
experience,personal acquaintance
explanation,interpretation
explosion,a chemical action which causes the sudden formation of a great volume of expanded gas
exposition,a work containing explanations or interpretations
exposition,explanation
exposure,the state of being exposed or laid open or bare
express,a train or bus that does not stop at certain stations
exquisite,a dandy
exquisite,one who is overnice in dress or ornament
extension,a stretching out
extension,that property of a body by which it occupies a portion of space
extent,bulk
extent,degree
extent,length
extent,superficies
external,"that which makes a show , rather than that which is intrinsic"
extract,that which is extracted or drawn out
extra,"something in addition to what is due , expected , or customary"
extravagance,"an excursion or sally from the usual way , course , or limit"
extravagance,"the state of being extravagant , wild , or prodigal beyond bounds of propriety or duty"
extravagant,one who is confined to no general rule
extreme,that part which terminates a body
extremity,the utmost point
eye,a brood
fabric,building
fabric,make
fabric,the manner in which the parts of a thing are united
face,the front or upper part or surface
face,the principal flat surface of a part or object
facility,dexterity
facility,ease
facing,an exterior covering or sheathing
fact,an act
faction,dissension
factor,a commission merchant or consignee
factor,a contributory cause
factor,"one of the elements , circumstances , or influences which contribute to produce a result"
factor,one who transacts business for another
faculty,dispensation
faculty,license
faculty,special mental endowment
failure,a failing
failure,nonperformance
falsehood,error
falsehood,want of truth or accuracy
familiarity,freedom from ceremony and constraint
familiarity,liberties
familiarity,the state of being familiar
family,"the group comprising a husband and wife and their dependent children , constituting a fundamental unit in the organization of society"
famine,general scarcity of food
fan,"an instrument for cooling the person , made of feathers , paper , silk , etc"
fan,"any revolving vane or vanes used for producing currents of air , in winnowing grain , blowing a fire , ventilation , etc"
fancy,conceit
fancy,the power of combining and modifying such objects into new pictures or images
fancy,"the power of readily and happily creating and recalling such objects for the purpose of amusement , wit , or embellishment"
far,"a young pig , or a litter of pigs"
farce,forcemeat
fare,cheer
fare,condition or state of things
fare,entertainment
fare,food
fare,hap
fare,provisions for the table
farm,a district of country leased ( or farmed ) out for the collection of the revenues of government
farm,"any tract of land devoted to agricultural purposes , under the management of a tenant or the owner"
farmer,a husbandman
farmer,one who cultivates a farm
fascination,enchantment
fascination,the exercise of a powerful or irresistible influence on the affections or passions
fascination,witchcraft
fashionable,a person who conforms to the fashions
fashion,good breeding
fashion,"particularly , the mode or style usual among persons of good breeding"
fashion,"the prevailing mode or style , especially of dress"
fashion,"the style , shape , appearance , or mode of structure"
fast,naut a mooring rope hawser or chain
fast,that which fastens or holds
fate,death
fate,the element of chance in the affairs of life
father,a male parent
fathom,the space to which a man can extend his arms
fatigue,the weakening of a metal when subjected to repeated vibrations or strains
fatigue,toil
fault,a deviation from propriety
fault,a moral failing
favorite,one preferred above others
favorite,the competitor ( as a horse in a race ) that is judged most likely to win
fear,the trembling and awful reverence felt toward the supreme being
feat,a deed
feature,the whole turn or style of the body
feed,a grazing or pasture ground
feeding,food
feel,impression made upon one who touches or handles
fee,payment for professional services of optional amount or fixed by custom or laws
fee,perquisite
fee,possession
fee,property
fee,tenure
fee,the land so held
felicity,a pleasing faculty or accomplishment
fell,a moor
fellow,a comrade
fellow,an ignoble or mean man
fellowship,partnership
female,a plant which produces only that kind of reproductive organs which are capable of developing into fruit after impregnation or fertilization
fence,a defense
fence,"an inclosure about a field or other space , or about any object"
fertility,productiveness
fiction,"that which is feigned , invented , or imagined"
field,a piece of land of considerable size
field,cultivated ground
fifteen,the sum of five and ten
fifth,the dominant of any key
fight,a struggle or contest of any kind
figure,shape
file,"an orderly collection of papers , arranged in sequence or classified for preservation and reference"
file,"the line , wire , or other contrivance , by which papers are put and kept in order"
fill,the place which is to be filled
filth,corruption
filth,foul matter
finance,often used in the plural for funds
finance,revenue
find,a discovery of anything valuable
finding,"as tools , trimmings , etc"
finding,a verdict
finding,"plural ), that which a journeyman artisan finds or provides for himself"
finding,provision
finding,support
finding,"that which is found , come upon , or provided"
finger,"as , the pointer of a clock , watch , or other registering machine"
fireplace,the part a chimney appropriated to the fire
fire,the burning of a house or town
firmament,the region of the air
fiscal,the attorney - general
fisherman,one whose occupation is to catch fish
fist,the hand with the fingers doubled into the palm
fit,adjustment
fit,a paroxysm
fit,"in general , an attack of disease"
fix,dilemma
fixing,arrangements
fixing,the act or process of making fixed
flag,that which flags or hangs down loosely
flame,a blaze
flame,burning zeal or passion
flame,darting or streaming fire
flame,glowing imagination
flank,"the side of an army , or of any division of an army , as of a brigade , regiment , or battalion"
flannel,"a soft , nappy , woolen cloth , of loose texture"
flash,"a sudden and brilliant burst , as of wit or genius"
flash,a sudden burst of light
flashing,"pieces of metal , built into the joints of a wall , so as to lap over the edge of the gutters or to cover the edge of the roofing"
flask,"a narrow - necked vessel of metal or glass , used for various purposes"
flask,"of glass , to heat water in , etc"
flask,"sometimes , the cheeks , or middle part"
flat,"a level tract lying at little depth below the surface of water , or alternately covered and left bare by the tide"
flattery,"false , insincere , or excessive praise"
flavor,savor
flavor,that quality of anything which affects the smell
fleet,a flood
flesh,the body of beasts and birds used as food as distinguished from fish
fling,a flounce
fling,a kind of dance
flood,a deluge
flood,an overflowing
flourish,beauty
flourish,show
flowering,"the act of blossoming , or the season when plants blossom"
flower,"the showy portion , usually of a different color , shape , and texture from the foliage"
flush,any tinge of red color like that produced on the cheeks by a sudden rush of blood
flute,a channel of curved section
flutter,quick and irregular motion
fly,any dipterous insect
foam,froth
foe,an adversary
foe,an enemy
foe,an enemy in war
fog,a second growth of grass
fog,cloudiness or partial opacity of those parts of a developed film or a photograph which should be clear
fold,"figuratively , the church or a church"
folding,a fold
fold,times or repetitions
folio,a book made of sheets of paper each folded once ( four pages to the sheet )
folio,a book of the largest kind
folio,a leaf of a book or manuscript
folly,the state of being foolish
folly,want of good sense
folly,weak or light - minded conduct
fond,"fund , stock , or store"
food,"that which goes to support life by being received within , and assimilated by , the organism of an animal or a plant"
fool,a natural
fool,one without judgment
footing,established place
foot,the muscular locomotive organ of a mollusk
foot,the terminal part of the leg of man or an animal
force,a body of men prepared for action in other ways
force,strength or power for war
force,troops
force,vigor
forefinger,the index finger
forehead,assurance
forehead,the front or fore part of anything
foresight,provident care
forest,"in the united states , a wood of native growth , or a tract of woodland which has never been cultivated"
forfeit,a fine
forgiveness,the state of being forgiven
fork,"a barbed point , as of an arrow"
formation,construction
formation,the act of giving form or shape to anything
formation,the manner in which a thing is formed
form,constitution
former,a creator
formula,a prescribed or set form
fortitude,resolute endurance
fortnight,the space of fourteen days
fortune,accident
fortune,prosperity as reached partly by chance and partly by effort
foul,"a collision , as in a boat race"
foul,an entanglement
foundation,"the act of founding , fixing , establishing , or beginning to erect"
foundation,"the lowest and supporting part or member of a wall , including the base course ( see base course , under base n"
founder,"a lameness in the foot of a horse , occasioned by inflammation"
fountain,the structure or works in which such a jet or stream rises or flows
fourteen,the sum of ten and four
fourteenth,one next after the thirteenth in a series
fraction,an expression for a definite portion of a unit or magnitude
fraction,one or more aliquot parts of a unit or whole number
frame,anything composed of parts fitted and united together
frank,a european
frank,a native or inhabitant of western europe
frankness,candor
frankness,fairness
fraud,deception deliberately practiced with a view to gaining an unlawful or unfair advantage
freedom,independence
freedom,the state of being free
friend,"one who entertains for another such sentiments of esteem , respect , and affection that he seeks his society and welfare"
fright,"anything strange , ugly or shocking , producing a feeling of alarm or aversion"
fringe,a border
frock,"a coarse gown worn by monks or friars , and supposed to take the place of all , or nearly all , other garments"
front,"an attitude and demeanor intended to represent one ' s feelings , even if not actually felt"
frontier,the marches
front,"the forehead or brow , the part of the face above the eyes"
frost,congelation of fluids
frost,severe cold or freezing weather
fruit,"the pulpy , edible seed vessels of certain plants , especially those grown on branches above ground , as apples , oranges , grapes , melons , berries , etc"
fuel,any matter used to produce heat by burning
fugitive,"one who flees from pursuit , danger , restraint , service , duty , etc"
full,complete measure
fuller,one whose occupation is to full cloth
function,performance
fund,"evidences ( stocks or bonds ) of money lent to government , for which interest is paid at prescribed intervals"
funeral,burial
funeral,the procession attending the burial of the dead
fun,frolicsome amusement
furniture,the masts and rigging of a ship
fury,overmastering agitation or enthusiasm
fury,violent or extreme excitement
fuss,a bustle
gain,"that which is gained , obtained , or acquired , as increase , profit , advantage , or benefit"
gait,a march
gait,a walk
gale,a strong current of air
gallant,"a gay , fashionable man"
gallant,one fond of paying attention to ladies
gang,a set
gap,an opening for a passage or entrance
garb,"a sheaf of grain ( wheat , unless otherwise specified )"
garb,clothing in general
gasp,the act of opening the mouth convulsively to catch the breath
gathering,an assembly
gather,the inclination forward of the axle journals to keep the wheels from working outward
gaze,a fixed look
gaze,"a look of eagerness , wonder , or admiration"
gear,garments
gear,goods
gear,household stuff
general,"the commander of an army , of a body of men not less than a brigade"
generation,formation
generation,production
genesis,same as generation
genesis,the first book of the old testament
geneva,holland gin
genius,a supernatural being
genius,"special taste , inclination , or disposition"
gentleman,a well - bred man
gentleman,one above the condition of a yeoman
gentleness,"softness of manners , disposition , etc"
gentry,people of education and good breeding
germ,that which is to develop a new individual
gesture,a motion of the body or limbs expressive of sentiment or passion
gesture,"any action or posture intended to express an idea or a passion , or to enforce or emphasize an argument , assertion , or opinion"
getting,profit
ghost,a false image formed in a telescope by reflection from the surfaces of one or more lenses
ghost,a glimmering
ghost,the disembodied soul
gin,a whim
girl,a young maiden
giving,the act of bestowing as a gift
gladness,pleasure
gladness,state or quality of being glad
glare,"a fierce , piercing look or stare"
glide,"a transitional sound in speech which is produced by the changing of the mouth organs from one definite position to another , and with gradual change in the most frequent cases"
glimmer,"a faint , unsteady light"
globe,"a round or spherical body , solid or hollow"
globe,the earth
gloom,"a shady , gloomy , or dark place or grove"
gloom,aspect of sorrow
gloom,cloudiness or heaviness of mind
god,a divinity
going,departure
going,pregnancy
gold,money
gorge,the canal by which food passes to the stomach
gospel,"a selection from one of the gospels , for use in a religious service"
gossip,a godfather or a godmother
gossip,an idle tattler
gout,a drop
government,control
government,the mode of governing
governor,one who governs
gown,the dress of peace
grade,relative position or standing
grain,"the fruit of certain grasses which furnish the chief food of man , as corn , wheat , rye , oats , etc"
grammar,a book containing the principles and rules for correctness in speaking or writing
grammar,a treatise on the principles of language
grandeur,magnificence
grant,a boon
grass,pasture
gratification,a gratuity
gratification,a recompense
gratification,"the act of gratifying , or pleasing , either the mind , the taste , or the appetite"
gratitude,kindness awakened by a favor received
grave,a sepulcher
gravity,sobriety of character or demeanor
gravity,the state of having weight
gray,a neutral or whitish tint
gray,any mixture of white and black
green,fresh leaves or branches of trees or other plants
grief,grievance
grind,a dig
grip,an energetic or tenacious grasp
grip,"a peculiar mode of clasping the hand , by which members of a secret association recognize or greet , one another"
grip,that by which anything is grasped
gross,"the chief part , bulk , or mass"
grotesque,artificial grotto - work
ground,a floor or pavement supposed to rest upon the earth
ground,"the outer crust of the globe , or some indefinite portion of it"
growl,a grumbling sound
growl,"the deep , threatening sound made by a surly dog"
growth,anything produced
growth,effect
growth,production
growth,result
grudge,sullen malice or malevolence
guarantee,a warranty
guarantee,the person to whom a guaranty is made
guardian,a warden
guard,one who has charge of a mail coach or a railway train
guess,a conjecture
guest,any insect that lives in the nest of another without compulsion and usually not as a parasite
guest,a visitor
guidance,the superintendence or assistance of a guide
guide,a conductor
guide,"one who , or that which , directs another in his conduct or course of life"
guide,that which guides
guilt,a recognition of one ' s own responsibility for doing something wrong
guilt,crime
guilt,criminality
guilt,offense against right
guise,mien
guise,mode
gulf,"a deep chasm or basin ,"
gum,a rubber overshoe
gunpowder,"a black , granular , explosive substance , consisting of an intimate mechanical mixture of saltpeter , charcoal , and sulphur"
guy,"a rod or rope attached to the top of a structure , as of a derrick , and extending obliquely to the ground , where it is fastened"
guy,as : a rope to steady or guide an object which is being hoisted or lowered
habitation,residence
habit,practice
hail,a salutation
hall,"a vestibule , entrance room , etc"
halt,lameness
handful,"a person , task , or situation , which is the most that one can manage"
handful,a small quantity or number
handful,as much as the hand will grasp or contain
handling,"the mode of using the pencil or brush , etc"
handwriting,that which is written by hand
hanging,death by suspension
hanging,execution by a halter
hanging,the act of suspending anything
hang,plan
happiness,fortuitous elegance
happiness,joyful satisfaction
harbor,a mixing box for materials
harbor,a place of security and comfort
harbor,"a portion of a sea , a lake , or other large body of water , either landlocked or artificially protected so as to be a place of safety for vessels in stormy weather"
harbor,a station for rest and entertainment
hard,a ford or passage across a river or swamp
hardness,"the quality or state of being hard , literally or figuratively"
hardship,"that which is hard to bear , as toil , privation , injury , injustice , etc"
hardware,"the sum of all the physical objects , such as the electrical , mechanical , and electronic devices which comprise a computer system"
harmony,peace and friendship
harmony,such an agreement between the different parts of a design or composition as to produce unity of effect
harp,a constellation
harvest,the gathering of a crop of any kind
harvest,the season of gathering grain and fruits late summer or early autumn
haste,dispatch
haste,expedition
haste,swiftness
hazard,accident
haze,"light vapor or smoke in the air which more or less impedes vision , with little or no dampness"
header,a brick or stone laid with its shorter face or head in the surface of the wall
heading,that which stands at the head
head,"often , also , the larger , thicker , or heavier part or extremity , in distinction from the smaller or thinner part , or from the point or edge"
head,poll
health,the state of being free from physical disease or pain
hearing,"a listening to facts and evidence , for the sake of adjudication"
hearing,audience
hearing,opportunity to be heard
hearth,a corresponding part of a stove
hearth,the floor of a fireplace
heart,"the center of activity , or of energetic or efficient action"
heart,the inmost or most essential part of any body or system
heart,the seat of moral life and character
heat,"a force in nature which is recognized in various effects , but especially in the phenomena of fusion and evaporation , and which , as manifested in fire , the sun ' s rays , mechanical action , chemical combination , etc"
heathen,an idolater
heat,"high temperature , as distinguished from low temperature , or cold"
heed,careful consideration
heel,"the hinder part of any covering for the foot , as of a shoe , sock , etc"
height,an eminence
hell,the place or state of punishment for the wicked after death
helmet,a defensive covering for the head
helm,"the apparatus by which a ship is steered , comprising rudder , tiller , wheel , etc"
help,a helper
help,the person or thing furnishing the aid
hen,the female of the domestic fowl
herald,"an officer whose business was to denounce or proclaim war , to challenge to battle , to proclaim peace , and to bear messages from the commander of an army"
herb,"a plant whose stem does not become woody and permanent , but dies , at least down to the ground , after flowering"
hero,"an illustrious man , supposed to be exalted , after death , to a place among the gods"
hide,"the skin of an animal , either raw or dressed"
hiding,concealment
high,a superior region
hill,"a natural elevation of land , or a mass of earth rising above the common level of the surrounding land"
hill,an eminence less than a mountain
hill,the earth raised about the roots of a plant or cluster of plants
hint,insinuation
hire,rent
hire,wages
historian,a writer of history
history,a narrative
history,"a true story , as distinguished from a romance"
hit,"a performance , as a musical recording , movie , or play , which achieved great popularity or acclaim"
hit,a striking against
holder,"one who holds land , etc"
hold,grip
hole,a perforation
hole,a rent
holiday,a day of exemption from labor
holiness,"the state of being hallowed , or consecrated to god or to his worship"
hollow,"a cavity , natural or artificial"
hollow,a channel
hollow,a depressed part of a surface
hollow,an excavation
homage,obeisance
homage,reverential worship
honey,sweet one
honor,esteem due or paid to worth
honor,nobleness
honor,purity
honor,respect
hood,"a soft covering for the head , worn by women , which leaves only the face exposed"
horror,"a shaking , shivering , or shuddering , as in the cold fit which precedes a fever"
horror,dreariness
horror,the feeling inspired by something frightful and shocking
horseman,one skilled in the management of horses
horse,mounted soldiery
hospital,"a public or private institution founded for reception and cure , or for the refuge , of persons diseased in body or mind , or disabled , infirm , or dependent , and in which they are treated either at their own expense , or more often by charity in whole or in part"
host,a landlord
hostility,public or private enemy
hostility,state of being hostile
hound,a despicable person
hour,fixed or appointed time
hour,the twenty - fourth part of a day
household,those who dwell under the same roof and compose a family
housekeeper,a householder
housekeeper,"often , a woman hired to superintend the servants of a household and manage the ordinary domestic affairs"
housekeeper,the master or mistress of a family
hue,a primary color modified by combination with others
hue,color or shade of color
hue,dye
humanity,"the peculiar nature of man , by which he is distinguished from other beings"
humility,humbleness
humming,a sound like that made by bees
humor,disposition
hum,"the confused noise of a crowd or of machinery , etc"
hundred,"a collection or sum , consisting of ten times ten units or objects"
hunter,a horse used in the chase
hunter,a hunting dog
hunter,a huntsman
hunter,one who hunts wild animals either for sport or for food
hunting,the pursuit of game or of wild animals
hunt,pursuit
hurry,urgency
husband,a man who has a wife
hut,a mean lodge or dwelling
hymn,an ode or song of praise or adoration
hypothesis,"a proposition or principle which is supposed or taken for granted , in order to draw a conclusion or inference for proof of the point in question"
ice,concreted sugar
ice,water or other fluid frozen or reduced to the solid state by cold
identification,the state of being identified
identity,sameness
identity,"the state or quality of being identical , or the same"
idiot,a natural fool
idiot,a simpleton
idol,a fallacy
idol,a false notion or conception
idol,an object of passionate devotion
idolatry,"the worship of idols , images , or anything which is not god"
ignorance,the condition of being ignorant
illness,indisposition
illness,wrong moral conduct
illumination,festive decoration of houses or buildings with lights
illusion,enchantment
illustration,"a comparison or example intended to make clear or apprehensible , or to remove obscurity"
illustration,a picture designed to decorate a volume or elucidate a literary work
ill,wickedness
ill,wrong
image,a copy
image,an effigy
imitation,one of the principal means of securing unity and consistency in polyphonic composition
impatience,"lack of endurance of pain , suffering , opposition , or delay"
imperial,a luggage case on the top of a coach
importance,weight
import,consequence
import,"merchandise imported , or brought into a country from without its boundaries"
impossibility,an impossible thing
