abandon,freedom from artificial constraint
couple,a pair
courage,resolution
courier,"a messenger sent with haste to convey letters or dispatches , usually on public business"
course,track
court,"an uncovered area shut in by the walls of a building , or by different building"
courtesy,"favor or indulgence , as distinguished from right"
courtyard,a court or inclosure attached to a house
cousin,the son or daughter of an uncle or aunt
covenant,"the promises of god as revealed in the scriptures , conditioned on certain terms on the part of man , as obedience , repentance , faith , etc"
covering,"anything which covers or conceals , as a roof , a screen , a wrapper , clothing , etc"
cover,protection
cowardice,base fear of danger or hurt
cow,the mature female of bovine animals
crack,"a sharp , sudden sound or report"
cradle,"an implement consisting of a broad scythe for cutting grain , with a set of long fingers parallel to the scythe , designed to receive the grain , and to lay it evenly in a swath"
craft,"cunning , art , or skill , in a bad sense , or applied to bad purposes"
crash,"sudden breaking down , as of a business house or a commercial enterprise"
craving,beseeching
crawl,"slow motion , as of a creeping animal"
cream,a cosmetic
creation,the act of creating or causing to exist
creature,an instrument
credit,belief
creed,any summary of principles or opinions professed or adhered to
creek,any turn or winding
creep,"a distressing sensation , or sound , like that occasioned by the creeping of insects"
crest,"the plume of feathers , or other decoration , worn on a helmet"
crew,a gang
crime,iniquity
criminal,one who is found guilty by verdict confession or proof
crimson,red color in general
crisis,"sometimes , also , a striking change of symptoms attended by an outward manifestation , as by an eruption or sweat"
crisp,crackling
criticism,a critique
crop,fruit
cross,disappointment
crossing,the act by which anything is crossed
crow,a bar of iron used as a lever
crowd,the populace
crown,"a wreath or garland , or any ornamental fillet encircling the head , especially as a reward of victory or mark of honorable distinction"
cruelty,a disposition to give unnecessary pain or suffering to others
cruise,"a voyage aboard a ship , in which the activities on the ship itself form a major objective of the voyage"
crush,a violent collision or compression
crust,an incrustation
cry,popular demand
crystal,"the regular form which a substance tends to assume in solidifying , through the inherent power of cohesive attraction"
cultivation,the state of being cultivated
culture,enlightenment and discipline acquired by mental and moral training
cunning,deceit
cupboard,"a small closet in a room , with shelves to receive cups , dishes , food , etc"
cup,the contents of such a vessel
curate,one who has the cure of souls
curb,a ring of stone serving a similar purpose as at the eye of a dome
cure,a method of medical treatment
curiosity,inquisitiveness
curl,"a disease in potatoes , in which the leaves , at their first appearance , seem curled and shrunken"
curling,the act or process of one who curls something as hair or the brim of hats
currency,the rate at which anything is generally valued
current,progressive and connected movement
curse,"subjection to , or sentence of , divine condemnation"
curtain,drapery of cloth or lace hanging round a bed or at a window
curve,"a line described according to some low , and having no finite portion of it a straight line"
cushion,a soft pillow or pad
custody,confinement
customary,"a book containing laws and usages , or customs"
custom,dinary manner
customer,a buyer
cut,"personal discourtesy , as neglecting to recognize an acquaintance when meeting him"
cutting,something cut out of a newspaper
cylinder,the chamber of a steam engine in which the piston is moved by the force of steam
dad,father
dagger,a timber placed diagonally in a ship ' s frame
daily,a publication which appears regularly every day
dainty,that which is delicious or delicate
damage,"a compensation , recompense , or satisfaction to one party , for a wrong or injury actually done to him by another"
dam,a king or crowned piece in the game of draughts
dame,a woman in authority
damp,cloud of the mind
damsel,a girl
dance,"the leaping , tripping , or measured stepping of one who dances"
danger,peril
daring,boldness
dark,absence of light
darkness,wickedness
dart,any sharp - pointed missile weapon as an arrow
dash,frustration
date,a given point of time
daughter,a female descendant
dawn,rise
daylight,"the light of the sun , as opposed to that of the moon or to artificial light"
day,sunshine
dead,the most quiet or deathlike time
dealer,one who deals
dealing,the act of one who deals
deal,the portion disturbed
dean,an ecclesiastical dignitary subordinate to a bishop
dear,sweetheart
death,manner of dying
debate,controversy
debt,obligation
deceit,a contrivance to entrap
decency,becoming ceremony
deception,fraud
decision,prompt and fixed determination
deck,the roof of a passenger car
declaration,the document or instrument containing such statement or proclamation
decline,diminution or decay
decoration,"specifically , any mark of honor to be worn upon the person , as a medal , cross , or ribbon of an order of knighthood , bestowed for services in war , great achievements in literature , art , etc"
decree,a determination by one having power deciding what is to be done or to take place
deed,fact
deep,an abyss
defeat,repulse suffered
defect,blemish
defective,one who is lacking physically or mentally
defense,protecting plea
defensive,a safeguard
deference,a yielding of judgment or preference from respect to the wishes or opinion of another
defiance,willingness to flight
deficiency,shortcoming
definition,act of ascertaining and explaining the signification
degradation,"the act of reducing in rank , character , or reputation , or of abasing"
degree,quality
deity,divinity
delay,detention
deliberation,mature reflection
delicacy,agreeableness to the senses
delight,lively pleasure
delirium,mental aberration
delivery,the act of delivering from restraint
demand,question
democracy,a constitutional representative government
demon,a tutelary spirit or internal voice
demonstration,an exhibition
den,any snug or close retreat where one goes to be alone
denial,negation
department,province
departure,"deviation or abandonment , as from or of a rule or course of action , a plan , or a purpose"
dependence,the act or state of depending
dependent,that which depends
deposit,matter precipitated from a solution ( as the siliceous deposits of hot springs ) or that which is mechanically deposited ( as the mud gravel etc
depression,a sinking below its true place
depth,"perpendicular measurement downward from the surface , or horizontal measurement backward from the front"
deputy,a delegate
derision,scornful or contemptuous treatment which holds one up to ridicule
derivative,anything obtained or deduced from another
descendant,"one who descends , as offspring , however remotely"
descent,change of place from higher to lower
description,an enumeration of the essential qualities of a thing or species
desert,"a barren tract incapable of supporting population , as the vast sand plains of asia and africa which are destitute of moisture and vegetation"
desertion,the quitting of one ' s duties willfully and without right
deserving,merit
design,"specifically , intention or purpose as revealed or inferred from the adaptation of means to an end"
desire,an expressed wish
desk,"especially in the united states ), a pulpit"
desolation,solitariness
despair,loss of hope
despatch,same as dispatch
desperation,abandonment of hope
despotism,absolutism
destination,place or point aimed at
destiny,invincible necessity
destruction,a bringing to naught
destructive,one who destroys
detachment,abstraction from worldly objects
detail,a particular
detective,one who business it is so detect criminals or discover matters of secrecy
determination,impulsion
deuce,a card or a die with two spots
development,the result of developing or a developed state
device,a stratagem
devil,a demon
devise,"property devised , or given by will"
devotion,feelings toward god appropriately expressed by acts of worship
dew,"an emblem of morning , or fresh vigor"
dexterity,readiness and grace in physical activity
dialect,language
dialogue,a conversation between two or more persons
diameter,thickness
diamond,"a precious stone or gem excelling in brilliancy and beautiful play of prismatic colors , and remarkable for extreme hardness"
diary,a blank book dated for the record of daily memoranda
dice,small cubes used in gaming or in determining by chance
dictate,an order
dictionary,a vocabulary
die,"a small cube , marked on its faces with spots from one to six , and used in playing games by being shaken in a box and thrown from it"
diet,food
difference,that which distinguishes or causes to differ
dig,a poke
digestion,reduction to order
digest,that which is digested
dignity,grandeur
diligence,"process by which persons , lands , or effects are seized for debt"
din,clamor
dining,from dine a
dinner,"the principal meal of the day , eaten in some countries about midday , but in others ( especially in the u"
dip,inclination downward
diplomacy,"the art and practice of conducting negotiations between nations ( particularly in securing treaties ), including the methods and forms usually employed"
diplomatic,"a minister , official agent , or envoy to a foreign court"
direction,guidance
director,a part of a machine or instrument which directs its motion or action
dirt,"in placer mining , earth , gravel , etc"
disadvantage,deprivation of advantage
disappearance,the act of disappearing
disappointment,frustration
disaster,a serious mishap
discharge,letting off
disciple,a follower who has learned to believe in the truth of the doctrine of his teacher
discipline,"training , whether physical , mental , or moral"
disclaimer,"a denial , disavowal , or renunciation , as of a title , claim , interest , estate , or trust"
discomfort,want of comfort
discontent,dissatisfaction
discord,disagreement
discourse,speech
discovery,a making known
discretion,circumspection
discrimination,"the act of discriminating , distinguishing , or noting and marking differences"
discussion,debate
disdain,scorn
disease,malady
disgrace,shame
disguise,a dress or exterior put on for purposes of concealment or of deception
disgust,aversion or displeasure produced by something loathsome
dish,"a vessel , as a platter , a plate , a bowl , used for serving up food at the table"
disk,"a flat , circular plate"
dislike,repugnance
dismay,loss of courage and firmness through fear
dismissal,discharge
disobedience,violation of a command or prohibition
disorder,disturbance of the peace of society
dispatch,"speedy performance , as of business"
display,manifestation
displeasure,disapprobation
disposal,derly distribution
disposition,der
dispute,debate
disregard,want of attention
dissatisfaction,"uneasiness proceeding from the want of gratification , or from disappointed wishes and expectations"
dissolution,liquefaction
distance,"the length of a line , especially the shortest line joining two points or things that are separate"
distinction,distinguishing quality
distress,extreme pain or suffering
distribution,that which is distributed
district,a division of territory
distrust,"doubt of sufficiency , reality , or sincerity"
disturbance,perplexity
ditch,"any long , narrow receptacle for water on the surface of the earth"
diversion,sport
diversity,variety
divide,called watershed and water parting
divine,one skilled in divinity
divinity,the nature or essence of god
division,a distinct segment or section
divorce,the decree or writing by which marriage is dissolved
dock,"the slip or water way extending between two piers or projecting wharves , for the reception of ships"
doctor,"an academical title , originally meaning a man so well versed in his department as to be qualified to teach it"
doctrine,any tenet or dogma
document,"an original or official paper relied upon as the basis , proof , or support of anything else"
doe,a female deer or antelope
dog,a fellow
doll,an attractive woman or girl
dollar,a gold coin of the united states containing 23
domain,dominion
dome,a house
domestic,a house servant
dominant,the fifth tone of the scale
dominion,the power of governing and controlling
donation,that which is given as a present
donkey,an ass
don,sir
doom,ruin
door,means of approach or access
doorway,the passage of a door
dose,a sufficient quantity
dot,a marriage portion
double,a doubling
doubt,uncertainty of judgment or mind
dough,anything of the consistency of such paste
dove,a word of endearment for one regarded as pure and gentle
downfall,ruin
dozen,a collection of twelve objects
draft,the act of drawing
drag,a kind of low car or handcart
dragon,"a fierce , violent person , especially a woman"
drain,gradual and continuous outflow or withdrawal
drama,a series of real events invested with a dramatic unity and interest
drawer,a waiter in a taproom
drawing,such a representation when in one color or in tints used not to represent the colors of natural objects but for effect only and produced with hard material such as pencil chalk etc
draw,the act of drawing a lot or chance
dread,fearful apprehension of danger
dream,a sleeping vision
dress,habit
dressing,"an application ( a remedy , bandage , etc"
drift,the force which impels or drives
drill,"the act or exercise of training soldiers in the military art , as in the manual of arms , in the execution of evolutions , and the like"
drinking,the act of one who drinks
drink,"specifically , intoxicating liquor"
dripping,"a falling in drops , or the sound so made"
driver,the person who drives beasts or a carriage
drive,"the flight of the ball , etc"
driving,the act of forcing or urging something along
drop,a minim
dropping,falling
drove,"a number of animals , as oxen , sheep , or swine , driven in a body"
drug,"any commodity that lies on hand , or is not salable"
drum,of a metallic hemisphere ( kettledrum ) with a single piece of skin to be so beaten
drunk,a drunken condition
drunkenness,intoxication
duchess,the wife or widow of a duke
duck,the light clothes worn by sailors in hot climates
duel,"a combat between two persons , fought with deadly weapons , by agreement"
due,right
dug,"a teat , pap , or nipple"
duke,"in some european countries , a sovereign prince , without the title of king"
duration,the state or quality of lasting
dusk,a middle degree between light and darkness
dust,fine powder
duty,any assigned service or business
dwarf,"a diminutive human being , small in stature due to a pathological condition which causes a distortion of the proportions of body parts to each other , such as the limbs , torso , and head"
dwelling,habitation
dye,a dyestuff
dying,passage from life to death
dynasty,sovereignty
eagerness,ardent desire
eagle,"a gold coin of the united states , of the value of ten dollars"
earl,"a nobleman of england ranking below a marquis , and above a viscount"
earnestness,the state or quality of being earnest
earnest,seriousness
ear,the perception of sounds
earthquake,"a shaking , trembling , or concussion of the earth , due to subterranean causes , often accompanied by a rumbling noise"
earth,"sometimes , soil favorable to the growth of plants"
ease,liberty
east,the eastern parts of the earth
eating,the act of consuming or corroding
ebb,decline
eccentric,an anomalous or irregular person or thing
echo,"a wood or mountain nymph , regarded as repeating , and causing the reverberation of them"
economy,the management of domestic affairs
ecstasy,the state of being beside one ' s self or rapt out of one ' s self
eddy,a whirlpool
edge,any sharp terminating border
edifice,a structure
edition,the whole number of copies of a work printed and published at one time
editorial,a leading article in a newspaper or magazine
editor,one who edits
education,"the result of educating , as determined by the knowledge skill , or discipline of character , acquired"
effect,in general : that which is produced by an agent or cause
effective,a cause
efficient,a prime mover
effort,more or less strenuous endeavor
egg,"the oval or roundish body laid by domestic poultry and other birds , tortoises , etc"
eighteen,the number greater by a unit than seventeen
eighteenth,one of eighteen equal parts or divisions
eighth,the interval of an octave
eight,the number greater by a unit than seven
eighty,the sum of eight times ten
elbow,a sharp angle in any surface of wainscoting or other woodwork
elder,"a person who , on account of his age , occupies the office of ruler or judge"
election,free will
elect,those who are chosen for salvation
elegance,that which is tasteful and highly attractive
element,one of the essential ingredients of any mixture
elevation,an elevated place or station
eleven,the sum of ten and one
eleventh,the interval consisting of ten conjunct degrees
eloquence,"fluent , forcible , elegant , and persuasive speech in public"
embassy,a public message to
emblem,"a picture accompanied with a motto , a set of verse , or the like , intended as a moral lesson or meditation"
embrace,hug
embroidery,variegated decoration
emerald,"a precious stone of a rich green color , a variety of beryl"
emergency,sudden or unexpected appearance
eminence,distinction
emotion,"excitement of the feelings , whether pleasing or painful"
emperor,the sovereign or supreme monarch of an empire
emphasis,a peculiar impressiveness of expression or weight of thought
empire,any dominion
employee,one employed by another
employer,one who employs another
employ,fixed or regular service or business
employment,that which engages or occupies
empress,the consort of an emperor
encampment,"the act of pitching tents or forming huts , as by an army or traveling company , for temporary lodging or rest"
enchantment,the act of enchanting
enclosure,inclosure
encounter,a meeting face to face
encouragement,the act of encouraging
endeavor,a trial
ending,concluding part
end,termination of being
endurance,continuance
enemy,one hostile to another
energy,power to impress the mind and arouse the feelings
engagement,"specifically , a pledge to take some one as husband or wife"
engine,any device or contrivance
engineer,an efficient manager
enjoyment,"pleasure or satisfaction , as in the possession or occupancy of anything"
enmity,hostility
enterprise,that which is undertaken
entertainment,hospitable provision for the wants of a guest
enthusiasm,elevation of fancy
entire,a name originally given to a kind of beer combining qualities of different kinds of beer
entity,essence
entrance,"liberty , power , or permission to enter"
entreaty,the act of entreating or beseeching
entry,entrance
envelope,an inclosing cover
environment,that which environs or surrounds
envoy,a messenger
envy,"chagrin , mortification , discontent , or uneasiness at the sight of another ' s excellence or good fortune , accompanied with some degree of hatred and a desire to possess equal advantages"
episode,"an incidental narrative , or digression , separable from the main subject , but naturally arising from it"
epistle,a written communication
epoch,"a period of time , longer or shorter , remarkable for events of great subsequent influence"
equality,agreement in quantity or degree as compared
equal,"one having the same or a similar age , rank , station , office , talents , strength , or other quality or condition"
equilibrium,equipoise
equipment,necessaries for an expedition or voyage
equivalent,"a combining unit , whether an atom , a radical , or a molecule"
era,an epoch
erection,the act of rousing to excitement or courage
errand,something to be told or done by one sent somewhere for the purpose
error,a wandering or deviation from the right course or standard
escape,deliverance from injury or any evil
escort,"protection , care , or safeguard on a journey or excursion"
essay,attempt
essence,constituent substance
essential,first or constituent principle
establishment,a ratifying or ordaining
estate,condition or circumstances of life or of any person
esteem,opinion of merit or value
estimate,rough or approximate calculation
estimation,valuation
eternal,that which is endless and immortal
eternity,"infinite duration , without beginning in the past or end in the future"
ether,"the modern use of the term is mostly a figurative term for empty space , or for literary effect , and not intended to imply the actual existence of a physical medium"
ethics,rules of practice in respect to a single class of human actions
etiquette,conventional decorum
even,evening
evening,"properly , the decline of the day , or of the sun"
event,"that which comes , arrives , or happens"
everlasting,god
eve,the period immediately preceding some important event
evidence,"that which is legally submitted to competent tribunal , as a means of ascertaining the truth of any alleged matter of fact under investigation before it"
evil,moral offence
evolution,any process of growth or development
exaggeration,hyperbole
exaltation,elevation
examination,"the act of examining , or state of being examined"
example,one or a portion taken to show the character or quality of the whole
excellence,an excellent or valuable quality
exception,exclusion
excess,extravagance
exchange,a publication exchanged for another
excitement,that which excites or rouses
exclamation,a loud calling or crying out
exclusion,rejection
exclusive,one of a coterie who exclude others
excuse,that which excuses
execution,achievement
executioner,one who executes
executive,the governing person or body
exempt,an exon
exercise,hygienic activity
exhaustion,the act of draining out or draining off
exhibit,a document produced and identified in court for future use as evidence
exhibition,maintenance
exile,banishment
existence,"occurrence , as of events of any kind"
exit,the act of quitting the stage of action or of life
expanse,a wide extent of space or body
expansion,dilation
expectation,grounds upon which something excellent is expected to happen
expedient,suitable means to accomplish an end
expedition,haste
expenditure,"a laying out , as of money"
expense,disbursement
experience,experimental or inductive knowledge
experiment,"a trial or special observation , made to confirm or disprove something uncertain"
expert,"one who has skill , experience , or extensive knowledge in his calling or in any special branch of learning"
explanation,the act of clearing from obscurity and making intelligible
exploit,a deed of renown
exploration,examination
explosion,the act of exploding
exposition,a commentary
exposure,openness to danger
express,a train or bus that does not stop at certain stations
expression,the act of forcing out by pressure
exquisite,a dandy
extension,capacity of a concept or general term to include a greater or smaller number of objects
extent,degree
external,outward part
extinction,suppression
extract,a quotation
extra,"something in addition to what is due , expected , or customary"
extravagance,a wandering beyond proper limits
extravagant,one who is confined to no general rule
extreme,that part which terminates a body
extremity,a limb
exultation,the act of exulting
eye,a brood
fable,common talk
fabric,the manner in which the parts of a thing are united
face,that part which presents itself to the view
facility,dexterity
facing,to strengthen it or to protect or adorn the exposed surface
fact,actuality
faction,dissension
factor,and in these respects he differs from a broker
factory,a manufactory
faculty,authority
fail,failure
failure,omission
fair,"a festival , and sale of fancy articles"
fairy,"an imaginary supernatural being or spirit , supposed to assume a human form ( usually diminutive ), either male or female , and to meddle for good or evil in the affairs of mankind"
faith,"the assent of the mind to the truth of what is declared by another , resting solely and implicitly on his authority and veracity"
fall,the act of dropping or tumbling from an erect posture
falsehood,error
fame,report or opinion generally diffused
familiar,an intimate
familiarity,the state of being familiar
family,"a tribe , clan , or race"
famine,a want of provisions
fan,"an instrument for winnowing grain , by moving which the grain is tossed and agitated , and the chaff is separated and blown away"
fancy,the faculty by which the mind forms an image or a representation of anything perceived before
fantastic,an eccentric person
far,"a young pig , or a litter of pigs"
farce,ridiculous or empty show
fare,the price of passage or going
farewell,a good - by
farm,a district of country leased ( or farmed ) out for the collection of the revenues of government
farmer,a tenant
farming,the business of cultivating land
farthing,the fourth of a penny
fascination,enchantment
fashionable,a person who conforms to the fashions
fashion,"custom or conventional usage in respect of dress , behavior , etiquette , etc"
faster,one who abstains from food
fast,omission to take nourishment
fat,"an oily liquid or greasy substance making up the main bulk of the adipose tissue of animals , and widely distributed in the seeds of plants"
fate,the force by which all existence is determined and conditioned
father,a male parent
fathom,"a measure of length , containing six feet"
fatigue,lassitude or exhaustion of strength
fault,want
favor,good will
favorite,one preferred above others
fear,anxiety
feast,"a grand , ceremonious , or sumptuous entertainment , of which many guests partake"
feat,a trick
feather,the fringe of long hair on the legs of the setter and some other dogs
feature,good appearance
feed,a grazing or pasture ground
feeding,"the act of eating , or of supplying with food"
feel,a sensation communicated by touching
feeling,nervous sensibility to external objects
fee,perquisite
felicity,that which promotes happiness
fell,a pelt
fellow,a partner
fellowship,partnership
female,a plant which produces only that kind of reproductive organs which are capable of developing into fruit after impregnation or fertilization
fence,shield
ferocity,fury
fertility,fertile invention
fetch,"a stratagem by which a thing is indirectly brought to pass , or by which one thing seems intended and another is done"
fever,excessive excitement of the passions in consequence of strong emotion
fiction,"that which is feigned , invented , or imagined"
fiddle,a violin
fidelity,adherence to right
field,the open country
fiend,an implacable or malicious foe
fifteen,the sum of five and ten
fifteenth,one of fifteen equal parts or divisions
fifth,one of five equal parts
fifty,the sum of five tens
fight,strength or disposition for fighting
figure,shape
file,"anything employed to smooth , polish , or rasp , literally or figuratively"
fill,"a full supply , as much as supplies want"
filling,"that which is used to fill a cavity or any empty space , or to supply a deficiency"
film,a thin skin
filth,pollution
finance,"sometimes , the income of an individual"
find,a discovery of anything valuable
finding,"as tools , trimmings , etc"
fine,a mulct
finger,"a small projecting rod , wire , or piece , which is brought into contact with an object to effect , direct , or restrain a motion"
finishing,the final work upon or ornamentation of a thing
finish,"the joiner work and other finer work required for the completion of a building , especially of the interior"
fire,a conflagration
fireplace,a hearth
firing,the act of discharging firearms
firmament,the orb of the fixed stars
firm,a partnership of two or more persons
fiscal,the solicitor in spain and portugal
fisherman,one whose occupation is to catch fish
fishing,"the act , practice , or art of one who fishes"
fish,the twelfth sign of the zodiac
fist,the hand with the fingers doubled into the palm
fit,a caprice
fitness,the state or quality of being fit
five,"the number next greater than four , and less than six"
fixing,trimmings
fix,predicament
flag,"a cloth usually bearing a device or devices and used to indicate nationality , party , etc"
flame,glowing imagination
flank,the extreme right or left
flannel,"a soft , nappy , woolen cloth , of loose texture"
flash,"a sudden and brilliant burst , as of wit or genius"
flashing,"pieces of metal , built into the joints of a wall , so as to lap over the edge of the gutters or to cover the edge of the roofing"
flask,"of glass , to heat water in , etc"
flat,a strand
flattery,"false , insincere , or excessive praise"
flavor,relish
fleet,a flood
flesh,"the aggregate of the muscles , fat , and other tissues which cover the framework of bones in man and other animals"
flight,mode or style of flying
fling,a throw
floating,the second coat of three - coat plastering
float,"the cork or quill used in angling , to support the bait line , and indicate the bite of a fish"
flock,the dust of vegetable fiber used for a similar purpose
flood,a great quantity widely diffused
floor,"the surface , or the platform , of a structure on which we walk or travel"
flora,the goddess of flowers and spring
flourish,a merely decorative figure
flour,the finer part of meal separated by bolting
flow,a current
flowering,the act of adorning with flowers
flower,"that part of a plant destined to produce seed , and hence including one or both of the sexual organs"
fluid,a body whose particles move easily among themselves
flush,a blush
flute,a channel of curved section
flutter,the act of fluttering
fly,one with transparent wings
foam,"the white substance , consisting of an aggregation of bubbles , which is formed on the surface of liquids , or in the mouth of an animal , by violent agitation or fermentation"
foe,a hostile army
fog,cloudiness or partial opacity of those parts of a developed film or a photograph which should be clear
fold,embrace
folding,a fold
foliage,"leaves , collectively , as produced or arranged by nature"
folio,a sheet of paper once folded
follow,the art or process of following
folly,"levity , weakness , or derangement of mind"
fondness,doting affection
fond,"the broth or juice from braised flesh or fish , usually served as a sauce"
food,aliment
foolishness,the quality of being foolish
fool,one who acts contrary to moral and religious wisdom
football,"something which is treated in a rough manner , usually as part of a dispute"
footing,permanent settlement
foot,"that part of an animal upon which it rests when standing , or moves"
forbearance,long - suffering
force,strength or energy of body or mind
forefinger,the finger next to the thumb
forehead,the front or fore part of anything
foreigner,an alien
foreman,"the chief man of a jury , who acts as their speaker"
foresight,prescience
forest,"in the united states , a wood of native growth , or a tract of woodland which has never been cultivated"
fore,that which is in front
forfeit,what is or may be taken from one in requital of a misdeed committed
forgiveness,disposition to pardon
fork,"a barbed point , as of an arrow"
forlorn,"a lost , forsaken , or solitary person"
formation,a shaping
format,"the arrangement of the parts of a printed page , such as text and graphics"
form,conventional or stated scheme
former,"a shape around which an article is to be shaped , molded , woven wrapped , pasted , or otherwise constructed"
formula,"a fixed or conventional method in which anything is to be done , arranged , or said"
fort,a fortification
fortitude,passive courage
fortnight,the space of fourteen days
fortune,fate
forty,the sum of four tens
foul,"a collision , as in a boat race"
foundation,groundwork
founder,one from whom anything originates
fountain,the structure or works in which such a jet or stream rises or flows
fourteen,the sum of ten and four
fourteenth,the octave of the seventh
fourth,one coming next in order after the third
fraction,one or more aliquot parts of a unit or whole number
fragment,an imperfect part
fragrance,a sweet smell
frail,"a basket made of rushes , used chiefly for containing figs and raisins"
frame,physical constitution
framework,"the work of framing , or the completed work"
frankness,the quality of being frank
frank,"the privilege of sending letters or other mail matter , free of postage , or without charge"
fraud,trick
fray,broil
freedom,liberty
freight,that with which anything is fraught or laden for transportation
frenzy,violent and temporary derangement of the mental faculties
freshness,the state of being fresh
fret,herpes
friar,the silversides
friction,attrition
friend,a promoter
friendliness,the condition or quality of being friendly
frigate,"iginally , a vessel of the mediterranean propelled by sails and by oars"
fright,"anything strange , ugly or shocking , producing a feeling of alarm or aversion"
fringe,a line of objects along a border or edge
frock,a loose outer garment
frog,"the triangular prominence of the hoof , in the middle of the sole of the foot of the horse , and other animals"
frontier,the border of the settled and cultivated part of a country
front,"sometimes , also , the whole face"
frost,severe cold or freezing weather
frown,a scowl
fruit,"the pulpy , edible seed vessels of certain plants , especially those grown on branches above ground , as apples , oranges , grapes , melons , berries , etc"
fuel,any matter used to produce heat by burning
fugitive,"one who flees from pursuit , danger , restraint , service , duty , etc"
full,complete measure
fuller,a die
function,the exertion of an energy of some determinate kind
fundamental,"a leading or primary principle , rule , law , or article , which serves as the groundwork of a system"
fund,"an aggregation or deposit of resources from which supplies are or may be drawn for carrying on any work , or for maintaining existence"
funeral,"the solemn rites used in the disposition of a dead human body , whether such disposition be by interment , burning , or otherwise"
fun,sport
furnace,severe experience or discipline
furniture,supplies
fur,"the short , fine , soft hair of certain animals , growing thick on the skin , and distinguished from the hair , which is longer and coarser"
fury,overmastering agitation or enthusiasm
fuss,a tumult
future,"collectively , events that are to happen in time to come"
gaiety,same as gayety
gain,accumulation
gait,manner of walking or stepping
gale,"a state of excitement , passion , or hilarity"
gallant,a lover
gallery,"a connecting passageway , as between one room and another"
galley,a large vessel for war and national purposes
gallop,"a mode of running by a quadruped , particularly by a horse , by lifting alternately the fore feet and the hind feet , in successive leaps or bounds"
game,sport of any kind
gang,a group of laborers under one foreman
gap,an opening in anything made by breaking or parting
garb,costume
garden,"a piece of ground appropriated to the cultivation of herbs , fruits , flowers , or vegetables"
gardener,one who makes and tends a garden
garment,"any article of clothing , as a coat , a gown , etc"
garrison,a body of troops stationed in a fort or fortified town
gas,an a ë riform fluid
gasp,a labored respiration
gate,the movable structure of timber metal etc
gather,"a plait or fold in cloth , made by drawing a thread through it"
gathering,an assembly
gaze,a fixed look
gear,household stuff
gem,a jewel
general,the total
generation,that which is generated or brought forth
generosity,the quality of being noble
genesis,formation
geneva,holland gin
genius,"a spirit , good or bad"
gentle,a trained falcon
gentleman,one of good family
gentleness,gentility
gentry,"in england , in a restricted sense , those between the nobility and the yeomanry"
genus,a class more extensive than a species
geography,a treatise on this science
germ,first principle
gesture,a motion of the body or limbs expressive of sentiment or passion
get,progeny
getting,acquisition
ghost,a false image formed in a telescope by reflection from the surfaces of one or more lenses
giant,"a person of extraordinary strength or powers , bodily or intellectual"
gift,anything voluntarily transferred by one person to another without compensation
gilt,"gold , or that which resembles gold , laid on the surface of a thing"
gin,a snare
girdle,a belt
girl,"a female child , from birth to the age of puberty"
giving,the act of bestowing as a gift
gladness,state or quality of being glad
glance,a glimpse
glare,"a fierce , piercing look or stare"
glass,a mirror
gleam,a ray
glee,an unaccompanied part song for three or more solo voices
glen,a dale
glide,"the act or manner of moving smoothly , swiftly , and without labor or obstruction"
glimmer,"a faint , unsteady light"
glimpse,transient luster
glitter,brilliant and showy luster
globe,the earth
gloom,low spirits
glory,pride
glove,"a cover for the hand , or for the hand and wrist , with a separate sheath for each finger"
glow,vehemence or heat of passion
goal,"a base , station , or bound used in various games as the point or object which a team must reach in order to score points"
god,a divinity
goddess,a female god
going,the act of moving in any manner
gold,"an old english name of some yellow flower , -- the marigold ( calendula ), according to dr"
gorge,a defile between mountains
gospel,glad tidings
gossip,"one who runs house to house , tattling and telling news"
gout,"a constitutional disease , occurring by paroxysms"
governess,a female governor
government,direction
governor,a guardian
gown,the ordinary outer dress of a woman
grace,enjoyment of the divine favor
grade,"a graded ascending , descending , or level portion of a road"
gradual,a service book containing the musical portions of the mass
grain,"the fruit of certain grasses which furnish the chief food of man , as corn , wheat , rye , oats , etc"
grammar,"the study of forms of speech , and their relations to one another"
grandeur,vastness
grandfather,an ancestor immediately after the father or mother in lineal ascent
granite,"a crystalline , granular rock , consisting of quartz , feldspar , and mica , and usually of a whitish , grayish , or flesh - red color"
grant,the act of granting
grasp,hold
grass,spring
grate,"a frame or bed , or kind of basket , of iron bars , for holding fuel while burning"
gratification,"the act of gratifying , or pleasing , either the mind , the taste , or the appetite"
grating,a harsh sound caused by attrition
gratitude,the state of being grateful
grave,a tomb
gravel,"small stones , or fragments of stone"
gravity,seriousness
gray,the confederate army or a soldier in the confederate army
greatness,"the state , condition , or quality of being great"
greed,greediness
green,fresh leaves or branches of trees or other plants
greeting,expression of kindness or joy
grief,"mental suffering arising from any cause , as misfortune , loss of friends , misconduct of one ' s self or others , etc"
grievance,grieving
grin,"a hard , forced , or sneering smile"
grind,hard and uninteresting study
grip,that by which anything is grasped
groan,"usually , a deep , mournful sound uttered in pain or great distress"
groom,a man or boy who has charge of horses or the stable
gross,the main body
grotesque,artificial grotto - work
ground,the surface of the earth
group,"an assemblage , either of persons or things , collected without any regular form or arrangement"
grove,"a smaller group of trees than a forest , and without underwood , planted , or growing naturally as if arranged by art"
growl,a grumbling sound
growth,the gradual increase of an animal or a vegetable body
grudge,ill will
guarantee,a security
guard,a watch
